pleas,1727
call,752
bill,114
rust,28
x33801,3
reg,86
tva,222
jan/feb,3
transmiss,433
get,957
chanc,81
thank,1169
tjae,42
ee,372
kevin,2167
bid/off,17
spread,121
M,2066
latest,73
propos,368
attach,372
chang,593
peter,51
ect,248
01/17/2001,59
AM,3544
To,2171
cc,144
subject,2063
presto/hou/ect,80
paula,13
updat,287
reflect,42
east,449
power,1360
1/17/01,9
presto,1447
07:17,3
makkai/na/enron,3
enron,1509
handwritten,4
desk,245
head,124
re-creat,4
version,99
2-way,6
combin,53
on-peak,10
off-peak,53
page,72
review,444
send,228
via,90
e-mail,631
forward,406
07:16,2
warren,5
01/16/2001,60
05:01,2
PM,6322
dblack,2
enron.com,836
As,286
per,231
request,834
spreadsheet,57
set,237
Tv,3
fletch,52
,tjae,3
market,1420
epmi,346
veri,216
aggress,20
given,207
liquid,84
issu,475
regulatori,170
uncertainti,32
still,190
exist,96
eastern,54
interconnect,82
counterparti,113
consist,56
make,528
clickathom,15
pilot,27
program,137
internet,72
order,306
8:00:00,27
innov,15
3,849
If,745
http,1031
am-5:00:00,6
home,111
We,816
particip,242
provid,440
avail,490
//clickathomepilot.enron.com,4
site,262
explor,188
question,498
want,570
excit,12
extend,29
invit,31
new,1053
solut,82
elig,20
employe,262
high-end,2
comput,28
high-spe,2
connect,47
interest,358
read,61
start,225
click,443
link,110
//home.enron.com:84/messaging/pilot3.ppt,2
PC,12
select,86
servic,517
isp,3
end,124
month,453
inform,688
place,116
visit,155
problem,139
launch,25
copi,226
past,103
directli,76
requir,397
access,326
dell,7
houston,274
assist,150
ani,1158
may,615
1/16/2001,4
1/17/2001,3
1/18/2001,7
1/19/2001,4
am-2:30:00,2
locat,236
eb568,4
eb560,5
clickathomepilot3,2
look,390
enabl,28
project,267
team,210
would,1374
unit,321
plant,355
hour,259
thi,3600
aaf,89
stuart,156
roger,703
schedul,541
respons,256
actual,131
charg,135
mainten,111
guarante,117
dure,183
rogers.herndon,63
notic,204
2,582
ha,981
ga,390
factor,87
seller,76
100,109
bid,189
dispatch,85
onli,500
demand,140
toll,89
outag,326
D,824
note,200
number,267
