go,114
democrat,5
.......................,4
www.gorelieberman-2000.com/,24
OK,12
ok,31
....,112
n't,93
want,50
exert,3
ani,249
energi,212
temporari,6
',80
plate,3
harley,5
.......,87
vvvvrrrrroooooommmmm,3
..............,13
vvvvvrrrrooooommmmmm,3
......,103
went,47
courthous,3
stadium,3
...........,20
actual,21
broke,4
sweat,8
much,46
payment,13
look,58
pop,3
yvett,3
boyfriend,3
'll,46
home,30
around,20
6,26
30,19
ish,6
call,82
andm,3
onli,80
got,41
voic,5
mail,17
're,31
rob,25
hous,41
4,42
pm,8
yo,4
big,36
guy,44
check,46
thi,538
thank,80
head,10
.....,112
mean,23
time,112
deal,51
number,25
........,65
713-853-5229,3
ye,7
dear,4
............,16
www.gorelieberman-2000/com,4
give,23
detail,14
later,32
done,9
woman,13
eol,7
perman,4
dna,3
..................,6
ca,13
undon,3
..........,29
backstreet,3
boy,17
suck,11
..................................,3
'm,40
veri,42
disapoint,3
make,61
sure,9
mention,7
music,3
tast,3
ride,10
hog,3
enron,456
offic,36
chairman,13
ena,10
holiday,20
invit,10
pleas,190
forward,59
joe,128
quenet/na/enron,20
11/17/2000,4
10:36,6
AM,172
north,31
america,26
11/16/2000,4
08:12,4
PM,224
sent,132
announc,42
To,171
houston,27
eim,4
egm,4
cc,23
subject,173
click,14
attach,42
link,14
launch,13
parti,62
http,55
//invitation.enron.com,4
direct,19
question,66
dori,4
hitchcock,4
via,25
email,139
vega,4
....................,7
take,62
montessori,3
.........................,6
realli,25
think,27
could,67
move,49
stuff,4
one,130
trip,16
day,68
work,47
would,157
drop,21
downtown,4
........................,6
broker,15
hit,14
come,41
risk,50
outsid,11
market,248
trade,154
offer,79
even,25
sever,33
hundr,8
back,59
commiss,67
posit,35
use,158
hurt,6
feel,15
first,55
definetli,3
largest,11
user,14
entir,9
firm,20
possibl,26
anyon,38
30-40,3
.........,12
second,19
instanc,6
show,15
.25,4
bid,37
sold,13
wack,3
75,7
50,9
ask,49
say,47
problem,33
listen,4
tape,3
said,69
sell,18
noth,4
wrong,6
anoth,29
name,44
stand,6
well,47
upto,3
25,20
send,35
assum,5
collect,7
pay,16
also,100
end,34
bad,9
flake,3
vent,4
.............,20
carri,10
execut,23
've,8
fri,56
turkey,7
befor,27
pretti,10
good,48
howev,45
wife,7
tradit,8
feast,3
compani,273
visit,26
us,53
littl,38
apt,3
pack,3
thing,24
wors,4
60-65,3
degre,11
thanksgiv,10
jan/,3
feb,6
get,70
50-60,6
averag,6
calm,4
better,18
know,66
pressur,9
job,18
nov,10
29th,7
thought,16
gym,3
lost,9
word,19
keep,31
eye,5
sorri,9
rest,7
messag,171
must,36
delet,41
close,33
bush,16
................,7
plenti,3
knock,28
2,50
street,15
apart,4
//gasfundy.corp.enron.com/gas/framework/default.asp,4
suppos,7
meet,53
tommi,3
brennan,4
tonit,11
5:30,5
christma,6
sat,110
dec,3
9th,5
happi,10
p.,3
suggest,6
togeth,10
napoleon,3
oop,3
meant,3
foos,3
...................,10
cocktail,7
last,66
night,30
'bout,9
minut,18
bank,9
hey,21
w,5
ww.gorelieberman-2000.com/,4
11/22/2000,8
stephani,16
blackman,8
sblackman,8
futuresource.com,8
joe.quenet,73
enron.com,125
Re,8
Fw,12
mistress,8
e-mail,190
10:12,4
09:54:55,4
WE,8
TO,14
DO,7
IT,12
sometim,7
stephi,4
origin,28
wednesday,36
novemb,35
22,23
2000,37
