present,33
It,109
deal,122
crenshaw,3
shirley,3
power,89
model,3
contract,70
octob,153
2001,298
announc,48
pleas,379
thi,955
group,72
follow,102
psim,2
simul,2
tool,11
use,147
requir,31
asset,20
-origin,179
messag,291
sent,229
thursday,47
25,59
2:15,3
PM,400
To,316
black,10
tamara,2
jae,2
rangel,11
ina,18
coneway,1
betti,6
J,5
subject,215
hello,12
everyon,35
would,173
forward,33
realli,35
appreci,12
help,93
thank,188
invit,14
attend,26
proprietari,6
develop,28
enron,414
research,3
take,121
ga,117
weather,36
demand,10
inform,165
consider,8
monte-carlo,1
assess,4
expect,32
valu,41
risk,38
distribut,31
evalu,6
complex,3
electr,15
relat,30
full,32
load,15
also,121
provid,94
valuat,1
manag,63
work,138
specif,25
portfolio,2
issu,59
In,102
show,34
variou,10
type,15
explain,2
structur,11
point,50
applic,34
date,48
30,55
time,312
4:00,11
pm,2
locat,42
eb5c2,1
alex,7
huang,2
registr,13
head,38
count,12
call,128
3-5290,1
regist,24
pizza,1
soft,1
drink,8
serv,13
number,77
dial,16
procedur,16
intern,17
access,81
enw,6
gss,2
agreement,17
avail,107
houston,55
offic,65
canada,13
800-97-enron,2
worldphon,2
countri,10
card,30
pin,2
1-800-97-enron,3
If,228
contact,176
As,73
know,209
net,17
global,20
strateg,7
sourc,8
recent,31
execut,14
two-year,2
wherebi,1
mci,1
worldcom,1
primari,8
telecommun,1
previou,10
commun,47
indic,14
detail,42
becam,5
begin,37
friday,52
26,22
9,25
a.m.,25
c.s.t,1
exclud,4
phone,49
chang,102
new,272
1,192
code,19
attach,49
wallet,1
link,127
http,814
//home.enron.com:84/messaging/mciannouncement.doc,1
2,134
prompt,4
sinc,40
servic,137
user,54
respond,15
1-800-973-6766,2
3,78
ask,52
enter,48
destin,13
0-800-97-enron,1
800-973-6766,1
reach,11
corpor,36
onli,103
U.,1
S.,3
continu,94
question,99
regard,32
commerci,5
aspect,4
feel,34
free,186
tom,16
moor,1
senior,9
713-345-5552,1
technic,12
hasan,1
imam,1
IT,16
713-345-8525,1
td,174
class=,56
normal,69
/td,187
valign=top,36
width=10,17
br,141
p,250
/p,101
src=,92
img,94
id=,9
tr,109
/tr,122
height=1,9
//www.bay9.com/email/images/html032201/shim.gif,7
0,153
width=42,6
width=,144
jay,194
bgcolor=,81
520,44
receiv,217
width=31,4
span,103
',346
/span,102
ffffff,71
center,191
tabl,98
border=,91
/tabl,84
b,59
u,6
style='color,3
/u,3
/b,59
miss,13
/i,13
width=298,3
meta,40
content=,37
marginheight=,10
cellspacing=,41
cellpadding=,41
5,71
bordercolor=,32
cccccc,27
align=,72
font,178
face=,118
arial,181
helvetica,74
sans-serif,67
size=,76
prefer,60
unsubscrib,67
/font,177
width=300,2
colspan=2,7
opportun,24
money,44
soon,30
come,55
way,46
Is,11
win,59
veri,56
read,39
may,106
1-800-746-4510,2
width=50,2
html,31
titl,19
/titl,18
http-equiv=content-typ,13
text/html,19
charset=windows-1252,10
microsoft,15
frontpag,7
4.0,9
name=gener,13
/head,18
bodi,30
link=,9
ff3300,6
topmargin=0,8
email,235
blue,21
chip,19
brand,26
sort,21
futur,62
see,119
instruct,23
bottom,22
email.,9
border=0,51
cellspacing=0,33
cellpadding=0,21
height=75,1
_x0000_i1025,1
//www.bay9.com/email/images/html092401/fedexban.gif,1
width=330,1
colspan=3,4
rowspan=2,4
dear,38
An,8
unbeliev,4
cash,42
bundl,1
009933,1
could,66
ye,12
studi,2
situat,20
determin,20
go,140
extrem,4
lucki,3
wealthi,1
next,74
month,44
inherit,1
gambl,3
lotteri,1
bet,10
first,55
prize,13
competit,5
need,156
sure,39
incred,8
becom,20
rich,6
red,6
offer,145
tarot,1
gift,37
discov,8
kind,9
treasur,2
toll-fre,2
immedi,34
psychic,1
1-800-746-4510.,1
urgent,1
find,36
once-in-a-lifetim,1
chanc,39
live,31
without,39
ani,266
financi,37
worri,4
love,42
hope,69
9900cc,1
cleo,1
p.,6
share,27
anyon,24
reserv,37
meant,2
style='font-size:10.0pt,60
must,39
18+,1
entertain,11
purpos,86
height=40,1
_x0000_i1026,1
//www.bay9.com/email/images/html092401/check.gif,1
width=342,1
colspan=5,1
990099,1
width=1,2
_x0000_i1027,1
_x0000_i1028,1
_x0000_i1029,1
width=2,1
_x0000_i1030,1
width=3,1
_x0000_i1031,1
width=8,1
_x0000_i1032,1
_x0000_i1033,1
market,128
us,110
click,198
href=,73
//www.m-ul.com/e/unsub.cgi,13
l=9998,5
m=2226899000,5
/a,63
/center,16
ifram,3
//ad.doubleclick.net/adi/n2p.extrax/,3
sz=1x1,3
ord=58977401989520584,3
name=,5
frame1,3
height=,59
