PM,967
thru,188
sat,190
outag,204
5/19/2001,72
impact,137
AM,512
schedul,224
server,90
CT,116
PT,115
london,129
fri,89
No,191
5/18/2001,33
environ,83
713,159
purpos,91
backout,67
contact,165
time,327
corp,57
sun,72
5/20/2001,21
old,99
7:00:00,33
wed,51
10:00:00,29
pager,56
system,142
data,99
center,85
3:00:00,32
sitara,57
E,57
mainten,35
databas,32
12:00:00,38
unifi,43
19-may-2001,12
sydney,12
S,26
may,92
facil,26
oper,78
enron,870
servic,123
internet,28
john,122
9:00:00,24
1:00:00,18
user,54
EI,28
5/16/2001,9
5/23/2001,9
manag,125
room,71
requir,44
product,146
well,123
6:00:00,29
resourc,28
Y,12
T,17
L,63
2001,205
edi,17
5:30:00,10
io,6
new,232
revert,9
note,71
11:00:00,17
2,125
week,124
interv,9
n/a,8
market,92
4:45:00,6
2:45:00,7
10:45:00,6
cabl,7
comput,27
date,118
migrat,95
dss,6
thi,842
4:00:00,20
8:00:00,13
2:00:00,10
move,81
tdsprod,6
also,99
allow,37
instanc,7
restart,6
memori,13
cpu,6
malcolm,11
713-345-3716,10
need,157
power,56
gmt,13
houston,55
portland,7
test,35
help,141
on-cal,22
853-9797,16
W,60
K,16
N,8
D,155
M,28
V,10
B,25
F,18
O,13
R,15
18,13
5:00pm,11
21,19
12:00am,6
ardmor,10
azurix,9
eb34,8
south,47
north,82
american,26
lan,10
field,32
10:30:00,6
11:30:00,5
8:30:00,7
9:30:00,5
4:30:00,6
upgrad,20
enefw4,3
code,7
ha,309
bug,6
fix,14
state,15
failov,3
featur,11
back,156
shupak,3
713-853-7943,3
bryan,11
aubuchon,3
713-345-8446,3
messag,230
cnote,4
reboot,6
ani,236
mailserv,5
list,51
make,133
sure,41
come,131
trey,4
rhode,4
345-7792,4
local/domestic/foreign,4
site,19
david,72
ricafrent,4
713-646-7741,4
eb3460,3
trade,126
group,118
improv,11
perform,31
order,80
compli,9
standard,19
sieckman,4
713-345-7862,4
NT,13
os/2,8
ot,3
et,14
29,9
2001/2/2001,3
gthou-appsq03p,3
abl,67
access,86
eneds01_adapt,3
exist,18
outdat,3
sql,5
2000,89
provid,81
increas,24
function,10
conform,5
platform,13
mari,27
vollmer,5
713-853-3381,5
joe,46
hellsten,3
713-853-7346,3
713-545-4164,3
ena,21
give,148
space,12
current,61
use,113
enpow,12
refract,3
expand,26
tnsnames.ora,3
entri,6
chang,65
point,72
jahnk,3
713-345-4398,3
addit,73
moe,3
pep,13
global,27
constrain,6
shutdown,4
configur,8
see,168
abov,19
additionto,3
aurora,3
add,24
remov,27
newli,4
ad,26
config,4
sun/oss,8
telephoni,11
termin,21
11:45:00,4
infrastructur,6
brian,11
ripley,3
713-345-4709,3
charl,36
ballmer,3
713-853-0684,3
bob,55
ward,5
713-345-4409,3
australia,6
5:00:00,17
origin,109
de-pow,3
plug,4
equip,13
uncondit,3
colin,3
wood,10
+61-416-248-353,3
elliott,3
katz,4
+61-292-292-309,3
assist,31
853-1411,8
resolut,18
specif,42
inform,133
risk,20
853-5536,8
sap/isc,8
345-4727,8
284-3757,8
288-0101,8
rus/gops/geotools/apr,8
639-9726,8
oss/ua4/tarp,8
285-3165,8
cpr,15
284-4175,8
support,44
327-3893,8
ee,24
desk,58
OR,13
888,9
ect,681
If,267
ye,63
outlook,61
To,693
Do,101
anyon,40
eric,17
mark,51
scott,125
pleas,283
team,83
andrea,621
survey,11
click,53
',129
mailbox,10
offic,63
type,20
desktop,25
permiss,9
email/calendar,8
respons,102
updat,35
els,21
address,38
book,33
share,35
calendar,17
mm/dd/yy,8
05/14/2001,19
01:26,4
weldon/hou/ect,4
Ed,5
mcmichael/hou/ect,4
boyt/corp/enron,3
moon/hou/ect,4
geraldin,5
irvine/hou/ect,4
jin,4
guo/hou/ect,3
loui,52
dicarlo/na/enron,4
maria,19
garza/hou/ect,4
breese/hou/ect,3
sandi,4
olitsky/hou/ect,4
santiago,4
garcia/na/enron,4
steven,14
curlee/corp/enron,4
alexandra,5
villarreal/na/enron,4
ring/hou/ect,582
brad,12
mckay/hou/ect,4
chri,32
germany/hou/ect,4
hendrickson/hou/ect,20
thode/corp/enron,4
jennif,12
walker/na/enron,3
judi,28
townsend/hou/ect,8
kathi,6
grabstald/hou/ect,4
kimberli,23
bates/hou/ect,4
koenig/corp/enron,4
peter,8
keavey/hou/ect,3
rebecca,9
ford/hou/ect,4
sandra,22
brawner/hou/ect,8
goodell/corp/enron,3
neal/hou/ect,16
sean,16
boyle/corp/enron,4
susan,52
pereira/hou/ect,34
victoria,16
versen/hou/ect,8
vladi,8
pimenov/na/enron,3
craig,69
taylor/hou/ect,41
jones/na/enron,8
frank,36
vickers/na/enron,3
