technic,86
nyiso,168
particip,189
bulletin,24
market,756
comment,107
attach,396
nyiso.com,85
follow,293
plemm,8
2001,1010
pleas,714
see,453
inlin,12
date,169
sunday,39
octob,551
28,64
gmt,13
subject,888
dear,42
virtual,55
distribut,105
post,128
web,163
site,269
period,97
purpos,35
facilit,15
commun,115
variou,49
concept,16
techniqu,8
process,178
befor,82
formal,23
document,95
manual,9
forward,280
thi,1789
via,65
email,291
5pm,7
friday,175
novemb,161
2,168
peter,28
lem,5
custom,739
servic,516
file,289
fyi,62
3:02:34,2
82,6
alloc,15
uplift,23
cost,162
associ,106
trade,178
tb_82_draft.pdf,3
To,1096
market_rel,32
2:45:01,2
81,2
submit,91
bid,105
day-ahead,39
tb_81_draft.pdf,3
NA,221
28.00,34
price,686
/mwh,95
chang,346
peak,79
low,52
wa,600
california,178
ga,217
high,89
power,988
temperatur,61
expect,100
0.00,42
palo,28
25.50,19
verd,26
load,133
rocki,25
demand,76
one,301
energi,1110
report,361
electr,384
heavi,25
29.50,7
mid-columbia,16
natur,105
day,226
tuesday,226
state,245
new,697
western,37
27.00,13
26.25,10
off-peak,28
rang,49
hub,26
MW,87
gener,371
/mmbtu,27
monday,213
1,273
5,123
unit,109
sp15,22
plan,200
30,100
emr,20
cob,18
SW,45
_________________________________________________________,13
flat,15
good,126
player,16
premium,45
mainten,34
cent,39
forecast,32
normal,41
call,469
latest,95
six-to-ten,18
predict,26
week,209
26,46
nw/n,12
28.50,12
N.,23
midway/sylmar,12
S.,18
mead,14
inland,14
4-corner,12
central,46
light,63
interti,4
weather,34
across,50
usual,34
end,150
analyst,53
specul,4
northwest,26
thursday,207
spot,66
contract,316
close,74
kcf,9
np15,13
higher,31
above-norm,15
unplan,21
entergi,13
overnight,22
'02,19
econ.com,12
pre-schedul,10
firm,37
27.50,12
20.00,7
24.00,11
product,527
29,68
34.50,8
32.00,5
33.00,4
steadi,9
volum,31
come,89
loss,29
daytim,16
near,26
heat,24
onli,227
piec,21
could,185
california-oregon,3
