brian,186
pleas,805
remov,47
distribut,33
list,220
thank,1105
robin,2964
kathi,424
L,268
P,281
canada,255
To,1433
ect,3267
cc,1347
subject,1359
ytd,55
p,155
file,411
Re,532
l,144
feb.,12
report,802
reev,75
03/06/2001,18
PM,996
rodrigue/hou/ect,1089
mckay,27
look,377
final,106
feb,44
would,372
need,664
could,272
rodrigu,327
reeves/cal/ect,111
let,712
know,1087
send,240
AM,787
thi,1496
attach,398
revis,12
trader,133
move,123
term_gd,3
lambi,24
We,396
howev,85
still,252
35,000,3
It,494
like,336
got,206
updat,124
pull,132
sinc,123
've,240
alreadi,134
ca,102
n't,1289
restat,9
someth,236
chang,230
total,36
An,3
adjust,85
made,158
march,34
correct,88
varianc,87
06:48,3
coupl,67
differ,108
februari,3
take,304
02:51,7
anyth,256
els,112
03:43,6
abl,111
28th,6
03/05/2001,26
10:12,10
go,1009
3/2/01,29
ani,532
question,381
03/02/2001,17
11:17,20
sent,93
last,241
month,212
fine,55
incom,46
hahaha,3
wa,1176
pretti,124
funni,58
feel,97
reaction,3
grandmoth,9
actual,238
thought,148
comment,35
flexibl,6
program,101
hilari,15
talk,344
laura,74
'm,939
chicago,183
'll,666
give,301
detail,117
date,183
later,265
book,1010
id,183
new,252
portfolio,173
ng-price-prc,8
post,195
set,150
susan,142
calcul,22
use,328
two,118
therefor,60
addit,109
risktrac,55
price,235
captur,39
ng-price2-prc,4
attribut,71
ad,121
agg-ga,65
agg-gasiii,26
agg-gasiv,60
In,162
aggiii,4
IV,22
separ,26
name,259
m_maggi,8
If,590
call,460
2/20/01,20
0,482
eff_dt,313
portfolio_id,304
down95,297
management-co,154
management-crd,290
management-ga,290
302,214,4
management-pwr,290
179,444,4
agg-manag,290
416,059,4
caught,17
supposedli,3
meet,133
end,90
5,61
get,724
leav,180
fun,108
dinner,52
stay,56
long,167
come,232
back,284
bye,53
http,116
//ersys.corp.enron.com/index.asp,4
add-in,240
pulp,150
paper,187
version,158
gabriel,442
execut,138
posit,1059
forward,502
10/20/2000,47
monroy/hou/ect,97
john,274
enron,1968
latest,61
publish,129
contain,100
emiss,50
summari,61
natur,84
ga,272
net,67
fix,106
excel,73
select,72
button,76
workbook,53
rang,106
sheet,64
02/20/2001,16
03:53,10
monroy,223
07:56,22
07:54,28
vern,104
vallejo,42
07/12/2000,25
06:04,25
jacobsen/hou/ect,25
robert,33
richard/corp/enron,25
mason,28
hamlin/hou/ect,28
eric,61
groves/hou/ect,25
mark,50
confer/hou/ect,25
frank,179
prejean/hou/ect,25
salli,65
chen/na/enron,39
kristin,28
walsh/hou/ect,25
christa,31
winfrey/hou/ect,40
By,45
ignor,32
correl,25
subroutin,25
lavorato,94
expect,115
see,350
viewer,46
tomorrow,157
morn,236
close,61
instanc,36
detach,25
websave2.xla,25
microsoft,25
offic,110
librari,40
directori,53
usual,81
C,180
\program,25
files\microsoft,25
office\office\librari,25
launch,33
tool,29
menu,35
avail,86
websav,43
present,67
uncheck,25
old,76
websave2,25
current,117
check,181
click,103
OK,43
also,261
copi,128
past,35
product,70
valu,51
nr_ngfixpb,25
nr_emsum,25
nr_pppl,25
nr_pppo,25
nr_ppprice,25
houston,97
train,16
avoid,21
harrass,19
bad,95
'd,172
exactli,49
interest,108
much,207
wors,31
found,40
onli,211
confer,12
room,27
floor,28
keep,102
peek,3
window,13
hang,39
around,114
hope,231
chanc,57
ya,210
told,167
laugh,71
harass,12
david,105
knew,21
away,35
jeff,98
guess,89
noth,86
might,110
well,264
11:14,3
muahaaaaaaa,3
realli,233
receiv,97
email,303
No,95
nobodi,6
think,549
somebodi,20
save,67
cake,19
hey,206
seminar,3
say,136
requir,67
attend,41
one,416
session,12
So,213
afternoon,52
