http,9139
//www.fool.com/m.asp,6019
fool,3668
invest,1651
//www.lnksrv.com/m.asp,1362
_________________________________________________________________,1534
want,1493
start,888
'S,371
ON,270
get,3670
thi,9365
My,1716
enron.com,3046
chang,2109
littl,546
special,484
three,400
onli,1944
investor,793
rule,488
2001,1412
use,2127
OF,267
list,1368
discuss,1670
board,967
e-mail,2860
O,902
2000,2089
benjamin.rog,1342
sponsor,808
BY,349
buyandhold,103
hey,367
know,2460
secret,147
long-term,188
compound,101
dollar-cost,93
averag,235
20,443
2.99,93
per,1520
order,526
also,2114
free,1782
maker,460
intel,162
cisco,67
boston,191
david,588
gardner,108
industri,942
focu,316
IS,142
research,408
new,3150
today,992
top,516
best,620
capit,355
idea,615
make,1341
duel,70
motorola,34
wireless,332
price,2268
fundament,49
past,334
perform,530
electron,243
foolish,304
four,349
stock,1238
tri,1090
grinch,12
403,16
hot,270
topic,238
compaq,70
warn,163
direct,1029
motley,984
x-version,742
v,761
1.84,726
F,587
L,349
W,364
T,829
C,246
H,428
wednesday,457
decemb,413
13,200
close,776
50,379
1,755.66,3
-19.11,3
-1.08,9
djia,141
10,794.44,3
+26.17,3
+0.24,3
S,590
P,371
500,331
1,359.98,3
-11.20,3
-0.82,3
nasdaq,759
2,822.77,3
-109.00,3
-3.72,3
number,1548
5:00,217
p.m,156
ET,155
i=243434,3
can't-miss,3
tool,147
resourc,203
comprehens,28
're,564
i=243435,3
market,2545
opportun,397
well-posit,4
take,1381
advantag,124
downturn,23
economi,82
i=243436,3
attent,141
could,919
BE,46
TV,37
tom,423
jan.,27
18,226
tape,16
first,950
nation,291
pb,3
audienc,23
i=243437,3
time,2375
run,581
day,1208
left,229
early-bird,9
discount,269
year-end,103
report,2079
i=243438,3
stori,356
outlook,121
isp,15
aol-tim,6
warner,50
i=243439,3
breaker,197
ha,2433
break,125
i=243440,3
Is,228
compani,3564
wire,24
success,487
bull,35
bear,62
debat,71
bottom,80
line,412
i=243441,3
five,184
thing,458
alan,78
greenspan,24
holiday,175
wish,166
fed,38
chairman,411
decid,182
naughti,4
nice,102
i=243442,3
small,160
cap,132
whi,371
import,321
small-cap,33
i=243443,3
drip,99
port,133
mean,243
georg,192
smyth,3
conduct,194
test,476
determin,265
potenti,359
interpret,20
i=243444,3
hill,236
power,1117
credit,571
foolanthropi,20
grameen,3
bank,322
offer,952
novel,24
way,598
lift,13
peopl,693
poverti,11
i=243445,3
plate,123
microsoft,127
xbox-,3
UP,40
EA,18
art,58
fall,219
develop,954
fold,13
microsoft',3
upcom,37
playstat,25
2-buster,3
i=243446,3
ing,25
stuffer,3
give,1174
someth,227
differ,407
year,2578
i=243447,3
fribbl,246
stole,6
B,384
plan,1165
b,63
foil,3
foolvil,3
fight,51
no-load,3
mutual,142
fund,401
i=243448,3
talk,1551
nokia,100
rumor,36
end,590
strategi,218
i=243449,3
breakfast,151
unsurprisingli,6
comput,295
becam,45
member,464
club,123
yesterday,715
i=243450,3
portfolio,752
i=243451,3
i=243452,3
i=243453,3
fool.com,329
home,681
i=243454,3
set,733
i=243455,3
i=243456,3
head,359
avail,683
download,230
hard,414
copi,1942
i=243457,3
preview,98
201,90
sneak,41
peek,40
best-sel,96
soapbox.com,177
i=243458,3
servic,1812
need,2263
address,1126
unsubscrib,582
temporarili,322
suspend,331
mail,638
deliveri,524
//www.fool.com/community/freemail/freemaillogin.asp,386
email=benjamin.rog,335
improv,533
product,1089
'd,446
like,1577
see,1946
i=243459,3
c,417
copyright,455
right,1118
reserv,1109
materi,561
person,997
republ,327
redissemin,324
includ,1487
post,831
news,560
group,1797
expressli,322
prohibit,429
without,600
prior,548
written,538
consent,352
msgid,371
msg-8778-2000-12-13_18-02-13-6493374_1_plain_messageaddress.msg-18:31:46,3
12-13,3
-2000,93
mailer-sender-mast,371
mailer-sender-daemon,371
message-recipi,371
tomorrow,454
roger,1187
meet,1635
minut,182
trade,897
think,1140
said,599
3:30,32
pm,205
would,2724
work,1881
thank,4240
ben,4824
3-7998,384
edr,82
file,965
forward,2453
benjamin,1564
rogers/hou/ect,997
12/06/2000,73
11:06,12
AM,2095
jon,143
cather,45
enron,5603
12/05/2000,135
02:53,4
PM,3133
To,3673
cc,2147
subject,3462
2nd,93
quarter,888
.......,10
ani,5051
messag,2461
sender,768
state,1176
|,407
suiss,320
E2,159
list.xl,69
confidenti,848
privileg,529
inform,2611
view,651
otherwis,423
latest,624
contact,889
regard,1478
jame,341
J.,110
heckler,133
global,590
energi,1054
project,1306
financ,641
212,179
325-5809,55
info,400
content,246
manag,1484
name,904
It,1392
may,1571
contain,504
proprietari,272
legal,416
No,596
waiv,206
lost,334
mistransmiss,204
If,2416
receiv,1212
error,369
pleas,5080
immedi,422
delet,368
system,1049
destroy,234
notifi,442
must,463
directli,373
indirectli,204
disclos,298
distribut,410
print,337
part,736
intend,660
recipi,422
subsidiari,314
monitor,358
commun,954
network,627
express,423
individu,567
except,359
authoris,204
entiti,438
unless,218
given,397
indic,510
doe,768
constitut,264
deal,1581
quot,348
refer,414
term,607
execut,664
transact,894
treat,198
preliminari,293
formal,202
confirm,521
CA,231
teaser,48
letter,288
model,1001
guy,545
west,329
send,1295
prompt,32
email,1108
caledonia,350
transmiss,194
data,712
tapscott,3
10am,11
clean,187
subsequ,33
page,295
keep,450
We,2374
sent,1404
reliant,24
kinder,59
morgan,93
nad,4
pseg,15
morn,529
merchant,165
sale,959
mb,6
code,105
volm,3
revenu,720
relat,449
blend,58
hennwood,3
desk,201
curv,534
excess,33
9,242
rate,846
fpl,75
us,1060
entir,88
let,1816
Be,56
prepar,226
wa,2916
14,189
big,243
mess,15
cut,166
around,457
4,797
cash,326
flow,178
sheet,261
confus,36
suffici,64
call,2434
question,3394
older,26
mode,43
show,430
anyon,166
pull,67
still,739
look,1472
coupl,264
n't,1753
appropri,117
11:05,4
02:35,4
1st,89
.........,13
version,479
section,277
1,1270
sorri,184
red-lin,12
section1,4
chri,474
booth/na/enron,23
08/30/2000,12
interconnect,186
04:35,4
north,580
america,626
corp.,459
christoph,102
watt,12
04:08,6
final,522
custom,743
ad,266
column,48
miller/hou/ect,821
03:00,17
stuart,263
zisman,101
02:51,34
ect,2938
karen,27
jone,91
fax,525
503,36
464-3740,6
281,24
telephon,140
297-5407,9
entergi,97
john,502
hoagland,6
senior,86
vice,243
presid,570
corpor,383
follow,1591
He,385
one,2056
LV,269
cogen,296
michael,295
P.,41
childer,3
chief,256
offic,1107
wholesal,244
oper,1481
parkwood,3
2,1345
build,311
10055,3
grogan,3
mill,23
road,226
woodland,45
texa,327
77380,3
297-5381,3
eric,108
salagi,3
297-5320,3
297-5314,3
jhougla,6
entergy.com,12
11:04,4
02:27,13
4th,36
1999,266
.....,32
anoth,405
form,419
bitch,10
ca,164
worthi,9
reason,329
becaus,501
finish,203
later,342
08/29/2000,28
06:05,9
everest,9
II,213
zisman/hou/ect,71
06:16,3
Ed,91
hearn,12
iii,26
05:30,17
feedback,325
remind,87
summari,319
3,978
michel,90
christi,42
smith,136
christi.smith,6
lrinet.com,6
friday,746
septemb,386
submit,166
self,26
assess,95
and/or,191
rater,6
survey,129
peer,25
respons,1075
realli,298
appreci,297
parks/corp/enron,16
05:07,6
05:02:20,3
respond,202
ed.baughman,3
phillipe.a.bibi,3
tdonley,3
ees.enron.com,5
meggleston,3
bill.gathmann,3
clay.harri,3
jhodg,3
james.e.kel,3
lkitchen,3
ray.neppl,3
npng.enron.com,3
david.oxley,3
