allianc,41
enron,2438
AM,560
pipelin,158
barbara,34
hunter,71
forward,407
richard,112
To,908
cc,262
subject,743
info,52
pgl,12
shipper,9
G,32
05/03/2000,9
thank,555
S,129
shively/hou/ect,31
05/05/2000,6
ect,1798
thi,2240
interest,234
We,691
ga,776
tomaski/corp/enron,12
group,267
deliveri,306
shive,26
pleas,1099
read,153
rain,17
05/08/2000,3
03:09,3
PM,854
tomaski,3
08:59,3
present,93
tuesday,135
firm,157
primari,23
deliv,118
point,453
.a,3
note,266
interconnect,61
allow,109
600,6
system,265
ca,61
n't,758
handl,20
're,262
work,544
canadian,19
offic,161
buy,134
look,343
reduc,56
baseload,12
sale,165
part,46
diq,3
replac,19
'll,443
talk,271
later,42
08:51,3
dillard,9
10:45,3
cari,3
M,70
carrabine/corp/enron,3
steve,100
richman/corp/enron,3
russel,34
E,291
murrell/corp/enron,3
roy,8
rodriguez/corp/enron,3
kevin,1050
P,175
radous/corp/enron,8
laura,55
luce/corp/enron,3
f.y.i,3
dillard/corp/enron,8
10:39,4
d.wear,3
pecorp.com,3
10:21:53,3
dillard/hou/ect,3
met,40
peopl,132
yesterday,27
discuss,82
nomin,73
confirm,59
attach,457
piec,6
inform,461
might,83
daili,583
could,242
rout,158
rest,32
capac,21
capacities.doc,3
imag,1257
trade,392
dell,36
e-mail,577
receiv,453
trademark,42
regist,71
partner,82
If,823
offer,579
intel,9
start,177
onli,413
logo,19
corpor,110
site,165
',667
want,337
chang,966
dedic,22
share,95
server,109
host,53
tm,9
poweredg,6
u.s.,65
comput,279
advertis,39
take,454
privaci,68
mail,129
unsubscrib,87
becaus,101
web,213
one,466
ani,925
market,389
prefer,122
subscrib,59
kruscit,41
ect.enron.com,32
special,342
empow,7
investor,45
dear,96
dellhost.com,3
enhanc,40
549/month,3
websit,191
17.95/month,3
300,23
999,3
price,604
specif,128
avail,364
may,708
without,106
notic,124
tax,89
ship,67
charg,78
extra,23
vari,31
dellhost,3
insid,23
pentium,3
iii,9
processor,4
copyright,26
2000,242
inc.,99
subsidiari,30
mention,47
herein,33
properti,55
respect,166
owner,14
right,200
reserv,171
although,30
send,211
respons,153
content,62
make,396
warranti,10
guarante,22
product,263
servic,475
serious,19
learn,60
use,579
person,156
polici,111
previous,47
list,374
approxim,22
five,52
busi,462
day,1137
process,136
request,339
build,137
tomorrow,121
potenti,34
freez,6
hazard,3
road,22
condit,133
even,107
earli,37
morn,63
particularli,11
northern,25
western,23
citi,241
monitor,27
local,34
news,71
weather,41
forecast,32
judgement,3
insur,20
safe,17
commut,3
open,122
wednesday,125
decemb,109
13th,6
statu,52
given,25
hotlin,6
access,273
call,386
713-750-5142,3
deal,333
quantiti,79
discrep,4
investig,15
thursday,140
opportun,154
hope,330
It,363
time,836
say,126
farewel,4
next,229
last,204
leav,47
pursu,3
year,314
appreci,39
get,633
know,543
stay,88
touch,47
email,570
address,354
finans,2
hotmail.com,110
houston,436
join,78
solero,2
sept.,9
7,65
deffner,2
care,88
matt,27
moller,56
els,47
let,423
keith,69
week,316
detail,185
rich,34
http,1873
sound,52
great,400
richard.j.mol,12
marshmc.com,12
anyon,82
abl,90
provid,318
coun,14
ricigiliano,4
ask,108
need,551
anyth,73
ruscitti,302
ktruscitti,12
08/29/2000,8
08:51:18,4
kevin.ruscitti,142
enron.com,437
everyth,198
hey,29
bro,9
happen,65
fish,10
stuff,47
come,223
along,40
charter,7
set,117
22nd,13
a.m.,84
depart,70
pleasant,6
capt,52
gene,12
back,356
cost,80
50,40
per,184
No,293
bottl,16
bring,87
cup,8
've,209
got,137
beer,38
drink,36
also,252
pack,60
food,19
trip,112
8,101
hour,89
contact,447
moeller,12
like,366
14,63
go,699
possibl,72
20,154
5,174
still,146
undecid,13
good,211
rosigliano,6
coupl,55
suppli,176
keep,139
everyon,127
post,25
big,93
date,407
less,98
4,196
away,59
believ,69
well,295
_________________________________________________________________________,6
privat,26
free,239
msn,31
hotmail,12
//www.hotmail.com,14
creat,98
public,64
profil,23
//profiles.msn.com,6
quit,33
seoul,18
anderson,170
team,224
recruit,45
dot,7
com,10
ha,370
much,223
new,995
sunni,14
final,58
mountain,28
'm,216
ahn-yong-ha-sae-yo,2
miss,50
fall,58
activ,107
l.a,2
trust,19
continu,167
success,90
would,389
fever,2
die,8
somewhat,15
plu,89
think,312
bit,17
upsid,2
candid,63
economi,53
risk,45
pure,4
life,77
nice,28
My,149
wife,5
settl,9
townhous,2
sungbuk-dong,2
pukhansan,2
nation,141
park,157
almost,20
korea,22
find,196
trail,7
everywher,4
around,108
veri,120
develop,237
sk-enron,2
joint,18
ventur,24
half,18
dozen,2
initi,71
current,421
prepar,32
launch,31
b2c,2
cater,10
consum,55
household,17
lead,83
pilot,111
project,79
lay,23
fiber,2
optic,4
cabl,26
network,171
summer,80
monsoon,2
stop,28
pusan,2
dure,100
chuseok,2
korean,6
thanksgiv,28
daughter,3
heather,22
spent,10
near,80
beauti,35
progress,16
cheer,7
jung,11
invit,129
hutchison,34
event,271
senat,33
fundrais,43
dax,54
commun,564
A.,40
713,287
texa,192
fax,251
FW,127
kindermorgan.com,26
kara,21
kinder,33
joseph,42
manero,18
messag,547
mesa,19
file,300
ruscitti/hou/ect,101
sander,19
mike,147
sanders/enron,12
08/28/00,12
tell,161
check,248
david,169
princip,18
aye,12
polit,18
consult,53
affair,26
723,12
main,43
street,44
suit,118
922,12
77002,19
713.526.3566,12
voic,33
-origin,281
sent,460
august,42
katherin,27
khow,12
bracepatt.com,14
trionegordon.com,12
bailey,13
grill,13
ingram,12
question,315
undisclosed-recipi,13
reader,21
//www.adobe.com/products/acrobat/readstep.html,12
guests/invite,12
wish,92
//www.ayesoftexas.com,12
07:56,6
08/28/2000,4
01:17,4
curry/hou/ect,24
associ,106
bandwidth,13
origin,153
broadband,48
853-3864,8
cell,34
598-7832,8
01:18,6
david_kind,9
01:09,6
turnaround,19
rather,49
quick,34
probabl,87
directli,52
referenc,9
cousin,6
DK,9
guy,155
name,186
D.,40
24,40
6:48,6
'marie.l.kind,6
pfizer.com',6
import,96
high,61
mailto,205
friday,204
juli,74
28,18
10:38,6
alkind,6
att.net,13
ben,10
tobor,6
jennifer.adam,6
compaq.com,7
catherine_fendrich,6
dell.com,6
nkinder,6
earthlink.net,37
rtobor,6
chutickj,6
kinderd,6
smay,6
mail.mdanderson.org,6
tadam,6
ppco.com,7
cgiovanella,6
rapidigm.com,6
kimberly.spe,6
staples.com,6
ahow,6
crooney,6
kay,16
west,64
gray,44
31,65
entertain,46
jack,30
includ,307
713/221-1571,6
713/572-3692,6
home,219
see,510
K.,16
bracewel,6
patterson,6
l.l.p,6
221-1571,6
222-3215,6
joemanero,6
ev1.net,11
thu,37
27,39
jul,36
18:04:41,6
-0500,27
aug.,6
31-kay,6
hutchison/jack,6
view,167
adob,10
acrobat,7
instal,38
download,71
follow,375
print,54
individu,72
design,112
way,180
clean,17
manner,10
troubl,33
instruct,28
soon,261
order,251
accur,16
head,75
count,22
prior,143
kbh,6
PO,6
box,60
540962,6
TX,162
77254-0962,6
hard,40
281.754.4662,6
susan,77
copi,164
contract,209
similar,12
tom,93
donaho,8
help,237
p.,29
desk,119
3234d,8
telephon,41
number,144
3-6320,7
wa,585
suppos,6
befor,129
wed,110
give,227
ricig,7
sweet,35
KR,142
charl,53
T,66
08/10/2000,9
jason,78
williams/hou/ect,22
03:58,7
muzzy/hou/ect,6
bike,10
rage,9
sportszeru,6
biciklis.mpg,6
08/24/2000,3
07:59,3
muzzi,4
georg,78
smith/hou/ect,16
lisa,189
kinsey/hou/ect,8
margi,9
straight/hou/ect,3
cora,13
pendergrass/corp/enron,3
darren,24
espey/corp/enron,3
mark,167
L,115
schrab/hou/ect,8
dempsey/na/enron,3
webb,3
webbd,3
epenergy.com,3
02:56:35,3
transmit,3
El,35
paso,26
energi,338
confidenti,63
intend,182
