elizabeth,4521
sager/hou/ect,2058
06/15/2000,16
genia,378
fitzgerald,136
agreement,2663
forward,2862
02:21,6
PM,3613
08:59,13
AM,2829
To,4596
drusso,188
reliant.com,93
cc,2526
ect,5070
subject,4350
eei,1311
master,1143
purchas,896
sale,622
per,666
convers,125
pleas,4249
find,570
attach,2724
enron,5671
power,2947
market,1755
inc.,331
standard,560
cover,412
page,238
abov,318
referenc,114
Do,288
n't,1165
hesit,70
let,1424
know,1747
need,1644
anyth,231
els,201
reach,187
713,1086
853-6389,11
letter,862
1wi,4
01,101
.wpd,58
reformat,2
new,2228
tva12,2
thank,2854
06/21/2000,2
08:55,6
robert,360
J.,126
madden,17
rmadden,10
gibbs-bruns.com,42
06/20/2000,6
04:57,2
'elizabeth,8
sager,1414
',4826
elizabeth.sag,576
enron.com,2933
tva,442
draft,1752
made,537
minor,59
revis,773
bob,165
So,130
sad,8
No,587
question,968
'm,485
die,24
write,86
2,1002
hour,624
present,354
thi,8023
despic,2
contract,2295
hurt,11
bad,64
Oh,30
nice,70
day,2541
run,163
even,358
slow,26
one,1330
staff,134
affili,232
enronxg,840
ferc,604
concern,368
discuss,1438
pipelin,51
meet,2032
deriv,110
inform,1537
would,3067
outreach,7
think,942
El,84
paso,82
whether,332
use,1822
christi,481
L,490
nicolay/hou/ect,196
joe,311
lesli,332
ga,738
side,156
senior,188
issu,1127
trade,1350
consid,274
form,782
requir,1130
believ,369
ingaa,2
comment,1135
studi,104
confer,573
underli,86
We,1641
probabl,149
dure,524
help,844
request,1165
involv,250
fyi,330
06/08/2001,14
10:00,81
hartso,40
06/07/2001,50
12:26,6
jame,382
D,261
steffes/na/enron,62
lawner/na/enron,13
rebecca,47
W,191
cantrell/hou/ect,5
sarah,139
novosel/corp/enron,61
donna,38
fulton/corp/enron,17
stanley,49
horton/enron,1
steven,111
J,279
kean/na/enron,25
shelley,10
corman/enron,3
drew,22
fossum/enron,2
mari,431
kay,202
miller/et,1
s/enron,21
ray,82
neppl/enron,1
kilmer/enron,1
folk,82
good,560
member,507
prepar,419
next,673
week,1066
He,224
told,149
two,560
primari,57
commiss,252
1,1058
potenti,202
abus,36
failur,157
cftc,53
and/or,182
sec,98
close,229
overse,8
appar,50
ban,3
transact,1473
filing/report,1
better,204
understand,254
due,407
lack,60
assum,204
worst,11
propos,863
stage,64
commission,39
recommend,145
appreci,218
ammo,4
refut,1
regul,203
delv,1
file,1548
respons,496
remain,161
accur,39
updat,400
best,356
address,506
Q,32
As,835
put,364
back,612
togeth,181
coalit,13
lawner,1
last,701
part,277
current,657
In,973
addit,791
separ,131
work,1398
whi,168
doe,572
establish,92
ongo,40
report,581
otherwis,246
becom,173
unfortun,101
ask,623
merchant,42
transport,93
deal,933
california,1008
light,211
peggi,30
hegg,1
frontlin,1
show,291
hedg,54
risk,434
friday,642
call,2151
later,244
net,506
cook,165
paul_puchot,7
enron.net,19
steven_mccarrel,7
enronxgate.enron.net,7
mna,19
group,1071
cordial,68
north,655
america,464
corp.,767
1400,191
smith,343
38th,69
floor,205
legal,1395
houston,1553
texa,523
77002-7361,70
345-7732,64
phone,631
646-3490,43
fax,1232
mary.cook,86
02:31,5
cook/hou/ect,24
Re,481
By,149
copi,883
email,750
send,851
latest,111
still,423
progress,59
intend,829
includ,1399
onli,1385
comfort,61
commod,203
special,1062
bankruptci,393
code,315
protect,299
hope,529
11:28,27
settlement,280
leav,219
varieti,24
relationship,101
place,434
financi,476
troubl,31
compani,899
'd,187
negoti,302
spoke,106
occur,131
us,872
ought,21
take,715
look,864
could,1016
exampl,198
multipl,58
parti,962
rectangular,12
arrang,211
recal,70
descript,175
terminolog,12
correctli,71
much,376
paul,368
puchot,9
ibuyit,30
payabl,101
click,363
link,116
http,1038
repli,221
e-mail,2050
receiv,1371
messag,2292
becaus,402
invoic,195
resolut,104
approv,782
ha,2068
submit,177
in-box,6
action,237
launch,40
//ibuyitpayables.enron.com,4
note,712
log,48
ibuyitpay,2
employe,285
pid,3
p-number,3
password,154
enter,219
ehronlin,31
system,588
sap,42
first,552
time,1825
user,260
train,99
materi,260
//sap.enron.com/sap_doclib/user/file_list.asp,4
cabinet_id=265,4
contact,771
isc,27
center,407
345-4727,17
way,441
veri,497
share,161
effort,249
My,226
dark,20
notwithstand,41
older,23
sibl,4
benefit,179
may,2521
seen,88
steve,628
get,1529
counsel,348
broadband,25
servic,1075
desk,167
713-345-4707,2
fax:713-646-3092,2
oppd,10
execut,456
exchang,182
document,918
oppd.com,10
terri,77
second,187
amend,250
provid,1219
cancel,67
year,755
2002,149
oblig,347
8/15/96,2
epmi,890
modifi,85
paragraph,119
immedi,250
signatur,89
blank,28
explicitli,15
author,314
advanc,266
hand-sign,2
origin,469
If,1924
accept,370
attorney,383
bruckner,2
sbruckner,2
fraserstryker.com,2
transmit,15
busi,735
person,362
cmoriarti,2
dri,23
ani,3312
david,1106
p.m.,242
june,524
12,287
1:00,38
4:00,48
hello,78
sign,381
follow,1126
cours,155
except,135
gone,25
plan,567
temporari,34
project,277
schedul,1256
conflict,59
adjust,94
accordingli,89
2:30,40
3:30,39
outlook,179
21,253
xm,23
expens,174
22,112
procur,23
27,185
9:00,67
a.m.,223
3:00,67
timekeep,4
28,108
1:30,39
4:30,16
Al,10
ena,316
mark,1065
memo,228
wa,1690
sent,1954
committe,678
vp,4
lawyer,175
36349,128
sample.doc,19
near,96
finish,119
line,325
pacificorp,49
summarili,2
swept,4
thereto,43
cgi,114
-origin,1347
cason,31
sharen,59
08,75
2001,2305
6:43,4
ngo,162
traci,397
sack,120
edward,260
gonzalez,38
veronica,75
conwel,32
wendi,67
radou,60
Cc,664
yoder,159
christian,486
638084,4
638083,4
review,1267
credit,1466
confirm,1179
wspp,545
term,1007
longer,154
soco,25
stephani,93
205,15
eol,162
gtc,126
portz/hou/ect,218
trader,166
low,98
hi,353
languag,941
order,586
desir,47
talk,471
known,64
come,544
01:00,8
piwetz,8
11:13,6
main,198
ad,321
add,258
specif,263
deliveri,612
point,797
cinergi,92
entergi,191
constraint,15
transmiss,569
start,430
5/24,2
621448.01,2
firm,497
LD,46
also,1434
mention,123
like,1206
lyle,2
larson,2
226-3441,2
chri,393
226-3442,2
257-7326,2
someon,149
isda,297
willamett,11
industri,449
john,770
respond,273
gti,20
etc,177
8:43,6
enron_develop,205
23,153
deb,23
julia,101
E,1240
R,357
seminar,57
attend,301
street,266
TX,973
77002,156
murray,87
carolyn,40
georg,135
M,265
michel,215
dan,168
ann,167
H,159
B,380
carol,465
cheryl,78
held,98
recent,233
state,1028
bar,46
participatori,5
cle,91
000020138,2
korkma,13
ew,85
dept,44
room,261
3834a,2
713-853-5448,2
713-646-3393,84
05/15/2001,45
03:59,2
alan,180
aronowitz/hou/ect,43
sandi,28
braband/hou/ect,10
teresa,32
G,92
bushman/hou/ect,18
cash/hou/ect,26
barton,25
clark/hou/ect,18
harri,105
collins/hou/ect,16
peter,490
del,46
vecchio/hou/ect,12
staci,85
dickson/hou/ect,16
shawna,18
flynn/hou/ect,20
barbara,85
N,56
gray/hou/ect,24
wayn,54
gresham/hou/ect,8
haedicke/hou/ect,111
hansen/hou/ect,79
jeffrey,237
T,222
hodge/hou/ect,118
hyvl/hou/ect,8
C,193
koehler/hou/ect,14
lyons/hou/ect,18
mann/corp/enron,40
travi,135
mccullough/hou/ect,42
lisa,287
mellencamp/hou/ect,28
janet,198
moore/hou/ect,184
murray/hou/ect,22
gerald,28
nemec/hou/ect,12
michael,335
robison/hou/ect,10
richard,465
sanders/hou/ect,82
lanc,71
schuler-legal/hou/ect,16
sara,78
shackleton/hou/ect,28
St,108
clair/hou/ect,70
lou,56
stoler/hou/ect,16
taylor/hou/ect,54
sheila,100
tweed/hou/ect,40
van,97
hooser/hou/ect,24
viverito/corp/enron,10
white/hou/ect,14
lowry/enron,2
susan,186
bailey/hou/ect,12
kimberle,6
bennick/hou/ect,6
fitzgerald/hou/ect,128
noni,23
flores/hou/ect,12
linda,131
guinn/hou/ect,12
Ed,194
hearn,27
iii/hou/ect,14
heinitz/hou/ect,16
tana,64
jones/hou/ect,38
korkmas/hou/ect,8
lauri,27
mayer/hou/ect,12
matt,40
maxwell/corp/enron,14
ogden/hou/ect,22
debra,35
perlingiere/hou/ect,16
walker/hou/ect,50
young/hou/ect,12
merril,42
haas/hou/ect,2
greenberg/na/enron,14
bruce/na/enron,8
samantha,20
boyd/na/enron,10
angela,65
davis/na/enron,12
panus/na/enron,10
marcu,481
nettelton/na/enron,98
brent,85
hendry/na/enron,25
blaine/enron,2
gail,30
brownfeld/enron,2
