thi,2025
inform,806
ha,426
particip,94
gem,9
rollout,4
In,295
As,89
awar,24
busi,418
unit,118
select,61
project,137
global,88
enron,1195
migrat,72
window,167
2000,41
prepar,26
imper,4
gather,12
workstat,6
applic,113
use,401
To,506
begin,87
data,301
collect,19
autom,65
process,118
fact,15
system,285
inventori,8
onc,38
receiv,678
work,217
local,25
depart,96
coordin,21
consolid,28
ensur,47
transit,24
smooth,6
possibl,73
team,106
would,197
like,290
thank,445
If,552
ani,686
question,418
pleas,1011
contact,412
jose,18
favela,2
713,371
345-5878,2
thane,37
ercot,206
methodolog,36
twigg,25
smith,87
attach,293
ancillari,26
servic,396
thoma,33
corp,156
1400,19
street,37
houston,343
texa,118
77002,20
713-853-3199,15
voic,29
713-408-4463,15
mobil,22
713-646-8272,42
fax,73
877-968-8967,15
digit,18
pager,183
8779688967,15
skytel.com,16
twiggs/enron_develop,18
04/10/2001,18
PM,724
L,57
ect,27
enronxg,12
commun,144
file,257
wa,248
larg,29
provid,236
link,81
websit,42
load,222
hard,39
copi,224
let,404
know,480
http,538
//www.ercot.com/currents.htm,6
It,142
forward,96
03:38,6
03:04,7
doug,37
gilbert-smith/corp/enron,9
clint,21
dean/corp/enron,9
day/hou/ect,9
eric,306
saibi/corp/enron,9
mike,60
curry/enron,9
martin,16
lin/contractor/enron,9
ron,5
mcnamara/na/enron,9
enron_develop,9
jean,9
ryall/na/enron,9
michel,16
parks/enron,9
christi,20
nicolay/hou/ect,9
cc,20
subject,339
propos,75
iso,38
determin,50
a/,6
purchas,91
present,103
board,78
approv,69
april,24
17,39
2001,538
=20,230
requir,231
day,386
congest,63
hour,237
balanc,71
reserv,188
energi,1030
nsr,26
amount,53
high,57
MW,44
onlin,85
greater,31
current,181
=09=09,20
market,531
temperatur,18
bid,80
the=,51
control,35
spin,19
degre,17
forecast,62
equal,15
largest,31
rpr,12
capac,43
qse,19
schedul,581
frequenc,12
zone,39
regul,29
consid,83
stress,20
normal,27
area,74
oper,184
l=20,9
avail,161
base,61
plan,259
92,13
4600,9
next,170
may,220
resolv,34
inadequaci,9
csc,9
need,362
zonal,10
two,166
percentag,10
rgr,6
dure,238
year,208
period,51
2-3,6
initi,44
start-up,10
singl,27
cover,50
cost,87
insuffici,6
be=20,6
resourc,176
the=20,6
less,34
32,9
2,161
w=20,6
month,72
octob,167
3,87
80,12
tomorrow=01,6
ahead,28
set,87
th=,65
e=20,6
OC,6
differ,52
limit,60
record,26
transmiss,82
to=20,6
flow,25
