0,933
1.95,76
reserv,242
statu,127
azp,62
presch,58
25,2664
n/a,62
enron.com,344
01/22/2002,4
713,460
ha,884
chang,482
detail,152
list,244
assignment_ref,30
28076,2
seller_cod,30
seller_dun,30
958982563,30
customer_cod,30
epmi,506
customer_dun,30
848921276,30
affiliate_flag,30
path_nam,30
w/azps/azps-azps/fourcorne345,24
pnpkaps230//,24
point_of_receipt,30
fourcorne345,24
point_of_deliveri,30
pnpkaps230,25
sourc,94
sink,55
capac,94
capacity_request,29
service_incr,30
hourli,102
ts_class,30
firm,82
ts_type,30
point_to_point,30
ts_period,30
off_peak,28
ts_window,30
fix,88
ts_subclass,30
wheel,54
nerc_curtailment_prior,30
nerc,46
prioriti,47
1,568
other_curtailment_prior,30
default,42
start_tim,30
01/23/2002,4
stop_tim,30
01/29/2002,2
ceiling_pric,30
offer_pric,30
bid_pric,30
price_unit,30
/mw,24
preconfirm,31
ye,106
anc_svc_link,30
anc_svc_req,30
posting_ref,30
sale_ref,30
request_ref,30
deal_ref,30
negotiated_price_flag,30
confirm,348
status_notif,30
holden.salisburi,66
status_com,30
time_queu,30
time_of_last_upd,30
primary_provider_com,30
seller_com,30
customer_com,30
seller_nam,30
seller_phon,30
602.250.1128,30
seller_fax,30
602.250.1155,30
seller_email,30
oasisadm,30
apsc.com,31
customer_nam,30
enron,2424
power,598
market,650
inc.,81
customer_phon,30
853-3801,29
customer_fax,30
646-8272,30
customer_email,30
bill.rust,29
reassigned_ref,30
reassigned_capac,30
01/14/2002,6
27926,2
01/15/2002,8
01/16/2002,10
studi,13
01/11/2002,8
27904,2
01/13/2002,4
01/10/2002,8
27882,2
01/09/2002,9
27867,2
01/08/2002,9
27855,2
01/18/2002,4
28014,2
01/21/2002,4
27853,2
withdrawn,3
http,414
=09,23
aol,30
//offers.aol.com/cgi-bin13/flo,7
hour,337
free,104
onlin,128
member,95
45,42
y=3dnpk0cdrm70ek0ni0ao,5
e-mail,277
thi,2653
america,124
access,293
offer,246
tri,86
all-new,4
7.0,5
get,331
1000,20
day,662
aim,23
trial,9
instant,17
onli,252
time,902
surcharg,3
plan,262
receiv,270
provid,436
connect,52
holdenoo1,6
special,88
messeng,13
first,213
messag,744
local,187
inform,797
radio,6
befor,109
card,96
requir,224
new,807
must,127
charg,174
simpli,30
may,595
dure,170
incur,18
via,90
internet,145
per,146
If,764
unsubscrib,16
//uuhf1img1.uu.flonetwork.com/images/aol/100401/004_002_new_offer_ti=,1
tle.gif,1
//uuhf1img1.uu.flonetwork.com/images/aol/100401/004_002_=,1
try_the.gif,1
//uuhf1img1.uu.flonetwork.com/images/aol/071901/003_blue_balls.g=,1
//uuhf1img1.uu.flonetwork.com/images/aol/100401/004_002_all_n=,1
ew.gif,1
dear,43
aim=20,1
y=3dnpk0cdrm70ek0ni0a=,1
Be,26
one,368
d=,8
ay,4
great,92
reason,56
fre=,1
e,38
built-in,1
high,84
speed,13
broadband,39
content=09,1
advanc,43
news,58
favorit,8
station,32
exclus,10
perk,1
like,329
opportun,161
hot,15
concert,3
ti=,2
cket,1
go,272
sale,145
sneak,2
peak,105
blockbust,1
movi,3
/=,1
/offers.aol.com/cgi-bin13/flo,1
plu,15
keep,121
screen,64
name,191
aol.co=,1
m.,1
1,000,13
risk,282
No,517
c=,10
redit,1
y=3dnpk0cdrm70ek=,1
0ni0ao,1
//uuhf1img1.uu.flonetwork.com/images/aol/080901//003_signature2.gif=,1
allen,25
pain,3
welcom,96
team=20,1
p.,2
never,26
better,101
for=,4
y=3dnpk=,1
0cdrm70ek0ni0ao,1
tell,38
buddi,10
forward,285
sp=,1
ecial,1
//uuhf1img1.uu.flonetwork.com/images/aol/100401/004_002_for_1000.gi=,1
f,12
//uuhf1img1.uu.flonetwork.com/images/aol/100401/004_002_bottom.gif,1
//uuhf1img1.uu.flonetwork.com/images/aol/071901/003_orange_line.gif=,1
use,523
within,148
initi,74
sign-on,1
To,1029
av=,1
oid,1
monthli,45
fee,55
cancel,103
period,78
end,141
pr=,8
emium,1
servic,996
carri,33
commun,213
appli,80
certain,52
area,236
includ,398
AK,7
even,121
telep=,1
hone,1
phone,138
bill,218
depend,125
locat,224
call,439
e=,5
ven,1
avail,345
US,47
age,12
18,64
older,10
major,74
credit,166
check,149
account,228
importan=,2
T,461
regist,31
bring,105
ow=,1
n,21
mean,70
own=,1
two,200
directli,46
month,292
without,55
altern=,1
ate,3
carrier,13
2.95,2
ime,1
registr,36
base,128
express,56
interest,255
product,343
s=,3
ervic,2
inc,19
wish,62
ani,949
a=,27
ddition,1
promot,20
click,159
mailto,155
offers.aol.com,1
need,561
send,174
blank,3
//offers.aol.com/cgi-bin13/flosens,1
y=3dpk0cdrm70ek5,1
01/17/2002,9
27997,2
01/19/2002,5
27971,3
27948,2
brigg,6
also,380
-origin,492
marvin,4
dayahead,1
snowcrest.net,1
sent,582
monday,294
decemb,76
10,189
2001,953
9:43,2
AM,763
richter,56
jeff,173
subject,688
citi,93
red,42
jeff-,1
link,116
websit,106
job,74
post,76
//ci.redding.ca.us/personel/pwrprsch.htm,1
download,20
applic,159
site,146
well,190
sorri,36
hear,36
way,180
especi,26
year,274
anyhow,1
ask,148
home,114
number-,1
530-226-8046,1
give,112
holler,1
work,562
530-245-7018,1
addit,304
question,575
~marv,1
garrett,2
stephenson,2
would,450
hello,44
holden,483
My,53
execut,105
recruit,26
houston,323
current,276
ercot,5
wscc,43
trade,670
wa,510
wonder,22
look,188
knew,7
someon,30
pleas,1407
let,401
know,550
good,113
number,321
contact,599
repres,67
compani,447
benefit,100
17,77
book,148
back,204
trader,193
thank,761
kane,33
associ,109
713-977-3600,1
mobil,7
281-507-5627,1
2,270.00,3
11,122
21397,2
w/azps/walc-azps/mead,1
230,19
westw,40
500//,1
mead230,5
westwing500,8
stmonthli,2
full_period,5
07/01/2001,1
08/31/2001,1
/mw-m,2
05/08/2001,13
06/11/2001,2
ridg,27
gs.com,16
soon,114
die,28
