request,43
thi,502
ha,112
receiv,66
number,30
autom,3
acknowledg,3
wire,15
case,15
2082605,6
pleas,191
refer,8
futur,27
correspond,4
regard,15
person,24
respons,33
process,32
thank,82
choos,8
ameritrad,12
per,19
settlement,12
custom,48
day,133
transact,29
fund,18
If,120
fee,6
25.00,10
dear,8
valu,18
use,104
featur,17
websit,15
submit,12
withdraw,4
amount,20
5700.00,3
feder,3
secur,23
regul,3
requir,19
stock,9
bond,4
trade,38
settl,8
three,15
busi,66
instruct,6
send,50
upon,5
01/29/2001,3
would,94
like,125
sent,158
prior,10
date,54
earli,17
appli,7
structur,6
follow,33
0.35,3
1000.00,3
one-tim,4
charg,12
concern,20
inquiri,4
contact,86
team,51
servic,72
800,3
669-3900,3
402,3
970-5805,3
sincer,11
damon,4
hyne,3
service/wir,3
specialist,4
inc,3
origin,69
messag,194
exclud,3
note,23
new,139
email,174
address,57
danni,7
laura,17
weaver,4
beebuzzboy,3
aol.com,29
WE,3
look,60
forward,42
TO,11
hear,32
calendar,18
desk,38
enter,19
west,30
know,161
effect,10
today,62
group,56
prefer,8
tell,24
everyon,13
access,32
util,5
shock,12
us,53
assist,32
sit,10
morn,63
vacat,21
trip,30
also,59
let,85
gone,14
doe,31
need,86
nice,8
phone,58
call,106
purpos,47
click,20
link,17
icon,4
ad,12
top,33
mani,67
ina,9
rangel,7
fundi,1
confer,7
portland,24
copi,11
moniqu,122
sheet,2
drop,18
box,10
meet,49
ensur,20
latest,10
thnx,1
http,150
got,41
question,49
jeff,17
espeak,4
event,34
idea,13
thinkbank,3
enron,303
ask,14
skill,6
join,29
offic,54
chairman,6
open,14
mike,32
session,10
may,203
30,13
10,32
a.m.,25
houston,54
time,244
Ca,3
n't,143
make,78
live,26
No,123
worri,11
Go,13
//ethink.enron.com/espeak/exec/default.asp,2
tri,49
answer,16
dure,14
hi,42
read,32
transcript,2
later,34
cost,9
cut,7
still,45
come,92
//nahou-lnapp01.corp.enron.com/ethink/thinkbank.nsf/homepag,2
openpag,2
We,105
've,35
great,77
tuck,3
away,9
braini,1
head,25
deposit,6
fiesti,1
convers,6
go,142
emeet,1
//nahou-lnapp01.corp.enron.com/ethink/emeet.nsf,1
start,40
home,59
dinner,32
perk,6
dog,34
get,201
learn,28
ye,24
pack/start,2
laundri,3
'm,83
flex,2
two,38
suggest,5
1,21
egg,3
bacon,3
/biscuit,2
dish,8
walk,20
2,49
slip,9
run,49
gear,8
grab,10
memori,20
jog,4
stop,32
way,65
pick,19
someth,23
veggi,2
tofu,2
-origin,109
sanchez,107
mailto,72
monique.sanchez,82
enron.com,163
tuesday,42
22,12
2001,211
2:33,2
PM,262
To,246
jmenconi,48
adv-eng-ser-inc.com,50
subject,208
yo,3
hey,47
wonder,26
'd,15
tonight,19
probabl,24
stuff,16
pack,3
germ,3
suprem,3
grouchi,3
best,40
forgot,9
shoe,4
sue,3
hank,5
plan,53
wa,271
....,89
drink,9
work/sparebedroom,3
work,112
shoot,10
line,24
chanc,14
...........,3
laterski,5
Mo,54
winmail.dat,7
select,10
review,11
As,30
afternoon,26
yet,27
ani,121
pep,2
system,59
soon,101
possibl,15
terri,4
bosien,1
human,4
resourc,11
manag,45
associ,19
analyst,17
program,23
level,34
alway,44
'll,110
want,58
spend,16
talk,84
thing,78
say,67
think,108
veri,53
relationship,17
hope,74
well,78
realli,33
past,33
weekend,68
bachelor,6
parti,17
involv,8
imposs,7
fit,9
fact,10
matter,15
sorri,31
obviou,6
simpli,11
enjoy,20
fun,39
intellig,13
At,18
differ,18
give,35
advic,17
good,68
final,18
deepest,6
happen,17
life,28
career,18
etc,12
love,42
provid,57
sort,9
insight,12
help,69
soft,7
spot,14
heart,8
strang,6
cheer,8
success,21
sad,14
troubl,6
becaus,28
across,16
mayb,47
could,67
beer,17
friday,70
last,99
ale,12
hous,29
town,22
avail,40
respond,21
joe,29
joseph,22
F.,21
reid,17
accentur,17
617-454-8636,14
W,23
617-515-7679,14
C,24
design,33
recipi,36
onli,59
contain,30
privileg,24
confidenti,29
inform,97
error,22
notifi,22
sender,24
immedi,27
delet,26
prohibit,24
recip,18
vega,10
pretti,19
time.let,6
den,10
fast,96
compani,74
