agency.com,44
louis,49
dkrunnfusz,6
confer,1125
kitchen/lon/ect,10
08/03/2000,30
enron,13177
dave,223
krunnfusz,4
pleas,6982
wa,5762
would,6448
interest,1199
let,2229
know,3376
name,1244
sure,758
312,38
forward,4732
11:58,13
capit,351
trade,1617
resourc,666
corp.,1137
11:38,18
respond,716
To,8765
lkitchen,2
enron.co.uk,6
cc,5176
bcc,64
subject,7828
followup,19
n't,2124
receiv,3555
respons,2570
e-mail,5508
last,1212
week,1627
indic,649
come,791
london,622
welcom,95
opportun,344
final,622
meet,2314
face-to-fac,3
If,5234
avail,1262
definit,179
reason,1008
put,629
face,194
voic,228
On,484
anoth,588
topic,83
recent,576
found,485
briefli,57
display,14
slide,52
logo,26
told,793
verbal,34
state,2871
compani,2583
went,174
ballist,2
've,419
made,1234
talk,877
organ,550
make,2192
none,134
offend,10
materi,628
distribut,1916
particip,1718
deepli,6
regret,20
incid,71
occur,326
still,828
like,2080
get,3010
togeth,391
wish,286
promis,117
keep,770
pure,25
social,41
busi,2063
discuss,2173
offer,830
sincer,72
david,1063
A.,385
execut,407
vice,213
presid,471
deliveri,500
servic,2080
225,12
N.,148
michigan,40
ave,12
suit,839
2100,4
chicago,69
IL,19
60601,3
www.agency.com,2
offic,1563
729-4567,2
fax,2034
729-4540,2
forster/lon/ect,10
matt,426
guest,27
account,870
ID,187
PW,16
richard,7324
perhap,181
could,2067
pass,401
along,394
phil,116
speak,309
next,1084
thank,4043
02/25/2000,7
01:24,22
AM,4574
motsing,4
02/24/2000,16
02:11,16
PM,5843
cst,93
ect,8908
per,754
carri,167
southard,4
2,1550
expir,117
date,1732
3/16/00,14
ena02141,4
yd92ck71,4
ena72832,4
xz54lm95,4
enrononlin,60
x35221,4
call,3806
approx,57
ago,280
madelon,4
coover,4
mention,467
',4370
ani,8549
thi,19203
us,2532
work,2325
07:08,6
paul,622
goddard,20
06:58,6
jay,87
webb/hou/ect,2
samuels/lon/ect,3
pbibi,2
ect.enron.com,110
rahil,3
jafry/lon/ect,2
fyi,630
1.5,26
agenc,225
jay/dav,2
half,143
tri,993
good,1073
book,300
word,351
'resurrect,2
relationship,198
onli,2440
two,1210
thing,489
said,2278
follow,1739
develop,601
wap/,2
palm,12
prototyp,2
dalla,62
enabl,109
degre,51
quot,86
platform,15
function,227
clearli,195
keen,8
show,600
commit,240
way,826
also,2947
portland,904
eb,154
someth,433
broadband,91
'veri,2
happi,194
We,4015
releas,483
inform,5650
ha,5869
regard,2300
element,65
believ,1547
mark,1758
lawsuit,511
veri,1241
confidenti,3500
damag,829
taylor/hou/ect,49
faq,7
comment,1070
media,58
provid,2145
current,1094
detail,581
specif,767
whi,398
file,3379
injunct,297
time,3722
doe,1409
want,2126
outsid,530
IT,232
consult,370
product,1938
recommend,460
hope,660
prevent,201
polici,662
question,1989
concern,904
pend,404
litig,1845
handl,545
10:57,22
forster,11
02/23/2000,24
appreci,393
intend,4806
guid,77
louise/myself/pr,2
event,552
take,1584
injunction/lawsuit,2
idea,302
expand,103
list,1205
answer,589
absenc,53
PR,22
room,245
back,1177
monday,1005
suspect,105
unlik,127
befor,1450
Q1,2
hire,125
support,799
design,509
built,96
staff,317
Q2,2
involv,897
Q3,2
part,776
system,1285
Q4,2
without,681
authoris,4
Q5,2
amount,909
Q6,2
Do,533
competit,568
lead,332
contravent,4
term,795
contract,1899
whether,1697
matter,1835
yet,495
determin,661
Q7,2
experi,236
avoid,223
valuabl,48
sourc,249
expertis,36
complement,5
strong,172
skillset,2
action,1648
one,2508
tarnish,5
abil,182
capabl,66
Q8,2
repres,1026
posit,944
strength,30
individu,818
contributor,28
Q9,2
prior,490
look,1179
build,322
No,758
use,4716
q10,2
must,625
quit,160
angri,8
splash,2
public,1143
forum,102
disappoint,25
ourselv,51
contractor,102
seem,522
upheld,19
q11,2
gain,61
lawsuit/injunct,2
q12,2
requir,1535
caus,656
result,1228
alreadi,589
compens,78
may,5858
appropri,369
session,195
present,682
bea,20
He,1285
copi,3566
dietzen,14
dure,1025
server,255
web,230
handout,14
mani,604
panel,130
hi,1927
page,329
real,455
project,912
hard,479
abov,1016
describ,348
includ,2398
member,640
gave,184
tatem,6
site,423
