ramona,203
group,337
dale,156
new,603
name,124
list,218
-origin,1211
messag,1312
ratliff,71
sent,1280
2001,716
To,1657
Cc,516
betancourt,136
subject,1455
ca,133
kevin,39
schoolcraft,819
darrel,1156
fyi,143
thank,914
wednesday,383
june,110
06,16
11:55,1
AM,873
kurniawan,2
hendra,2
FW,178
think,154
thi,2328
file,389
refer,25
frazier,82
perri,147
tuesday,358
may,409
01,31
4:15,5
PM,766
hyatt,31
hoang,7
joe,131
licciardo,66
jeann,82
medel,7
gerri,10
check,183
spreadsheet,26
give,216
thought,92
pleas,1143
mark,159
wish,72
want,183
post,140
ebb,6
PT,11
3-0667,4
test,232
wa,717
complet,314
success,118
confirm,223
enw,34
resolut,52
center,160
exchang,77
server,70
process,109
includ,157
crm/cr,1
applic,62
janzen,101
randi,356
beaver,26
co.,45
robert,169
harri,96
octob,224
moon,7
e-mail,301
woodson,35
buchanan,124
john,366
kowalk,152
terri,206
vaughan,56
cara,67
greaney,80
chri,154
scurlock,32
debra,56
mcdaniel,39
janet,48
adam,56
jean,144
linhart,86
sturr,35
kathi,112
benningfield,39
hibbard,33
scott,181
forbish,89
sherri,170
dl-et,70
ga,1482
control,512
i/c,64
poi,185
61463,2
david,547
/,99
duke,61
energi,437
field,282
servic,408
call,735
request,184
interconnect,69
open,102
rate,180
dth,29
begin,136
shut,61
4:00,7
pm,52
16,74
8:59,1
'david,1
',455
RE,291
12,000,3
7:00,105
a.m.,60
17th,11
monday,371
15,147
4:07,3
ha,992
17,000,4
6:30,8
oct.,33
16th,12
ani,643
question,409
andrew,14
advis,41
today,252
anoth,114
2wk,1
befor,132
delmar,2
readi,62
plainview,2
reorder,1
part,88
review,225
attach,535
outag,420
report,551
colleen,11
hood,8
402-398-7124,3
..........................,1
30518,2
raetta,21
blair,206
denni,104
point,656
chang,559
ple,86
updat,338
DL,5
9:25,3
sandi,12
hawk,5
zadow,15
bodnar,17
michael,225
berger,19
larri,68
floyd,12
jodi,15
lynn,192
lee,43
callan,61
nanci,105
clapper,81
karen,160
jame,258
carr,68
jerri,614
wilken,62
washington,72
pat,39
berri,1
rene,22
porter,24
diana,24
bryan,72
shirley,71
walden,61
pepl,4
mullinvil,24
173,1
effect,88
assum,33
responsib,2
perman,5
basi,58
If,714
713-345-2871,2
backup,12
make,365
necessari,65
system,275
reflect,30
J,92
HI,32
pressur,252
tomah,9
valv,157
alarm,51
team,918
lacres,5
valu,105
grave,294
reineck,9
17228,5
instal,126
1,372
back,299
reset,15
calhoun,35
rori,44
dave,53
cammock,4
lacresc,4
520,4
psig,42
discharg,31
regul,33
725,4
525,6
530,5
plattevil,4
owatonna,6
4,246
stoppl,4
cell,69
line,270
toma,2
normal,42
oper,485
9:58,5
hi,175
way,125
start,242
bring,85
Do,66
lower,61
limit,83
us,339
fore,3
warn,3
fail,29
origin,47
715,2
inlet,39
psi,25
750,17
thursday,466
septemb,169
27,95
7:24,2
move,225
10/25/01,3
10/2,2
last,230
10/02,2
10/08,2
We,784
get,483
done,80
earlier,38
month,164
reduct,16
b/l,2
see,400
detail,102
contact,215
peopl,174
replac,71
set,269
11901-byb04,2
sparta,2
takeoff,3
fit,22
upstream,19
downstream,17
BV,2
byb04,2
temp.bypass,2
fab,2
reduc,126
excav,47
65,6
maop,57
dure,194
op,46
lenni,2
klaa,2
608-778-8514,2
507-456-1135,2
midland,12
melinda,52
gallishaw,48
southwest,38
19,106
enron,2360
transport,84
loc,28
3ac3205,20
tel,31
713-853-7688,26
7,235
fax,148
713-646-4808,28
melinda.gallishaw,26
enron.com,371
morri,11
mike,190
kim,113
lebeau,33
lowri,19
phil,37
pribbl,66
offic,208
dan,131
friday,438
He,129
17,92
p.m.,69
gentlemen,22
10:48,5
alder,5
amelia,7
bellard,17
danni,48
brasher,14
barney,14
brassfield,5
bryant,23
clark,28
cole,10
cheryl,18
craig,64
rick,269
garza,1
sarita,1
harkread,12
hawkin,8
hernandez,67
dahlia,7
johnson,36
L.,42
jolli,89
rich,195
keller,39
R.,59
kudym,2
judi,23
ladish,4
lehr,1
tonai,1
maesta,31
gari,502
alliec,1
nelson,28
commun,114
omaha,54
pattison,1
rahn,2
nick,4
rice,40
shafer,15
stephen,125
LD,37
willard,1
young,37
19th,12
visit,63
region,81
voicemail,22
reach,48
pager,24
877-497-5005,4
repres,43
via,42
teleconfer,7
staff,53
meet,458
itinerari,22
amarillo,7
travel,84
18,108
houston,424
million,218
quarter,45
busi,182
ibit,11
increas,150
year,281
earn,23
loss,47
third,36
compar,28
announc,184
perform,65
wholesal,20
provid,260
volum,213
result,127
core,13
natur,155
In,266
separ,35
broadband,11
power,286
analyst,40
due,144
addit,123
financi,74
unit,423
america,56
europ,40
interest,127
remain,71
ago,22
custom,110
segment,42
charg,68
target,54
per,185
strong,10
retail,11
pipelin,270
inform,433
past,69
feedback,8
investor,14
expand,14
sever,115
commod,13
global,88
asset,98
number,269
continu,216
total,200
incom,36
physic,52
market,341
unchang,6
transact,31
gener,103
contract,310
pge,4
price,215
significantli,13
azurix,6
cost,165
corpor,202
associ,48
certain,17
clear,27
away,54
cloud,4
write-down,5
invest,50
thing,71
right,140
estim,158
recur,1
dilut,11
share,75
0.43,1
26,133
percent,42
also,305
track,30
0.45,1
fourth,10
1.80,1
2.15,1
2002,1399
made,207
commit,34
would,541
time,748
strategi,36
email,266
intend,55
explan,6
met,31
discuss,219
receiv,273
consider,7
need,705
respons,62
exampl,21
figur,29
north,210
first,171
previous,38
final,89
even,133
though,16
follow,275
highlight,14
minor,7
tax,26
28,92
754,1
88.2,1
trillion,3
british,13
thermal,1
equival,8
day,558
tbtue/d,1
31,64
701,1
6,181
26.7,1
tbtu/d,1
77,2
290,1
megawatt,3
hour,154
mwh,1
53,5
low,67
volatil,11
caus,54
profit,52
flat,7
71,2
So,51
far,43
ee,6
50,27
larg,33
95,000,1
deal,82
small,23
distribut,50
slightli,9
85,5
portland,4
74,1
enter,80
higher,47
actual,54
settl,7
week,413
agreement,134
sell,80
northwest,36
expect,118
close,80
next,205
elektro,1
dabhol,3
tg,1
wind,12
80,8
current,204
20,145
investment-rel,1
unalloc,1
expens,31
function,19
59,2
106,1
one-tim,6
1.01,1
billion,89
conduct,15
thorough,4
decid,47
take,276
issu,215
potenti,48
287,1
corp.,63
183,1
restructur,27
sale,155
inventori,10
like,330
router,3
content,27
bankruptci,33
544,1
relat,80
primarili,7
compani,553
technolog,76
earli,44
termin,27
structur,44
financ,30
arrang,44
accomplish,14
three,128
show,99
growth,9
2,390
superb,1
3,249
transpar,3
read,93
full,91
press,74
releas,64
go,348
www.enron.com/corp/pressroom/releas,1
sun1017.xl,3
rodenburg,39
eric,64
erodenbu,35
utilicorp.com,35
7:59,2
spraggin,225
internet,51
address,159
support,122
format,79
firstname.lastnam,11
use,322
card,92
onli,285
employe,177
firstnam,4
lastnam,4
non-support,4
import,87
send,209
appear,46
outlook,21
alan,22
smith,133
deliveri,204
decommiss,7
non-standard,3
onc,74
effort,51
longer,85
ect.enron.com,4
ei.enron.com,4
abbrevi,8
acronym,2
altern,28
and/or,51
everi,52
must,64
alreadi,45
new/exist,2
It,233
rememb,58
notifi,69
extern,19
determin,60
lotu,3
note,191
space,24
period,62
append,2
robert.alan.smith,2
ensur,33
prior,64
experi,46
cut-off,3
date,204
come,176
meanwhil,2
imper,4
regard,92
enron.messaging.administr,10
particip,67
cooper,64
administr,29
break,26
present,63
novemb,71
reserv,104
room,86
object,39
6th,40
7th,14
sheraton,11
continent,28
breakfast,11
8:00,106
brown,161
9:30,10
9:45,5
10:30,14
11:30,9
lunch,19
12:30,3
1:30,28
1:45,8
3:15,4
3:30,13
4:30,9
adjourn,2
....,48
tent,21
agenda,42
upcom,131
cross,15
funtion,1
schedul,562
held,58
albuquerqu,47
505-881-0000,4
cut,60
hold,39
block,94
25th,15
soon,66
possibl,171
georg,110
kneisley,11
measur,78
project,278
9:00,35
duan,6
compressor,85
darryl,34
schoolcraft/ron,1
matthews/denni,1
alter,32
control/facil,1
plan,476
watson,175
TW,609
tyron,6
red,57
man,18
pipe,53
suppli,91
ginger,6
bissey,6
cdc,5
2:15,2
hudgen,1
ibuyit,4
e-procur,1
gloria,2
wier/jo,1
jeffer,8
sbp,7
sarabeth,13
data,180
manag,263
norm,23
spald,11
2:45,1
roger,29
osborn,7
safeti,71
remark,1
prepar,43
goal,15
slide,1
10,236
minut,49
concern,138
forward,252
compil,3
latest,44
turbin,46
hickham,2
industri,302
analysi,73
better,70
idea,52
look,329
10/31/01,3
could,230
littl,37
depend,33
solut,96
walk,25
jdrf,7
join,60
auction,7
ticket,88
cyber,4
donat,10
sign,101
big,35
event,184
fun,17
5.00,4
entertain,5
raffl,5
t-shirt,3
great,46
diabet,4
activ,136
place,118
click,320
E,143
caf,2
26th,24
two,235
roundtrip,2
avail,231
enron/jdrf,2
25,107
sneaker,2
collect,32
one,391
walker,15
sunday,103
28th,17
juvenil,2
research,18
foundat,8
cure,2
greenspoint,1
mall,6
a.m,6
24th,18
home,73
page,52
http,206
//ecpdxapps01.enron.net/apps/auction.nsf,1
direct,104
link,85
host,22
eg,10
1:00,30
street,66
front,29
build,95
fajita,2
trim,5
taquera,1
del,25
sol,4
live,37
mango,1
punch,10
airlin,39
airway,1
10.00,1
win,17
drawn,2
2:00,31
bake,1
cake,1
cooki,2
halloween,2
treat,10
purchas,67
paper,169
competit,13
watch,27
although,17
late,55
moment,10
fill,22
form,82
hundr,11
thousand,7
houstonian,1
blast,3
lot,57
good,173
food,19
everyon,125
park,39
site,106
free,142
attend,99
local,16
fundrais,2
keep,159
stand,22
gulf,132
coast,18
area,112
texa,124
entir,26
southern,16
u.s.,43
well,328
top,83
nation,55
janic,5
riedel,4
x-37507,1
cathi,3
phillip,23
x-36898,1
ask,152
generos,2
mcconnel,59
ID,22
select,41
blackberri,16
ipaq,2
respond,28
handheld,8
desktop,7
access,129
pocket,6
PC,2
devic,38
mcfarland,21
locat,192
ehronline.enron.com,2
person,113
either,67
feel,70
featur,258
fulli,19
interact,8
write,14
synchron,1
compos,3
rim,2
exactli,10
came,28
web,42
stock,75
quot,3
news,92
sport,6
coverag,12
nationwid,1
roam,1
fee,71
simpl,12
slim,3
leek,1
eleg,1
design,62
wireless-readi,1
internet/intranet,1
network,37
modular,17
expans,13
pack,22
flexibl,12
industry-lead,1
hand,33
capabl,34
enterpris,9
extens,16
softwar,12
suit,34
choos,22
preview,1
51615,1
upon,24
order,163
find,141
log,169
info,83
approxim,66
middl,25
sap,7
repli,27
n't,385
hesit,11
36136,1
donna,65
713-345-8923,83
rodney,70
barn,47
sharon,101
henley,38
gaynel,41
steve,317
januari,738
alvarado,33
jess,53
armitag,33
roy,58
barri,60
richard,255
braswel,34
keith,52
coash,34
cochran,35
jeffrey,42
steven,294
cum,39
helen,52
ellington,23
hall,48
margaret,54
hardi,35
crandal,43
monden,36
bart,58
moor,118
jeff,225
munson,34
spain,36
ron,149
welsh,34
edward,43
slb,30
still,158
doctor,16
marshal,17
'll,158
surgeri,8
said,107
much,98
talk,134
martha,18
ventil,5
hospit,6
sinc,169
august,128
got,91
medic,20
stomach,4
trach,4
pretti,27
TX,39
yesterday,37
icu,4
juli,120
morn,203
wife,5
tomorrow,69
recoveri,8
IV,4
progress,19
around,85
prayer,17
eat,27
hous,25
rehab,3
respir,3
anymor,9
leak,31
indic,74
09,50
afternoon,92
veri,88
slow,17
went,48
least,36
wait,54
Rm,5
c/o,2
710,2
FM,2
1960,2
road,25
W.,7
77090,2
10623,2
mill,3
circl,5
77070,2
someth,63
thumb,2
tri,127
night,53
say,135
repair,142
antibiot,3
abl,126
hope,79
infect,2
probabl,83
long,75
tracheotomi,2
breath,2
easier,15
awak,2
bit,10
wean,2
perfor,12
heal,3
let,491
know,677
476,2
gayl,11
fix,29
12:24,2
southard,1
miranda,2
fagan,4
fran,7
10/9,2
troubl,30
heav,1
broken,8
stitch,1
goe,32
spirit,6
felt,3
setback,1
2:32,1
9/25,1
patch,7
fissur,1
took,49
remov,99
spleen,1
awhil,2
coupl,58
run,290
hydrotest,1
372,3
6:09,1
9/18,3
tire,5
tie,23
shoe,8
retrain,1
muscl,2
lost,11
weight,18
161,1
Ca,3
sit,15
meal,4
drainag,1
ran,22
found,57
hole,17
12:26,1
8/28,1
hook,6
3-4,2
hard,31
believ,44
therapi,2
tear,2
piec,7
glad,6
save,87
spot,19
23,122
6:15,4
8/23,1
realli,43
sound,22
happi,17
anybodi,2
consid,52
comment,82
almost,30
10:58,4
8/10,1
mend,4
discov,18
fungal,1
resist,4
turn,82
rehabilit,1
facil,80
lay,57
learn,52
amoungst,1
03,25
2:44,2
8/3,1
real,65
yet,42
sleep,4
becaus,84
somewhat,7
2:31,2
8/1,5
delay,53
blood,20
stabl,5
wink,1
nod,1
understand,78
step,36
8:43,2
7/25,1
asleep,1
aunt,2
condit,62
mostli,5
sedat,1
eye,25
doe,137
seem,40
recogn,3
anyon,122
9:31,3
7/19,1
quit,20
intern,134
12,121
8:16,1
7/12,1
reveal,3
drink,15
anyth,76
nourish,1
noth,30
stay,75
albumin,1
level,30
amino,1
acid,4
aid,4
12:48,1
problem,222
seal,4
properli,13
differ,68
8:05,2
6:05,1
plant,290
8:52,4
hello,4
spoke,19
tonight,10
regular,24
mea,1
pnm,48
fox,7
husker,3
huskernews-press-pass,3
tech,19
game,24
pass,80
lists.huskernews.com,2
13,79
kickoff,2
broadcast,2
televis,5
net,57
affili,17
carri,17
saturday,112
9:02,7
box,26
nebraska,3
contest,1
20th,25
accord,30
central,85
mean,48
rocki,3
mountain,11
west,252
etc,29
individu,35
elect,11
nebraska-texa,1
program,130
lsite,1
subscrib,15
llaferl,3
unsubscrib,118
//www.huskernews.com/lists/huskernews_request.html,1
OR,4
blank,9
leave-huskernews-press-pass-5633,1
kick,21
pig,304
san,230
juan,225
squeege,6
later,177
07:50,4
10/15/2001,5
1145,11
flow,417
860,4
newli,12
rebuilt,8
shape,8
dri,24
bushton,68
balanc,80
gasday,1
south-centr,1
713-853-6600,1
video,10
stream,25
teleconferenc,3
telephon,12
all-employe,4
regenc,4
imperi,3
ballroom,5
action,42
're,75
base,94
On,120
survey,11
welcom,25
courtney,1
votaw,1
courtney.votaw,1
713-853-6790,3
interoffic,3
mail,72
EB,18
4704b,1
ken,99
greg,31
video/audio,1
houston-bas,6
london,21
calgari,3
toronto,3
york,48
ena,5
//home.enron.com/employeemeet,2
follow-up,5
public,11
onlin,74
sao,4
paulo,2
bueno,2
air,27
dubai,2
rio,19
de,10
janeiro,2
bothel,2
wash.,2
chicago,4
IL,1
yvonn,2
francoi,2
713,82
345-8725,2
audio,3
view,118
dial,19
connect,21
state,78
888,4
400-7918,1
+1,1
952,1
556-2844,1
encount,12
technic,20
difficulti,2
IT,60
help,162
desk,41
sun1016.xl,3
cst,69
fund,32
option,97
3:00pm,10
contribut,11
fast,27
approach,39
calendar,21
As,129
transfer,21
alloc,164
15th,12
payrol,19
deduct,7
enrol,2
hire,11
remind,18
vanguard,1
lifestrategi,1
fidel,1
freedom,6
chosen,5
At,133
re-open,4
assist,60
transit,15
ext,21
3-7979,1
8:00am,7
29,62
5:00pm,7
benefit,31
pace,9
lifestyl,2
oneok,40
recap,5
3-0518,2
nng,308
winter,24
rsvp,9
sj,28
shipper,28
Jo,19
pinnacl,1
tristar,1
800,19
elpaso,22
keyston,3
reliant,13
14,000,1
Is,53
enronxg,523
s/enron,1219
gallup,178
liquid,49
arriv,31
pull,66
10/12/2001,1
10:02,5
smith/et,51
roensch/et,138
jolly/et,66
san-juan/et,11
gallup-sta5/et,5
cc,193
sturn/et,27
alvarado/enron,4
january/enron,19
schoolcraft/enron,53
kimberli,203
watson/enron,25
ben,170
asante/enron,21
bob,69
mcchane/enron,6
alters/enron,12
trap,4
inspect,38
gallon,7
yellow,7
chalk,4
powder,8
worn,4
blew,8
scrubber,16
ahead,27
om,9
10/15/01,5
sampl,19
lab,4
..........,4
505-863-4104,5
esd,30
involv,45
smooth,11
anderson,21
sturn,33
station,419
input,11
patient,3
rest,30
beatric,12
h.p,3
minim,22
impact,93
maintain,22
requir,147
work,446
greatli,10
appreci,45
peak,52
avoid,21
tri-stat,8
clc,9
gc',1
util,137
choquett,41
procedur,46
usag,6
digit,18
return,78
adjust,22
insur,42
enough,33
analog,8
advanc,16
occur,65
713-853-1534,3
11:02,2
roensch,127
san-juan,28
gallup-sta5,27
asant,60
mcchane,13
weekli,46
jan,94
x53858,14
electr,163
fundament,34
deriv,30
weather,68
futur,77
trade,217
gas-to-electr,12
arbitrag,12
risk,106
characterist,2
knowledg,20
enhanc,16
organ,49
specif,35
hotel,45
412-279-9298,7
//www.pgsenergy.com/schedule.html,8
maxim,12
statist,16
5,176
might,74
money,46
1,295,6
seminar,48
895,7
attende,22
1,600,6
695,8
495,7
adamiak,7
pg,29
train,72
39455,2
mmbtu,79
accur,16
9/27,1
wherea,1
scada,21
58411,1
therefor,24
creat,73
19949,1
ami,236
mulligan,186
3-1936,1
pvr,7
713-853-1936,3
thru,21
10/11/01,1
713.853.7742.,4
j.,4
nomin,175
submit,31
chairman,10
award,133
simpli,23
phone,118
opportun,125
special,35
cowork,2
respect,19
integr,36
excel,14
fellow,2
anywher,2
within,70
famili,25
bottom,12
end,117
obtain,8
intranet,10
home.enron.com,1
elev,11
lobbi,10
everyday,10
hero,1
pick,45
713-345-2492,1
quick,33
instruct,14
leav,52
finalist,2
roundtabl,3
winner,8
honor,2
confer,420
antonio,1
prompt,6
attent,19
stan,14
sun1013,14,15.xl,1
equip,159
meter,74
qualiti,20
efm,2
usual,13
given,23
confus,21
without,71
RJ,13
....................,4
10/31,1
session,40
legal,11
essenti,8
brian,16
schaffer,1
12:00,13
3ac,12
16c1,1
revis,69
logist,35
directori,15
By,25
mistak,4
miss,47
tnx,5
alma,76
G,83
month-to-d,1
pnr,15
buyer,25
p.o,4
dekatherm,10
rate/dth,11
invoic,25
amount,69
calpin,43
27507,7
78151,7
13,000,2
0.3883,7
5,047.90,2
...................,1
frost,6
sullivan,6
telecom,3
bandwidth,8
