let,232
y'all,3
use,168
discret,3
whether,20
forward,280
thi,1224
mcclendon,3
demos,3
2,162
.jpg,3
29.95,16
order,160
ship,61
To,651
jame,64
schwieger,305
jim.schwieg,49
enron.com,175
281-586-0910,6
713-646-2391,6
enron,763
6802,10
pebbl,10
beach,16
dr,6
houston,199
TX,51
77069,13
US,17
total,56
life-s,6
standup,6
6,56
',142
3,108
tall,6
1,209
thank,340
number,160
21114,3
place,82
12/20/2000,3
20:00:51,3
bill,42
code,42
name,167
quantiti,11
price/ea,3
403,5
tom,90
doniphon,3
401,6
john,86
elder,3
2nd,37
day,198
air,63
30.00,4
sale,95
tax,140
0.00,5
89.90,3
tremend,11
would,394
power,82
organ,31
contribut,52
success,14
weather,34
group,94
job,22
forecast,17
servic,241
ga,348
trade,133
year,190
sometim,21
trader,19
forget,7
crucial,3
part,39
significantli,14
believ,76
compris,4
mike,46
robert,26
jose,4
marquez,3
stephen,11
bennett,5
dave,32
ryan,21
one,245
individu,30
done,59
predict,3
summer,37
along,13
rout,14
hurrican,3
take,143
greatest,5
achiev,5
ha,342
novemb,136
decemb,78
winter,12
held,27
fast,17
cold,14
even,64
outsid,19
moder,6
On,37
score,14
card,39
definit,11
deserv,8
A+,3
32nd,3
floor,42
nice,28
stop,29
congratul,11
jim,793
exampl,21
vinc,8
ect,547
J,76
lot,25
It,188
difficult,10
find,84
better,35
commit,18
profession,15
excel,12
guy,39
12/21/2000,2
10:32,3
AM,416
jeff,35
skilling/corp/enron,2
greg,69
whalley/hou/ect,2
david,105
W,41
delainey/hou/ect,10
lavorato/corp/enron,7
cc,230
bcc,7
kaminski/hou/ect,2
subject,499
encourag,15
Be,10
appreci,69
bother,13
anyth,63
ever,18
alway,51
call,212
281-343-8233,3
H,9
832-723-5001,3
cell,32
hate,10
think,169
holiday,35
valu,64
unwind,32
cost,173
new,264
origin,119
updat,66
follow,177
sinc,100
12/20,3
19th,5
interest,77
rate,27
decreas,5
thu,18
increas,29
book,103
creat,39
approx,3
700,000,3
950,000,3
last,102
time,391
202,3
mil,3
chang,154
203.6,3
know,286
ani,353
question,182
all-tim,3
favorit,17
funni,7
turn,42
sound,44
-mark,7
salmon.asf,3
posit,48
wa,507
patrick,37
var,22
open,81
unwound,6
credit,53
market,140
risk,47
5-day,6
collater,10
hi,138
natur,33
bcf,141
hey,11
vacat,24
week,139
brought,19
westpark,8
onto,8
radar,4
screen,22
understand,47
knowledg,11
relationship,4
analyst,33
look,212
ask,103
run,92
exclud,13
later,43
complet,91
exceed,8
i.e,6
1.5mm,3
becaus,90
eventu,6
close,49
deep,6
money,50
busi,99
howev,49
comb,3
volatil,8
price,82
environ,100
prompt,13
daili,14
dramat,3
larg,9
volum,72
side,19
uncomfort,3
300m/bcf,3
rule,11
calm,4
bit,8
onc,58
quot,30
300m,3
1mm,3
post,33
upfront,4
By,24
multipl,16
easili,11
abl,51
stay,27
within,67
99th,3
percentil,3
probabl,43
pleas,565
commun,83
strategi,20
like,198
schedul,334
meet,113
discuss,82
brant,10
=20,129
plan,133
option,64
custom,126
health,16
elect,25
save,152
need,337
pin,31
benefit,30
offer,181
keep,51
pace,16
lifestyl,10
secur,55
check,68
address,160
view,100
pension,6
800.332.7979,6
4,73
digit,20
wait,52
get,306
build,54
2001,543
help,136
avail,147
cst,22
make,177
access.benefits.2001,3
administr,12
function,19
got,28
start,66
01.01.2001,3
outsourc,3
vendor,14
the=20,19
latest,17
technolog,25
best,54
accessible=,3
demand,13
web,75
http,1115
//benefits.enron.com,3
print,21
yo=,3
ur=20,3
request,88
estim,43
your=20,15
If,313
near,18
comput,16
benefit=20,3
form,39
corp.,59
cash,26
balanc,56
esop,4
it=01,3
easi,20
enter,37
social,14
person,78
identification=20,3
initi,23
of=,6
ssn,9
doe,74
No,214
voic,16
mail,85
e-mail,150
long,50
elevator=20,3
bank,28
16th,9
rep,7
assist,46
y=,7
ou=20,3
m-f,3
8:00am,5
5:00pm,16
there=01,3
HR,11
info,15
zone,16
locat,88
lobbi,10
you=,3
navig,5
come,96
soon,45
area,37
kios=,3
k=20,3
phone,105
away,30
5=20,3
In,129
addit,99
abil,15
famili,58
stat=,3
us=20,3
onlin,71
note,87
longer,26
ehronlin,15
year=01,3
resolut,28
connect,38
benefits=01,3
assumpt,53
issu,100
60,51
revers,29
bammel,99
inject,94
brian,136
problem,55
cushion,60
level,45
fact,46
everyon,80
awar,35
1992,15
physic,64
includ,126
attract,8
cover,36
backsid,8
deal,76
team,116
account,141
As,125
well,120
given,52
work,254
continu,79
regard,114
delainey,8
01/10/2001,8
PM,721
storag,151
disappoint,21
made,51
six,16
march,74
31,43
record,66
situat,20
withdraw,50
april,61
2007,21
suggest,34
involv,27
way,95
assur,5
neither,7
tri,59
blame,18
is/wa,3
genuin,3
breakdown,6
somewher,10
desk,47
appear,24
black,20
white,22
legitim,6
point,30
execut,47
compani,139
tim,8
absolut,8
respons,72
ensur,28
aspect,6
transact,49
manag,115
correctli,9
nevertheless,3
amaz,9
divest,3
size,17
complex,8
intertwin,3
overal,8
framework,4
ena,42
candor,3
unselfish,3
matur,3
bring,49
texa,196
07:20,3
04:56,5
redmond/hou/ect,31
colwell/hou/ect,12
thoma,65
martin/hou/ect,18
edward,26
D,36
gottlob/hou/ect,21
'm,68
veri,78
angri,5
comment,49
hpl,164
asset,40
disposit,7
realiz,28
impact,171
design,35
set,42
straight,5
spirit,12
friendli,10
first,111
eight,5
wade,5
redmond,54
attent,13
colwel,14
