kitti,21
offic,843
realli,1688
miss,592
mine,169
jail,16
s/enron,6929
enron,14228
efbh,33
thi,13881
lindi,225
get,5214
fts-1,96
would,5044
discuss,1090
alloc,198
fts-3,37
capac,2256
To,7531
servic,2621
happen,356
thank,2900
go,4989
need,3067
mari,825
kay,403
susan,6312
cc,3442
glen,727
hass/et,226
donoho/et,118
subject,6818
last,2140
know,5111
work,2660
peopl,1130
put,783
bucket,70
cancel,199
cut,152
becaus,1384
n't,6092
look,2129
whether,608
ani,4825
chang,2434
made,949
pro,50
forma,15
sheet,233
've,1859
file,2627
back,1890
miller,113
12/21/99,3
10:30,53
AM,2897
scott/et,1058
Re,1160
talk,1474
friday,1580
let,2908
us,2293
manual,30
process,535
still,1376
think,3143
MK,62
scott,2250
12/17/99,3
03:14,17
PM,4268
miller/et,333
sharon,64
solon/et,13
In,1666
finer,5
point,1672
market,2152
issu,1419
ha,3831
arisen,5
respect,282
We,2981
abl,728
separ,252
purpos,242
due,381
circumst,65
say,1535
window,150
socal,553
c.,48
whi,670
If,3492
becam,97
constrain,30
given,482
day,3789
togeth,659
essenti,94
enjoy,633
use,2325
creat,470
well,2062
good,2580
minut,487
told,450
necessarili,90
onc,572
ft,8
schedul,988
flow,286
ga,2439
right,1958
keep,953
scenario,35
feel,1051
unless,284
doe,1456
show,698
obvious,169
like,3383
system,1046
ca,695
continu,632
resolv,102
monday,1144
time,4572
next,1478
week,2871
SS,29
wa,5745
best,1172
kid,329
lunch,469
alway,686
art,266
It,2072
babi,165
jim,320
mom,235
wait,552
leav,819
everyon,765
start,1116
see,3106
way,2863
want,2767
friend,1505
call,2834
play,524
divers,29
letter,884
pay,526
one,4038
seen,256
hang,212
ferc,924
Hi,496
updat,603
hear,899
sorri,491
grayson,43
crybabi,3
tough,75
doctor,54
app't,3
bet,142
readi,225
weekend,1749
'll,2478
around,1343
everi,753
could,2276
matern,3
daycar,3
arrang,213
gener,693
head,595
social,117
life,900
parent,351
end,1018
rais,223
seem,557
turn,656
fine,332
even,1388
hand,367
stay-at-hom,3
met,286
someon,500
sever,471
saniti,14
sake,15
mema,34
wednesday,882
treebeard,3
impress,169
gotten,101
messag,3086
exactli,149
drop,366
spontan,21
visit,1684
meet,1597
reason,548
behavior,101
run,587
cowork,26
greatest,73
god,230
never,886
rememb,811
name,1462
might,778
bill,613
saw,211
night,2717
fuck,210
take-off,29
scarlet,3
thought,1125
funnier,7
actual,796
pretti,637
dark,46
bearer,8
abortionist,3
strang,44
land,324
son,54
despit,62
matter,407
veri,1528
long,926
space,213
warehous,3
district,65
directli,298
north,488
downtown,205
nanci,297
littlejohn,3
worthington,3
galleri,49
nearbi,36
mostli,45
sponsor,209
danc,146
dramat,28
perform,301
product,609
lot,582
top,581
cool,191
thing,1981
tri,1507
serv,357
board,271
director,191
drive,366
nut,44
guess,312
read,764
case,614
wan,16
na,73
bang,32
drum,6
pleas,5263
send,1636
news,352
littl,1300
bug,75
love,1602
poem,56
http,6584
word,1857
cataract,13
poet,88
awad,461
come,1819
william,479
wordsworth,9
earli,395
later,895
heart,203
