turn,15
left,48
top,20
broadway,4
way,97
council,7
crest,3
bring,26
goodi,5
hospit,2
seattl,3
budget,3
go,292
2001,402
desir,8
salari,3
expens,51
special,50
stuff,44
bonus,2
list,212
guest,3
includ,109
name,205
number,171
kathi,33
It,172
time,374
start,105
plan,141
2002,297
Mt,18
bachelor,7
ski,12
trip,14
idea,30
need,445
pleas,550
preliminari,3
custom,61
employe,95
would,332
like,317
ad,58
Be,9
sure,102
complet,126
inform,219
compani,135
address,101
telephon,10
fax,61
thank,461
S.,19
11:40,1
leav,43
ski-trip,1
last,99
year,67
confirm,419
code,52
28944,1
guarante,2
late,18
arriv,3
rememb,23
give,104
thi,1244
meet,180
seat,3
16f,1
15f,1
fun,24
KA,1
head,19
hunter,8
migrat,26
n't,284
ub,206
freeland,31
cara,821
complianc,18
form,65
8th,10
send,67
hey,10
make,180
old,58
come,105
egypt,2
-origin,585
messag,695
semperg,434
sent,663
wednesday,132
februari,151
06,22
10:33,2
AM,383
To,670
dl-portland,18
world,43
trade,134
center,72
subject,667
TO,57
ME,10
BY,6
import,88
high,30
new,411
file,191
one,287
batch,15
sign,27
document,51
certif,55
even,93
If,276
know,377
ask,80
dave,56
steiner,26
ani,361
admin,3
card,71
doe,131
chang,296
could,115
alway,30
tri,128
.....,26
tuesday,131
05,15
1:03,4
PM,380
fitzpatrick,34
ami,72
ssn,4
appli,19
help,166
'you,3
2,163
week,116
',88
note,87
gave,27
request,252
resourc,86
receiv,138
email,104
becaus,87
data,278
approv,77
click,94
http,910
//itcapps.corp.enron.com/srrs/auth/emaillink.asp,33
id=000000000081940,2
page=approv,33
review,96
act,35
upon,49
ID,83
000000000081940,2
creat,161
date,168
1/30/02,4
10:18:24,2
nick.hiemstra,2
enron.com,155
enpow,258
north,76
america,66
west,217
product,155
pwr_portfolio_us,4
type,60
applic,154
e-mail,210
enron,486
intend,115
recipi,104
contract,95
schedul,539
corp.,86
agre,41
basi,36
want,210
set,74
UP,6
pat,9
look,228
affili,49
may,223
use,242
cob,61
WE,7
ON,33
daili,61
