work,1224
address,499
pillsburi,6
street,360
san,109
francisco,46
CA,67
home,286
info,139
hug,25
sarah,271
....,416
jeffrey,4468
love,269
madison,10
sutro,3
llp,23
50,257
fremont,3
94120,3
email,627
chang_sk,3
pillsburylaw.com,3
2999,3
california,153
apt,22
32,32
94115,3
wonder,141
lost,136
contact,678
b/c,58
download,26
disk,51
could,1107
open,384
onc,194
got,325
happi,331
healthi,15
lisa,218
shop,69
wed,110
present,500
let,1315
know,1890
're,326
get,1933
chanc,141
kiss,9
jeffrey.a.shankman,481
enron.com,2160
wrote,72
Hi,421
lot,276
john,1832
yet,205
spoken,15
overnight,28
financi,777
data,146
arriv,105
befor,491
thursday,563
thi,6978
week,1973
kind,156
regard,1044
georg,493
dorsey,17
713,359
302,15
2047,15
develop,535
start,516
talk,646
preston,2
head,338
ph,4
admis.com,2
02/14/2001,20
06:03,10
PM,3313
To,5219
jeff.shankman,188
cc,3664
subject,4940
adm,2
jeff,3205
enjoy,122
visit,356
last,1328
subsequ,22
meet,1902
speak,239
greater,86
length,23
physic,274
deriv,103
trader,518
may,1184
well,1021
provid,602
examin,49
way,515
togeth,289
otc,80
risk,674
manag,1236
clear,233
collect,113
would,3000
like,1845
proceed,153
updat,529
saudi,55
oil,569
thank,2374
pleas,2831
keep,398
today,776
.....,86
enron,12898
north,294
america,334
corp.,796
clayton,40
seigl,33
10/12/2000,30
09:27,5
AM,2977
shankman/hou/ect,3093
ect,12326
follow,935
reiter,28
ye,216
40,134
abov,260
howev,424
israel,23
thing,467
bad,118
peopl,572
die,25
turn,160
religi,8
war,42
al-aqsa,2
mosqu,2
ruler,2
come,841
seriou,44
pressur,100
help,899
west,96
produc,327
arab,19
leader,78
hold,205
summit,18
oct,133
21,106
cairo,4
cj,5
_______________________________________________________________,28
messag,1845
intend,499
whi,195
worrier,2
It,1066
wa,2956
fine,180
......,56
A.,260
schiffman,38
lschiffm,37
jonesday.com,44
08:52:36,2
jshankm,151
ani,2147
attach,795
individu,169
entiti,131
name,458
If,1365
recipi,420
read,194
copi,383
use,984
disclos,116
commun,1936
also,1452
notifi,120
sender,141
repli,214
delet,198
system,415
hope,797
goes/went,2
press,202
releas,236
draft,124
sempra,55
energi,906
synfuel,30
sempra.doc,6
realli,379
n't,1829
want,1140
Is,145
good,839
reason,200
forward,2357
08:15,11
eric.thod,3
08:12:02,3
mark.frevert,6
mike.mcconnel,20
george.mcclellan,3
kathryn.corb,3
mark.palm,9
kinder,7
morgan,175
egm,515
deal,1323
plan,765
reloc,27
two,636
facil,122
virginia,12
make,1093
comment,276
correct,97
return,307
friday,654
octob,1263
13,167
9:00,34
question,702
call,1494
ext,51
3-9053,8
eric,407
see,1045
file,589
offic,887
think,967
Do,246
idea,429
number,697
attende,42
particularli,94
global,523
market,2375
joseph,129
P,293
hirl,70
10/11/2000,82
09:02,2
mike,1188
mcconnell/hou/ect,512
japan,289
mike/jeff,36
abl,349
attend,400
31,81
joe,292
enron_develop,1663
confer,524
david,693
around,413
W,276
bill,464
doug,298
gastech,41
2000,852
luncheon,29
invit,236
novemb,952
world,269
R.,47
brown,119
convent,18
center,258
year,1687
sponsor,75
lay,209
dine,18
room,172
locat,254
detail,343
07:47,3
denni,57
vega,24
05:25,8
sutton/enron_develop,18
mark,1148
frevert,66
shankman,1528
delainey,46
steven,131
J,656
kean,13
gathmann/enron_develop,34
haug/enron_develop,31
arnell/enron_develop,25
henri,59
means/enron_develop,13
revis,156
14-17,5
houston,831
host,68
one,1491
largest,159
intern,305
natur,298
ga,955
lng,895
lpg,48
take,969
place,358
expect,607
attract,84
3,000,13
deleg,12
ha,2470
play,137
lead,303
role,154
mani,482
particip,570
promin,15
exhibitor,5
sever,341
execut,534
moder,24
panel,138
includ,759
haug,17
gathmann,8
arnel,39
Dr,7
On,320
wednesday,405
15,298
ken,139
serv,135
keynot,14
speaker,84
12:30,27
p.m.,174
sit,47
tabl,237
ballroom,13
level,535
three,337
rsvp,42
via,179
e-mail,932
5-6442,5
hal,5
mean,215
5-5384,5
guest,40
list,557
final,336
entranc,11
pass,112
transportation/park,5
pertin,8
best,595
sheila,253
shelli,187
program,512
jennif,864
analyst,691
chang,810
butler/hou/ect,46
top,243
offer,855
summer,174
a/a,91
believ,419
group,1257
process,409
rice,74
go,1453
interview,590
super,227
saturday,367
graduat,72
fraser,183
receiv,764
except,133
inform,914
evalu,61
fraser/hou/ect,156
jones/hou/ect,63
fred,96
lagrasta/hou/ect,41
Re,1283
leadership,53
candid,227
rotat,110
upon,105
much,629
ted,154
C,250
bland/hou/ect,35
jen,115
01:14,14
morn,363
assist,306
project,534
structur,334
price,1394
custom,417
'd,556
confid,187
abil,166
jana,74
giovannini,27
05:15,27
charlen,121
jackson/corp/enron,50
note,526
brought,47
came,126
normal,162
campu,56
recommend,129
round,101
off-cycl,17
allow,263
review,532
skill,186
said,1469
highli,60
forgo,8
agre,298
first,726
confirm,269
made,383
accept,235
03:46,12
01:18,9
base,346
butler,11
describ,60
understand,334
advis,158
effort,252
jone,570
recruit,227
current,687
hire,121
per,690
convers,132
resum,474
middl,111
part,425
mentor,28
seek,133
busi,1658
internship,12
non-busi,7
major,293
essenti,62
pool,49
academ,25
divers,44
bright,28
outsid,119
box,81
enrononlin,204
200,54
user,142
instrument,38
ensur,129
success,215
By,240
time,2074
left,176
sign,375
70,39
US,509
industri,436
consum,91
quick,115
studi,75
evidenc,18
rapid,36
grasp,13
key,165
concept,61
everi,195
swap,188
option,473
newslett,58
client,100
demonstr,33
ethic,11
combin,139
attribut,36
among,109
full-tim,26
job,205
2001,2143
prepar,126
need,1420
matter,169
michel,341
wharton,568
nezi,208
mba,69
marvin,134
run,471
problem,445
find,490
mgr,34
consid,201
assoc,8
put,634
kevin,357
mcgowan,48
went,173
phila,22
possibl,526
'll,801
leav,280
michael,453
popkin/na/enron,23
peggi,88
determeyer/corp/enron,13
laura,152
howenstine/enron,27
bryan,64
kite/enron,13
marvin/enron,77
wesner/corp/enron,39
patrick,112
conner/hou/ect,18
jayshre,28
desai/hou/ect,25
tom,342
dutta/hou/ect,31
matthew,134
goering/hou/ect,23
kenneth,143
horton/enron_develop,13
kathleen,33
wagner/na/enron,13
betsi,35
bassis/enron,16
connolly/na/enron,23
brad,242
hitch/enron_develop,23
colin,34
jackson/enron,25
gillian,24
johnson/na/enron,23
william,221
keeney/hou/ect,25
jebong,24
lee/enron,29
stephen,153
pirozzi/lon/ect,39
cwang2,13
rodney,44
malcolm/hou/ect,30
L,760
nowlan/hou/ect,366
kyle,31
kitagawa/cal/ect,13
natali,39
halich/enron,28
sean,42
holmes/hou/e,31
ee,1551
jordan,64
mintz/hou/ect,26
Li,84
sun/na/enron,32
teresa,56
dyar/na/enron,32
kyu-bong,20
lee/na/enron,19
evan,51
betzer/enron,21
In,949
upcom,63
event,363
team,508
1pm,4
44c1,2
look,1283
huge,60
becaus,570
start-up,13
longer,157
dozen,24
invest,494
bank,488
face,148
uncertainti,37
result,316
recent,384
merger,198
advantag,76
involv,255
aspect,45
whether,196
ca,210
area,205
interest,1028
biggest,73
right,641
9,181
10,353
We,1806
12,236
9th,54
6,321
VP,82
10th,19
broadband,155
servic,823
853-6848,55
coordin,147
hunter,60
hi,766
avail,423
03:47,8
bland,35
02:03,11
giovannini/hou/ect,22
shanna,176
funkhouser/corp/enron,30
request,422
ten,28
fundament,147
core,61
train,136
next,989
month,690
greatest,23
decemb,539
remaind,39
spread,169
earli,313
send,501
potenti,338
fall,245
categori,41
preliminari,41
anyth,234
suggest,247
sorri,222
miss,104
phone,301
hous,259
troubl,67
alma,82
martinez,77
10/10/2000,116
10:00,34
hey,100
enronxg,84
astrodom,20
19th,55
februari,154
build,336
shuttl,13
nicki,65
rodeo,26
monday,741
6pm,14
10.30pm,10
