budget,1015
attach,2699
inform,3151
2001,4981
becki,48
melinda,130
salari,62
106,499,3
47,225,3
respect,548
thi,15163
roll,206
jean,388
mrha,6
If,2754
ani,5389
question,2374
pleas,4287
let,1772
know,2547
thank,2665
stephani,70
x31688,3
cost,2581
center,585
month,1589
report,4134
review,1693
rick,1882
march,355
23,325
'm,647
sap,36
anyth,396
ordinari,13
sever,1203
imagin,67
onc,561
wage,30
end,1336
includ,3341
comment,2494
concern,1698
eric,672
headcount,60
meet,3893
wednesday,994
addit,1877
request,1676
4/11/01,3
In,3500
excel,166
spreadsheet,126
indic,884
2000,1281
current,1966
anticip,218
2002,1039
2003,234
advis,518
need,4042
travel,344
tap,79
enron,16665
approv,1495
expens,548
purchas,1123
ticket,139
agenc,710
save,574
contract,2576
airlin,123
advanc,388
also,4560
rate,3265
15,691
28,182
....,515
25,465
busi,3350
30,614
domest,229
trip,144
spousal,6
effort,1616
control,1023
jeff,1588
skill,318
suggest,1051
hi,2614
floor,381
last,2487
week,3204
would,8191
like,3010
everyon,417
park,139
prefer,472
agent,116
receiv,1871
use,3362
insurmount,3
see,1954
list,1377
ha,8876
negoti,966
whenev,46
possibl,1392
plan,3094
least,576
3-7,3
day,2117
often,185
pre-purchas,3
outweigh,12
potenti,692
switch,307
fee,369
abl,688
give,1279
better,667
price,5196
hotel,129
reserv,939
hickori,6
cheaper,41
corpor,878
phone,852
number,1375
713-650-8080,6
web,362
address,1314
http,5709
//www.travelpark.com,3
america,790
west,535
american,799
continent,159
17,364
full,810
coach,20
fare,53
us50,3
to/from,12
europ,885
delta,21
5-28,3
northwest/klm,3
20,849
intern,1137
twa,4
21,285
54,32
houston-toronto,3
onli,2263
unit,1566
US,675
airway,8
british,110
air,380
35,121
time,4222
interest,1836
spous,9
compani,5942
necessari,532
immedi,614
supervisor,75
shapiro,1674
find,1261
form,671
gngr,51
713-853-7751,135
updat,797
rcr,170
statu,567
file,2697
elizabeth,416
hardi,96
move,1290
varianc,33
actual,516
1.3,29
million,2330
sent,2837
email,1091
appear,732
though,404
ad,874
absorb,28
group,3497
'll,672
work,3752
want,2769
washington,1021
To,5654
distribut,897
benson,70
electron,381
copi,1062
april,652
12,406
regulatori,2057
risk,1182
analyt,68
103246,6
amr,380
ibrahim,219
benefit,631
collaps,62
100108,9
103885,3
It,2570
understand,944
harri,761
disband,11
print,180
make,3017
note,1765
employe,975
tax,1091
hit,212
thu,465
far,625
steve,1496
kean,393
cover,569
jim,1161
steff,800
coordin,598
amanda,17
schultz,7
account,946
side,480
thing,735
check,385
gener,3889
chang,2487
ect,1827
euenronxg,404
alloc,593
environment,619
classifi,40
polici,1757
stephen,443
may,4554
cc,2329
richard,2392
subject,5245
05/16/2001,45
PM,3436
paul,1753
get,3122
manag,2347
n't,3283
offic,2280
forward,2852
AM,2210
steven,445
J,550
shapiro/na/enron,427
Re,646
doug,448
issu,5271
analysi,751
asset,1152
eh,65
seem,642
howev,1519
chief,905
environ,392
complianc,218
We,4063
year,3583
linnell/na/enron,30
05/17/2001,62
kean/na/enron,137
peter,873
greg,286
wood/enron,36
dawson/govt,60
affairs/lon/ect,63
hennemeyer/lon/ect,72
wood/lon/ect,59
mark,1564
think,1935
part,1181
within,1015
op,11
reg,99
tech,124
doe,1801
public,2013
relat,1072
gov't,136
affair,1982
whether,1115
consolid,165
separ,535
categori,97
first,1660
've,769
seen,345
happi,209
reflect,463
categor,5
defin,306
next,1997
level,923
involv,689
owner,214
05/18/2001,52
08:52,7
11:31,12
Is,207
bother,20
discuss,2886
11:30,49
07:19,14
help,1802
one,3363
07:18,10
style,301
02:07,3
mcmahon/lon/ect,6
