penalti,7
theresa,543
rainbow,9
ga,213
linda,13
want,157
charg,96
balanc,42
ewe,3
pam,7
chri,78
faul,2
refund,4
actual,27
go,230
713-853-5667,2
thank,406
-origin,319
messag,494
boxx,2
B,1271
sent,433
june,24
2001,667
PM,459
To,650
staab,284
subject,494
calcul,11
pleas,552
let,297
know,362
invoic,111
paul,63
lucci,117
send,195
updat,1469
ha,641
request,46
prepay,1
still,223
owe,9
receiv,482
8,604.00,1
thi,1843
leav,24
10,177.00,1
Do,211
deduct,4
call,167
john,63
childer,1
281-646-0232,1
last,177
time,456
spoke,8
wa,502
pay,57
charag,1
plu,57
agre,18
volum,82
wait,40
hear,23
reach,74
thursday,169
21,24
4:32,1
Cc,73
J,10
RE,120
attach,144
spreadsheet,31
show,93
ani,427
question,293
concern,56
enter,76
custom,114
713-853-1468,1
friday,130
15,113
1:48,1
revis,46
file,112
may,332
2001.xl,1
303,104
575-6485,46
deal,289
fugg,70
interconnect,18
imbal,137
draft,17
thing,56
12/99,7
10/00,8
sale,88
suppli,19
realli,84
creston,116
contract,125
need,270
work,221
1,527
powder,8
river,9
extern,11
pool,49
01/00,1
02/00,1
03/00,1
2,1024
07/01,11
3,170
psco,53
05/00,1
swap,4
4,182
take,196
look,237
149162,1
52,221,3
noth,15
5,159
561930,1
09/00,1
69,461,3
set,39
point,212
6,151
04/01,1
96027895,1
414117,1
rate,116
chang,279
.054032,1
.39078,1
Is,18
correct,67
59,000,1
7,141
96041735,1
423796,1
78,590,1
dth,11
.65922,1
51,808.10,1
juli,54
greeley,33
valeri,34
august,80
add,32
onto,4
If,317
version,19
well,144
'll,293
come,88
across,13
septemb,97
14,55
3:55,1
vela,21
adjust,27
account,55
4500,1
mmbtu,19
deliv,27
27,25
28,26
29,39
also,137
mistak,4
3rd,10
parti,47
util,11
fee,48
redraft,10
everyth,23
ok,10
e-mail,235
along,26
01,18
final,126
9-14.xl,1
928,28
enron0106.xl,2
quit,11
re-do,1
due,115
sever,29
month,165
re-bil,1
explain,8
-craig,13
W.,28
lipk,14
citizen,59
energi,116
phone,99
226-2243,10
fax,133
226-2168,10
cell,77
520,2
699-3683,10
x,8
total,134
price,191
octob,291
darla,7
colorado,38
aug-01,2
sub,2
cig,53
2.245,2
south,19
credit,25
email,299
use,367
monday,260
08,10
4:47,1
saucier,2
FW,66
get,450
decemb,110
answer,70
asap,7
transport,31
16,779.51,1
3,135,1
2.21,1
6,928.35,1
4,960,1
2.65,1
13,144.00,1
36,851.86,1
33175000,3
5,179.85,1
33171000,1
30,548.44,1
31029000,2
497.84,1
north,49
38243,1
85855.54,1
fix,17
8257,1
18,536.97,1
index,6
8741,1
2.13,1
18,618.33,1
tran,2
97,030,1
.06,1
5,821.80,1
1,750.53,1
151,664.64,1
188,516.50,1
note,84
In,96
made,59
reduc,22
lgs/woodward,1
deliveri,34
white,53
rock,18
fyi,11
craig,14
mailto,135
cwlipk,5
czn.com,9
05,13
10:30,7
AM,359
transmit,19
commun,54
co.,13
confidenti,42
intend,106
sole,37
individu,54
entiti,21
address,168
expressli,10
prohibit,29
error,28
notifi,30
sender,45
immedi,41
review,79
letter,30
support,86
bill,87
enron,499
rel,6
colorada,2
divis,20
hardcopi,3
document,51
follow,137
via,38
US,25
mail,71
520.226.2216,2
matter,32
citizenslgsreconciliationletter10-10-01.doc,2
citizenslgsreconciliationcuc10-10-01.xl,2
tf-1,6
331750000,3
coganja,8
aol.com,172
mdq,5
nov,13
apr,4
sep,23
oct,40
jun,4
aug,10
jan,15
inform,241
As,62
result,38
discount,24
full,44
capac,20
504,16
12,284
10:58,2
plucci,5
enron.com,180
sbreen,4
execut,20
new,527
nnt,5
servic,216
copi,55
forward,59
flagstaff,1
No,198
type,24
331710000,1
8,375,1
march,4
5,954,1
3,130,1
2,175,1
dec,11
nnt-1,1
6,579,4
6,441,2
feb,3
5,151,2
mar,3
3,750,2
2,519,2
838,2
972,2
jul,3
987,2
3,618,2
6,250,2
earlier,5
would,315
one,347
10,550,2
see,248
case,18
minut,55
two,159
continu,132
except,9
storag,70
inject,17
unfortun,1
elimin,2
prior,62
reserv,215
fulli,11
effect,54
tariff,7
releas,65
comput,17
My,34
apolog,9
sooner,6
awar,10
sean,16
breen,3
sincer,30
A.,9
cogan,8
johnco,8
group,39
llc,25
3629,8
lake,13
kristin,9
drive,23
gretna,8
LA,14
70056,8
392-7557,8
home/offic,7
491-2874,7
208,10
730-4713,8
right,192
forgot,3
lgsi,6
wrk,2
enrn0108.xl,4
analysis/breakdown,2
got,65
done,48
help,187
afternoon,26
tomorrow,64
n't,575
five,54
day,307
payment,54
transfer,14
explan,2
enrn0109jac11-01-01.xl,1
agreement,16
exist,15
hedg,3
like,248
assum,24
ena,47
forth,2
monthli,9
absenc,26
anyth,44
valid,26
transact,105
2000,30
assist,36
find,129
april,8
'm,128
start,595
els,71
megan,43
breakdown,26
enr0107.xl,1
modifi,10
paramet,2
24,46
11:11,2
