form,1096
agreement,1752
right,301
enclos,299
draft,1101
amend,726
revis,429
setoff,221
languag,1176
financi,368
master,1084
pleas,2490
note,380
onli,494
triger,1
upon,154
occurr,17
earli,102
termin,591
date,817
consist,58
expand,17
joe,138
let,1029
check,244
william,152
concern,262
thi,4452
carol,7224
threshold,288
us,647
15,000,000,22
want,999
mac,154
trigger,169
Is,240
rate,241
tanya,134
We,1196
final,389
got,104
csa,171
counsel,309
question,605
1,910
amount,382
7,500,000,4
reason,138
gave,28
themselv,4
2,866
assum,153
bring,63
zero,46
bbb-,42
3,624
issuer,76
LC,263
either,250
A-,22
S,142
P,182
A3,8
moodi,64
Do,255
insist,29
requir,261
4,427
guaranti,787
cap,92
bill,520
mark,1076
sound,62
work,976
alloc,8
leboeuf,12
hour,154
thiat,2
would,1715
lesli,276
take,453
look,904
connect,88
deal,560
inherit,8
lou,54
whatev,42
group,565
windl,22
gauarav,6
babbar,58
part,391
st.,2112
clair,2947
EB,1834
3892,1164
713-853-3989,1876
phone,2055
713-646-3393,1830
fax,2367
carol.st.clair,2427
enron.com,4560
taylor,189
07/27/00,4
06:20,2
PM,2239
To,3058
St,2666
clair/hou/ect,1815
ect,3895
cc,2436
subject,3025
receiv,563
done,277
june,416
ace,126
insur,156
matter,167
bit,32
36,000,2
includ,510
around,118
23,20
PB,2
wright,34
12,000,2
38,2
SD,2
avitabil,26
13,000,2
doe,341
busi,344
unit,116
go,738
east,8
power,527
trade,655
turn,78
=20,618
left,150
memori,24
enron,3229
execut,462
sandman,10
shepherd,14
exit,12
way,185
drive,52
=09=09,110
2000,417
enron=01,36
campaign,12
feagan,6
light,58
coupl,39
block,20
abl,234
mayfield,4
remind,34
week,850
rsvp,22
you=,6
august,56
host,8
a.m,12
depelchin,4
children=01,4
center,60
100,74
intersect,4
directli,24
call,1068
juli,158
transport,24
bu,8
direct,126
solicit,14
the=20,48
make,584
http,110
//unitedway.enron.com,6
site,58
see,828
downtown,18
west,72
first,181
north,259
i-10,4
Go,6
durham,4
kathi,6
matern,80
leav,324
attend,98
function,18
=09kathi,2
=09sent,16
announc,36
=0907/27/00,2
06:13,2
=09=09=20,20
import,91
breakfast,2
one,542
away,52
alreadi,107
thursday,157
sutton,4
friday,271
jeff,290
skill,24
time,914
7:45-9:00,2
locat,112
near,30
repli,82
email,526
jessica,2
nunez,2
853-1918,2
by=20,2
monday,297
31=20,2
depart,99
build,20
andrew,62
street=,2
side,136
promptli,40
7:30,10
encourag,4
due,88
limit=,2
ed=20,12
onsit,2
park,76
howev,145
need,1409
depelch=,2
in=20,4
kicked-off,2
24,82
well,341
underway,4
As,382
know,1291
particip,60
team,121
vital,6
success,14
of=,14
contribut,30
click,120
follow,569
united=,2
link,68
internet,58
explor,20
or=,8
netscap,2
type,161
address,366
field,22
eith=,2
er=20,8
option,342
yo=,4
u=20,2
pledg,23
within,143
minut,48
kathy=20,2
coordin,136
713/853-3264,2
any=,6
difficulti,14
access,111
forward,1915
next,452
=01,94
713-861-8136=,2
houston,260
prairi,2
allen,8
parkway,6
shepher=,2
d.,2
galleria,2
area,96
610,2
woodway/memori,2
woodw=,2
ay,2
woodway,2
stay,56
shepherd.=20,2
45,24
59,4
south,30
shepherd/durham,2
to=,38
freeway,2
invoic,40
realli,174
suzann,556
hope,484
visit,102
n't,772
hous,98
think,775
get,936
becaus,196
charl,136
thing,221
like,790
come,238
could,778
fine,201
give,319
day,742
past,64
someth,158
veri,191
much,177
everyon,76
alo,177
stop,36
ca,136
'm,529
sure,421
weekend,61
adam,178
Re,812
everyth,102
although,126
spend,36
space,22
sens,32
