jim,2743
attach,1696
list,935
person,289
prc,8
accomplish,36
also,1881
left,194
hard,230
copi,625
linda,725
put,484
togeth,275
folder,29
thank,1917
masha,4
certifi,72
capit,201
compani,2917
cap,209
SB,49
601,5
investor,736
premium,43
tax,400
Co,18
qualifi,55
applic,374
chad,28
sent,4450
PM,3032
ha,3187
credit,1655
invest,597
busi,1150
cash,385
certif,144
thi,7913
least,305
manag,1031
distribut,454
includ,1384
landri,16
To,4903
jean,262
subject,4709
legisl,440
analysi,342
e-mail,1704
ckl,6
provid,1437
partnership,522
liabil,98
must,526
At,238
form,479
two,798
state,1489
valu,444
co.,170
payment,495
reason,421
oper,878
fee,247
servic,1992
-origin,4038
messag,4721
thursday,870
may,2063
10,489
2001,5717
8:06,3
ryall,167
origin,355
If,1729
like,1595
could,1423
walk,50
regard,819
capco,1
structur,287
forward,973
landry/hou/ect,2
05/10/2001,1
03:04,1
03/27/2001,1
01:47,1
ryall/na/enron,5
enron,7403
cc,303
senat,223
carona,1
sponsor,144
bill,1274
mean,259
corpor,290
trust,122
limit,413
whether,520
organ,341
profit,254
not-for-profit,9
basi,311
primari,81
activ,400
meet,2079
criteria,62
subchapt,3
comptrol,14
rule,625
shall,179
establish,215
procedur,283
companiesto,1
time,1916
equiti,263
500,86
000,6
unencumb,1
equival,39
princip,48
employ,73
fund,376
four,165
year,1159
experi,108
ventur,39
industri,528
partner,138
e.g,44
insur,48
unlock,1
involv,339
contribut,131
exchang,329
alloc,162
use,1488
earli,267
stage,38
across,100
texa,431
onli,988
allow,602
make,1530
cost,1351
expens,195
syndic,3
made,617
directli,158
indirectli,13
affili,455
necessari,219
paid,236
profession,53
legal,340
account,753
relat,472
format,167
ii,24
annual,144
amount,544
doe,880
exceed,100
one-half,8
percent,453
asset,494
embed,61
pictur,88
devic,57
independ,369
bitmap,51
wood,295
commission,322
case,734
util,1506
option,490
puc,492
txu,98
1,1507
surcharg,292
In,1342
perlman,5
decid,231
reliant,133
week,1526
motion,189
reconsider,5
staff,630
rate,1817
estim,235
fuel,93
indic,333
We,2034
2,1134
true-up,9
process,749
2004,35
would,3834
head,193
room,134
becaus,763
neg,344
strand,168
hand,145
tuesday,1106
08,113
11:05,11
patrick,158
keen,175
Cc,1761
open,495
pat-,1
u-co,1
give,480
file,2922
basic,117
felt,38
enough,133
compar,90
therefor,199
instruct,99
work,1579
next,880
parti,728
reach,175
agreement,702
schedul,858
territori,62
deadlin,174
17th,18
factor,69
dkt,1
23640,1
viabl,25
look,741
want,1422
price,1637
beat,70
ptb,7
period,414
start,351
januari,338
2002,407
Or,39
part,491
undoubtedli,10
increas,435
approxim,94
4/10,1
cent,509
per,464
kwh,49
wa,3256
hi,630
howev,655
saw,89
benefit,277
serv,348
hedg,163
possibl,630
said,2301
see,1024
side,154
one,1461
enhanc,54
off-set,2
ultim,72
defer,59
decis,585
H,37
hous,235
HB,10
committe,750
1148,7
1492,6
stan,11
=20,1236
transport,168
counti,51
affair,639
substitut,33
4-25-01,4
discuss,1472
nelson,59
antenna,3
refer,194
set,654
action,529
54,20
4-26-01,3
=09jean,2
=09hb,2
As,711
n,285
certain,246
facil,265
requir,1560
becom,236
law,278
feel,250
feder,334
regul,348
us,1028
adopt,145
200,38
feet,16
=09=09=09=09=09=09=09=09=09hb,2
30,407
29,333
4-17-01,2
36,19
pend,216
18,279
vote,307
favor,137
55,43
=09,487
2-,3
3-21-01,2
laid,20
70,36
pass,240
=09chad,1
=09wednesday,56
23,258
4:04,11
brief,175
It,1102
help,681
05/23/2001,1
11:03=,1
AM,1934
05/02/2001,1
05:11,1
=09=20,4
jean-,1
group,1190
has=,12
concern,798
notic,475
propos,1459
constructio=,1
wireless,16
commun,392
n=,39
otic,3
mark,550
feels=,1
tower,15
radio,23
site,203
need,2151
contant,1
a=,297
dministr,1
attent,75
stay,154
complianc,115
he=,9
far,276
costli,14
burdensom,2
c=,122
urrent,1
th=,238
en,39
forc,269
go,1311
beyond,80
regu=,2
lation,8
47,22
C.,326
F.,135
R.,67
17,354
stringe=,1
nt,57
standard,699
less,294
current,856
fed=,1
eral,7
place,445
sole,140
that=,44
greater,74
and/or,287
fall,256
within,362
glide,1
slope,2
curv,45
air=,3
port,105
aviat,8
type,216
note,746
along,214
analysis=,1
scott,336
bolton,57
sue,541
nord,210
monday,1352
gotten,27
ani,3118
respons,868
either,261
find,502
recent,485
full,208
his=,5
tori,12
word,160
document,521
explain,176
detail,374
