thi,2329
name,202
joe,607
number,285
attorney,32
talk,193
person,140
refer,156
jenn,14
work,300
georg,96
futur,132
daughter-in-law,14
hope,154
help,273
keep,199
post,120
buddi,19
D-,14
jennif,23
garnett,14
11/26/00,14
09:01pm,14
713.940.6003,14
....,130
n't,563
ect,336
go,430
're,102
still,188
tomorrow,103
'm,200
invit,41
let,290
know,433
feel,90
better,102
day,896
thank,474
11/28/2000,18
PM,577
To,926
teresa,55
enron,1039
cc,183
subject,683
Re,88
sure,158
ca,85
sleep,12
night,181
wonder,22
happen,60
doe,124
5:45ish,3
sound,30
Is,14
earli,63
late,49
flexibl,8
thought,54
beth,42
co-work,6
met,28
powermart,3
stori,24
privat,35
natur,144
wo,45
extend,25
glad,16
relief,15
My,68
went,43
well,226
veri,209
busi,566
week,990
troubl,41
ask,195
T.,11
stepenovitch,377
02:43,3
mandola/corp/enron,27
sweet,7
much,142
irish,3
place,226
spell,4
either,117
time,695
want,259
-me,38
mandola,24
01:45,3
stepenovitch/corp/enron,29
check,215
afternoon,39
okay,7
've,72
concern,51
sinc,72
yesterday,38
T,44
energi,479
market,525
LP,8
southern,14
compani,285
chang,302
mirant,12
america,89
record,81
overlay,13
gcp,4
next,225
littl,76
farewel,2
favorit,54
mapp,50
trader,68
befor,162
goe,10
believ,53
find,158
internet,144
phone,137
juan,26
new,917
mobil,17
ad,96
follow,409
file,199
M,90
\electric\24hour\misc\deskinfo,2
832-541-4089,2
CP,51
ha,805
merg,10
pancanadian,2
servic,554
inc,93
If,690
wish,63
receiv,656
notic,133
pleas,970
request,217
form,82
mail,121
may,534
address,228
duplic,9
copi,171
includ,352
inform,614
2000,140
w-2,2
januari,52
31,61
2001,853
februari,31
20th,9
write,57
sent,473
note,105
written,82
author,52
signatur,2
requir,235
specifi,8
year,284
need,410
sign,209
complet,202
social,5
secur,130
corp,47
EB,4
1528,2
P,31
O,10
box,51
1188,2
houston,527
TX,181
77002,21
Or,30
fax,81
713-646-3755,2
process,156
within,92
one,398
receipt,30
question,536
regard,102
W2,9
contact,428
payrol,18
call,417
center,224
713-345-5555,2
option,168
1,497
train,58
esourc,9
present,53
lexis-nexi,15
session,30
AM,518
eb568,6
ID,135
http,953
free,574
meet,210
trainer,6
learn,65
research,32
basic,18
hands-on,6
topic,40
8:30-10:00,2
10:00-11:30,2
stephani,20
E.,18
taylor,23
5-7928,5
bring,100
nexi,2
login,27
password,90
guest,49
provid,388
page,128
//esource.enron.com/training.doc,2
addit,168
vendor,25
//esource.enron.com,2
clickathom,49
three,114
We,571
feedback,40
program,142
survey,40
pilot,38
member,202
experi,52
order,363
websit,84
excit,25
fun,47
determin,44
step,82
take,237
5,212
minut,75
fill,49
first,233
critic,23
success,64
launch,25
month,91
click,406
link,133
monday,333
5th,4
//etcsurvey.corp.enron.com/wi/p0304201/i.asp,4
r=999,4
s=vvdlnwyh,4
l=9,5
project,104
team,281
execut,150
eei,68
master,70
power,469
purchas,176
sale,145
agreement,123
date,265
1/26/01,2
referenc,55
distribut,100
legal,131
credit,106
test,78
melba,23
karen,11
chad,44
cstarn,8
01/29/2001,6
starn,20
user,174
lozano/hou/ect,4
o'day,4
sever/hou/ect,4
robert,71
B,40
cass/hou/ect,4
kevin,82
meredith/corp/enron,4
chri,73
walker/hou/ect,4
use,570
ML,4
forward,266
03:12,2
03:03,2
starnes/corp/enron,10
eol,14
x54135,2
lozano,9
02:22,2
o'day/na/enron,2
stephanie/,2
could,225
add,54
US,62
east,85
fin,6
swap,7
product,342
lens,24
simpli,66
million,122
reorder,8
ani,616
repli,73
messag,725
way,131
replac,79
world,73
charg,140
1-800,37
hello,55
joseph,116
made,76
easier,9
creat,90
re-ord,7
By,23
'll,370
ship,82
alreadi,49
snap,12
easili,17
account,224
shipment,5
confirm,150
e-mail,424
//order.1800contacts.com/wc.dl,8
orders~er~,6
c=1725189,6
p=7132290954,6
unabl,15
abov,50
cut,32
past,71
browser,16
hit,18
enter,90
welcom,88
specialist,45
pick,101
us,351
toll,20
1-800-contact,13
goal,40
fastest,12
easiest,12
conveni,40
whi,85
largest,30
len,16
store,57
10,224
stock,69
deliv,66
3,297
1.5,13
custom,267
unopen,8
unexpir,4
prescript,12
never,67
membership,28
fee,97
sincer,39
1800contacts.com,10
buy,68
publicli,7
trade,428
nasdaq,11
symbol,6
ctac,6
would,413
like,340
remov,46
remind,85
list,312
'unsubscrib,7
',227
good,399
movi,13
morn,175
even,98
safeti,17
see,273
think,162
get,499
head,74
start,486
Me,7
scene,8
mrs.,2
robinson,26
explain,24
familar,2
Do,120
tell,52
wait,37
involv,28
alway,58
11/29/2000,9
11:28,2
T-,4
must,168
someth,71
right,241
make,308
......,9
give,169
hint,10
script,2
guy,49
girl,11
church,9
smart,6
woman,4
figur,3
anyway,53
6:00,10
6:15,3
friend,147
play,428
zone,47
tonight,50
06:36,2
locat,161
\electric\miller\p,2
l\histor,2
analysi,15
nepool.xl,2
add-in,2
model,20
queri,5
databas,64
luck,18
jeff,105
today,260
abl,140
nsp,9
xcel,12
global,48
counterparti,28
rememb,62
log,82
two,249
//testweb1.eoltest.com/jsp/marketing/homepage/index.html,2
adm52485,4
taratara,4
58986,6
wa,725
mile,252
run,126
marathon,8
ran,9
finish,26
It,188
intend,163
mani,101
weekend,179
onli,381
without,135
onc,91
realli,89
Ca,5
everyon,59
push,14
move,138
23,115
PR,6
great,198
recipi,192
notifi,58
commun,106
As,143
la,26
vega,56
race,7
best,211
life,34
re-injuri,2
hamstr,40
bad,19
news,140
8,214
compris,7
roll,20
hill,19
instead,14
gradual,2
uphil,2
climb,4
8-9,2
downhil,2
nasti,23
headwind,2
slow,13
imagin,5
fast,29
absent,2
wind,13
final,77
temperatur,5
swing,10
low,26
40,45
70,26
peopl,105
amaz,3
ahead,26
els,28
cheer,17
him/her,2
particularli,2
told,57
becaus,174
knew,10
At,27
begin,95
effect,97
heat,12
experienc,6
stop,37
eat,10
banana,2
said,194
caught,73
pass,208
last,219
3.2,4
7:30,6
pace,21
larg,10
due,126
felt,29
strong,34
except,25
fatigu,2
faster,8
opt,3
stick,6
conserv,4
plan,181
got,60
import,105
pain,11
less,53
improv,44
attain,4
come,201
back,307
injuri,238
sorri,47
long,100
understand,81
fellow,3
athlet,2
coach,88
share,61
advic,31
letter,40
absurd,2
appreci,50
travel,124
austin,42
christin,6
contain,174
email,342
individu,120
entiti,32
reader,13
employe,158
agent,317
respons,241
herebi,10
dissemin,19
strictli,57
prohibit,128
error,151
immedi,58
telephon,67
713-546-5000,8
destroy,9
origin,191
condit,97
dri,10
tom,91
forecast,14
pacif,52
neutral,6
end,208
weak,18
El,32
nino,6
precipit,5
HQ,7
environ,78
canada,58
may/corp/enron,16
seem,74
spring,15
recent,80
quick,14
later,66
summer,18
normal,24
fairli,7
fyi,31
dave,52
view,204
outlook,35
indic,58
02/05/2001,2
05:51,2
david,133
ryan,47
01/31/2001,2
12:51,2
say,142
close,75
2,416
old,47
march,22
read,66
literatur,3
base,102
assumpt,7
quickli,24
weak/moder,2
La,2
nina,2
return,214
perhap,20
moder,2
set,184
observ,19
howev,129
accept,51
weather,18
eventu,5
develop,137
favor,21
So,47
slightli,24
fall,40
area,74
anyth,28
signific,24
In,171
fact,30
region,52
albeit,2
drier,2
winter,32
snowpack,2
establish,21
nice,41
expect,316
runoff,2
period,53
compar,22
averag,9
bottom,13
line,95
certainli,11
possibl,97
lead,107
evolut,2
pattern,2
therefor,25
overdon,2
look,212
-dave,2
kayn,93
coulter/hou/ect,62
02/06/2001,8
michael,112
rebecca,16
correct,31
pjm,157
interfac,20
12:18,11
jacobson,10
12:13,2
grace/hou/ect,4
thresa,12
allen/hou/ect,12
howard,14
camp/hou/ect,2
part,45
II,8
brought,39
attent,40
NY,75
revers,2
full,66
york,135
sell,30
nypp-,2
nypp-w,2
pjm-cei,2
ap,2
allegheni,6
pjm-ap,2
intern,81
dpl,2
pjm-wescosvi,2
pjm-western,2
hub,19
offset,2
vepco,2
pjm-virginia,2
x35098,6
booth,15
ticket,40
cook,38
50,49
friday,230
group,160
...........,2
rodeo,6
OR,23
saturday,164
allow,84
also,308
