center,34
servic,255
enron,888
letter,96
ship,11
pleas,1202
util,126
three,28
allen,39
escal,24
near,14
build,38
envelop,2
box,14
x,25
air,9
p.m.,29
As,188
part,87
recent,33
negoti,17
agreement,73
unit,135
parcel,1
employe,26
may,736
two,152
new,363
send,280
packag,14
hour,147
locat,73
ground,2
level,55
behind,23
u.,2
postal,1
self-servic,1
area,65
back,245
autom,28
teller,1
machin,7
letter-s,3
well,170
18,46
13,40
3,128
via,58
next-day,1
second-day,1
third-day,1
select,30
intern,46
world-wid,1
express,55
In,228
order,281
elimin,13
disrupt,3
appli,73
complet,275
label,5
accord,52
previous,31
commun,167
instruct,48
document,238
avail,200
includ,248
account,234
number,234
compani,95
code,91
cost,179
refer,50
field,94
pick,25
time,496
7:45,1
8:00,11
monday,378
friday,244
If,535
ani,1004
question,487
feel,95
free,73
contact,305
glenn,29
lewi,15
global,45
strateg,2
sourc,39
contract,404
manag,260
713-646-7512,1
ha,602
group,268
respons,220
trade,185
join,36
origin,75
market,704
product,96
thi,2770
activ,140
busi,208
expand,24
egm,6
report,393
insur,13
crude,5
mid-market,7
america,59
opportun,35
focu,23
effort,91
weather,17
japan,5
lng,5
first,133
increas,20
chang,401
randi,16
around,77
world,25
london,14
move,84
power,350
york,15
quarter,14
wa,529
2000,167
month,301
growth,12
within,85
organ,35
bill,213
focus,7
develop,122
doug,6
assum,37
line,69
mark,148
europ,8
offic,138
base,161
assign,16
continu,85
transact,97
ga,125
ace,4
russel,6
We,515
post,184
gross,9
margin,6
million,42
veri,114
success,21
combin,26
decemb,105
contribut,10
wholesal,61
last,197
momentum,2
addit,222
made,119
creat,122
specif,92
maintain,38
maffett,2
place,82
lead,29
ngl,2
petchem,2
hire,9
ad,88
grow,10
u.s.,16
financi,36
trader,51
plastic,2
scott,87
portfolio,6
direct,79
paul,43
current,301
north,45
eb,18
australia,2
region,40
coal,3
joe,9
hi,100
asset,26
desk,80
forward,564
risk,139
team,146
conting,9
call,417
option,57
deriv,10
houston,197
establish,57
oil,3
hedg,3
fund,59
commod,39
2001,1412
record,53
perform,74
100,22
repres,57
38,14
Q1,2
outstand,38
result,97
187,1
4,87
due,196
tremend,4
keep,94
go,384
facilit,20
follow,320
berkeland,1
function,92
fred,4
lagrasta,1
still,137
variou,19
deal,412
flow,51
purpos,61
proper,15
wide,2
scope,32
friedman,1
john,259
nowlan,1
rick,15
cantrel,1
union,1
carbid,1
o'conn,1
red,11
meteor,1
extens,9
experi,22
leach,1
fuel,28
lee,23
jackson,25
role,25
support,75
chad,12
south,16
reorgan,6
stuart,8
bland,1
alan,39
engberg,1
moncrieff,1
network,7
relat,270
charg,531
aspect,6
take,242
advantag,12
presenc,1
tawney,1
murray,434
castlebridg,1
partner,8
continent,5
ross,1
mcintyr,1
windl,1
oslo,1
thor,1
lien,1
scandinavia,1
make,250
32,1
citi,5
enrononlin,6
schroeder,1
gener,303
head,42
regulatori,33
deregul,10
process,401
slow,10
decis,41
scale,1
hirl,1
presid,8
ceo,2
high,111
potenti,26
long-term,7
coordin,115
help,276
implement,113
vision,5
contractu,9
access,238
jonathan,1
whitehead,1
neal,40
gerstandt,1
independ,146
energi,430
consult,19
jare,1
kaiser,1
east,5
kurt,1
lindahl,1
also,362
western,11
freight,1
efm,1
conclud,9
2,000,1
chri,1920
krava,1
spot,15
capabl,20
enabl,19
domin,1
player,3
four,16
week,342
kelli,5
metcalf,2
shawn,7
cumberland,1
deirdr,1
mccaffrey,1
structur,34
matt,6
arnold,2
diesel,1
david,53
hoog,1
quickli,32
built,11
peopl,59
special,34
price,362
hybrid,1
draw,6
resourc,118
alex,1
tartakovski,1
larri,12
marcu,6
joana,1
bekerman,1
toni,18
close,111
startup,2
brad,6
blesi,1
june,303
oper,472
grm,1
european,1
among,5
explor,9
charter,1
rate,205
insolv,2
claim,30
sea,3
vpp,1
decommiss,1
april,156
year,96
per,110
seks,1
led,4
dyk,1
relationship,17
liquid,9
stephen,18
plauch,1
come,115
us,287
',166
elsa,1
piekielniak,1
agricultur,1
billi,3
lemmon,1
run,131
analyst,14
associ,112
program,54
corp,9
congratul,10
everyon,73
look,277
ee,1507
provid,316
roger,29
ask,156
vice,11
eastern,4
given,88
becom,24
appar,11
consolid,19
ew,32
system,347
expertis,10
necessari,45
mind,26
insid,5
form,62
retail,39
logist,10
back-offic,2
main,18
herndon,15
president-trad,2
interconnect,9
kevin,58
presto,3
black,17
formerli,6
president-e,2
tim,66
belden,28
work,469
pursu,12
share,27
goal,24
ensur,63
effect,133
immedi,75
lavorato,6
louis,5
kitchen,5
rental,21
nation,25
alamo,15
travel,51
car,21
vehicl,8
enrol,12
award,10
recommend,46
primari,25
rent-a-car,4
secondari,9
total,177
provis,14
statu,170
rent,5
regardless,12
person,107
cover,61
damag,6
properti,36
coverag,6
prefer,26
intent,16
leverag,13
spend,31
achiev,9
favor,8
non-pric,2
i.e,29
valu,73
proposit,2
choic,3
need,733
sister,3
reflect,48
low,18
solut,66
altern,29
state,162
puerto,2
rico,2
canada,15
1,262
l/dw,2
loss/damag,2
waiver,4
comprehens,8
collis,2
auto,2
It,214
pay,198
2,240
liabil,8
outsid,22
100,000,6
300,000,2
occurr,6
50,000,2
import,201
long,46
ID,35
reserv,42
5000838,2
143974,2
To,1513
enjoy,10
highest,11
supplier,18
emerald,2
club,3
membership,2
quicksilv,2
design,38
speed,11
counter,11
bypass,2
rapid,2
return,53
fee,117
waiv,2
packet,2
mail,65
address,153
american,5
T,17
E,168
cardhold,2
find,183
intranet,5
gss.enron.com,2
http,178
//gss.enron.com/,2
comment,108
jeff,201
leath,2
713-646-6165,2
innov,7
eye,11
futur,66
mad,2
celebr,2
name,104
lobbi,5
dure,85
tuesday,291
24th,6
27th,8
requir,320
2020,2
dr.,2
peter,9
bishop,3
ami,92
oberg,2
3:30pm,3
environ,19
art,3
motorcad,2
1:00pm,10
convoy,2
visit,19
inform,588
introduc,12
synonym,1
6th,4
consecut,9
fortun,4
magazin,7
inspir,4
view,35
highlight,19
advanc,21
technolog,11
week-long,1
lunchtim,1
detail,182
e-mail,439
etv,1
sever,48
afternoon,66
workshop,6
plan,276
list,239
