thi,1130
inform,237
ha,440
particip,119
gem,4
rollout,4
In,133
As,101
awar,8
busi,127
unit,124
select,34
project,62
global,39
enron,1322
migrat,131
window,17
2000,81
prepar,30
imper,3
gather,23
workstat,3
applic,218
use,254
To,526
begin,58
data,182
collect,11
autom,7
process,84
fact,20
system,184
inventori,7
onc,28
receiv,124
work,182
local,11
depart,24
coordin,36
consolid,10
ensur,30
transit,17
smooth,3
possibl,54
team,95
would,322
like,229
thank,581
If,305
ani,357
question,199
pleas,768
contact,246
kace,2
downey,2
713,152
345-5641,2
interview,32
jeff,118
success,45
15,45
ken,15
lay,20
skill,17
cnnfn,3
discuss,180
ceo,11
We,228
put,126
iptv,3
view,43
pleasur,3
simpli,20
point,70
web,50
browser,10
http,305
//iptv.enron.com,3
click,181
link,69
special,41
event,60
choos,13
plan,145
avail,110
everi,37
minut,58
friday,129
dec.,7
kevin,225
Do,51
n't,187
forget,8
us,97
dusti,4
old,56
ga,467
trade,381
congratul,15
fletch,656
wo,11
problem,52
ili,6
bob,26
My,38
one,197
pass,28
number,61
yy109954,4
tip,15
week,194
sorri,45
meet,334
today,136
go,169
town,12
rest,9
'll,136
next,97
ok,15
cool,11
hey,11
read,30
e-mail,129
past,31
day,282
half,16
sell,45
sound,16
good,93
need,337
anoth,46
time,293
alreadi,54
definit,13
want,100
see,136
demo,3
histor,16
basi,119
get,202
A.,26
lewi,15
regard,128
updat,92
hdd,2
settlement,30
forward,239
curv,30
mark,200
think,117
trader,113
group,210
posit,131
manag,213
8:30,8
strateg,20
structur,48
new,438
might,41
could,160
book,106
list,168
item,41
'd,83
brief,32
first,105
'm,119
morn,79
8:15,4
desk,65
optim,10
sinc,44
chang,201
region,74
fundament,51
respect,37
implic,9
fresh,4
everyon,57
mind,9
okay,5
delay,12
eol,55
market-mak,5
worth,6
idea,49
leader,11
origin,51
juli,64
gomez,6
fred,21
lagrasta,8
regular,34
obtain,8
anyth,32
affect,18
ena,32
right,77
direct,57
far,29
involv,26
mayb,12
notifi,22
intent,9
set,70
hold,28
certain,35
spread,33
and/or,25
complex,8
easier,5
way,73
clutter,4
differ,46
i.e,14
p/l,6
focu,24
instead,13
eventu,14
report,152
directli,30
It,100
seem,50
intens,6
leadership,14
provid,179
extra,9
push,11
talk,103
soon,66
ye,63
fine,21
fletcher,413
J,390
sturm,338
ect,1742
12/13/2000,17
12:05,2
PM,622
frank,42
