let,4355
know,5870
thi,14685
want,1857
link,538
west,2471
power,24185
structur,408
intranet,69
If,2418
time,3361
wa,4734
hope,943
could,2287
help,2377
proof,19
read,2112
materi,83
plan,2865
post,610
site,983
give,858
input,157
design,315
layout,7
page,554
\\172.17.172.160\structuring\index.html,3
deal,23065
ha,6460
cob,430
deliveri,1137
point,2315
caiso,341
energi,22628
thank,10230
http,10324
util,5741
california,5884
market,7436
ga,5178
new,9067
electr,7455
onlin,5026
To,13130
servic,6416
price,7077
access,4722
cost,1507
E,3547
powermarketers.com,3923
crisi,2531
2001,4538
manag,4073
januari,941
cut,1411
rate,2727
may,4168
stori,2889
technolog,2080
T,2245
O,2187
R,2331
hous,1142
natur,2953
report,5544
free,2731
project,1809
suppli,1379
increas,1815
calif,1072
allegheni,337
unit,2191
say,2672
updat,2410
hike,630
P,1882
subscript,2003
monday,823
oper,1762
buy,3756
releas,1022
trade,5585
includ,1916
industri,2548
S,2087
chang,7703
meet,1381
top,1824
US,1632
emerg,567
u.s.,1063
requir,1060
hold,842
execut,1480
chairman,589
northwest,620
name,3717
bill,3126
press,709
gener,2751
merril,228
edison,999
call,3130
N,1379
presid,1114
complet,988
plant,4569
sale,2260
percent,436
calif.,1211
retail,1878
inform,3004
redistribut,1187
custom,2098
order,1431
depart,738
jan.,225
white,222
TO,1684
ferc,693
',1668
state,2632
system,3601
commiss,919
woe,386
pacif,1081
see,3061
year,1641
On,1316
moodi,339
By,835
moody',183
sell,3328
india,313
recov,106
vice,747
offer,1193
acquisit,395
announc,1979
end,1153
fuel,1221
rise,677
corpor,1143
summari,1378
08,99
futur,1762
present,1732
pma,1389
today,2350
headlin,940
e-mail,2127
browser,939
//www.retailenergy.com/pma/dprreg.htm,903
associ,1175
financ,783
8,351
doe,1541
extend,443
10,583
//199.97.97.79/imd,612
pmadjn0,612
/home/content/users/imds/feeds/djn/2001/,450
treasuri,45
tuesday,725
administr,362
regul,831
rto,189
form,847
file,1053
week,1074
spread,161
nation,901
soar,222
gov,339
davi,387
Sr,201
PG,1034
make,2317
cash,695
ceo,589
risk,1357
review,544
2,2174
run,1068
job,902
enron,11777
issu,1531
outag,1819
put,1404
global,824
reform,149
addit,911
share,789
pennsylvania,181
urg,346
lower,472
magazin,372
web,1062
-util,29
Is,1162
public,1027
daili,1602
coal,1129
solut,1050
busi,2352
rais,542
latest,416
seen,617
win,370
court,330
rule,547
address,823
natga,219
transact,1416
internet,1220
attent,409
view,1003
W,688
M,775
never,1016
charg,1023
without,952
regist,779
advertis,357
opportun,1171
la,527
vega,508
annual,472
NY,539
produc,464
troubl,206
offici,674
said,1903
suggest,273
'west-wid,6
independ,268
month,928
propos,954
regulatori,279
panel,275
come,1411
dow,1257
jone,1310
Be,626
elec,306
summit,93
net,730
payment,339
squeez,48
legisl,334
CE,27
affirm,132
sempra,607
san,536
pwr,516
At,489
tue,117
becom,708
fitch,213
mission,129
fund,624
Ed,215
keep,1017
indian,261
trial,764
go,3082
L,1434
one,2965
limit,354
high,777
low,266
water,1189
light,902
repeat,445
accept,247
compromis,36
ppl,217
use,2122
demand,679
regard,595
illinoi,171
corp.,1178
confer,984
cast,36
-lack,14
donat,73
bring,396
kentucki,60
assist,551
program,960
ralli,51
forecast,269
asset,549
center,940
resign,69
east,473
topic,66
among,148
republican,41
look,2909
back,2230
open,866
join,666
GM,9
toyota,27
reach,476
agreement,1162
cell,779
vehicl,166
studi,388
compani,3600
II,65
eas,224
intern,865
Am,512
select,951
mine,231
-raleigh,6
n.c.-base,24
progress,288
ponder,34
rail,36
barg,24
-indianapoli,6
elimin,65
20,443
employe,610
-natur,33
would,2656
40,157
boulder,51
colo.,72
engin,533
edgewat,6
cambridg,45
third,189
parti,339
reservoir,27
evalu,85
acquir,470
inc,853
success,653
director,580
1,2069
PM,9222
vietnam,75
barclay,12
renew,320
bank,444
next,1202
featur,535
german,186
firm,1615
consum,692
2000,1608
heat,407
record,761
winter,245
approv,1269
reuter,616
restor,183
strand,108
bond,441
late,279
wrapup,88
spot,580
eia,27
3,863
credit,1331
train,928
//www.pmaconference.com,651
comput,873
commod,679
exchang,1208
offic,1780
deregul,1488
softwar,867
powerpl,658
//www.powermarketers.com/pmajobs.htm,598
copyright,648
unsubscrib,651
OR,797
reader,492
Go,447
//www.powermarketers.com/prdaily.htm,225
edit,364
direct,766
======================================================================,225
prefer,667
sourc,791
break,559
//www.powermarketers.com,323
H,552
K,437
.C,252
march,1963
14-16,162
nevada,389
7th,68
spring,320
avail,865
exhibit,104
space,182
sponsorship,102
//www.pmaconference.com/0103agenda.pdf,255
load,431
commerci,356
17-19,27
NV,45
//www.pmaconference.com/e-bro.pdf,27
transco,138
22-24,27
orlean,81
LA,55
//www.pmaconference.com/transcoa.pdf,27
advanc,459
cours,388
22-26,27
york,641
//www.pmaconference.com/advfin.1.22.pdf,27
01/08/eng-djn/eng-djn_112020_244_165360182524,3
AT,133
clinton,79
afternoon,430
01/08/eng-djn/eng-djn_145346_119_275092920288,3
BE,78
given,221
like,3232
miss,2911
deadlin,189
regional-transmission-organ,3
feder,553
last,1268
01/08/eng-djn/eng-djn_212032_152_765619931743,3
primarili,32
extrem,82
volatil,179
also,1867
pressur,70
shortag,381
sent,1308
unpreced,36
level,359
decemb,589
//199.97.97.163/imd,762
pmanat0,354
/home/content/users/imds/feeds/comtex/2,174
001/01/08/bw/0000-0789-ny-fitch.pacific-nw,3
newswir,288
//199.97.97.79/imds|pmadjn0,299
pmadjn1,299
pmadjn2,299
pmadjn3,299
pmadjn4|index,299
corp,1367
exec,60
attend,355
DC,31
assemblyman,9
committe,298
craft,36
ad,987
In,2236
1st,85
aye,12
intend,150
jan,424
16,316
calpx,75
assembl,82
speaker-2,3
outlin,101
sec,120
