wish,762
could,4352
go,3595
're,915
ft.,64
lauderdal,63
thi,28804
even,1297
town,203
next,2607
weekend,549
If,7279
let,5080
tri,1501
someth,874
weeknight,4
ball,83
water,226
fish,55
jesu,17
hit,297
mose,8
old,358
man,199
step,688
tee,12
It,3236
goe,196
sail,364
fairway,6
trap,32
green,137
eagl,30
land,121
walk,94
chip,114
onto,173
fall,505
grab,33
mouth,26
n't,4866
golf,136
part,1422
head,690
befor,2288
jump,91
As,2931
back,2525
swoop,14
claw,4
fli,181
lightn,7
bolt,11
shoot,50
sky,24
bare,25
miss,445
startl,15
drop,513
ground,182
pop,60
roll,199
hole,27
hole-in-on,2
turn,607
say,1353
dad,67
stop,500
fool,66
around,952
wo,308
bring,453
time,5893
mark,17968
ect,29036
legal,8913
morn,1105
forward,8474
taylor/hou/ect,5611
01/12/99,50
AM,7457
martin,468
houston,3756
monday,1742
18,373
jan.,172
rest,274
car,340
09:24,12
rosel,70
07:57,27
To,15040
cc,10684
subject,15084
system,2831
readi,402
friday,2343
thu,370
expect,1322
offic,3174
pleas,14624
ask,2077
one,5316
assist,1314
help,2695
organis,80
set,2082
work,4882
station,190
comput,696
requisit,57
gear,30
also,5314
sinc,2189
bit,396
tricki,19
establish,635
contact,3054
h/r,4
person,1759
perhap,442
arrang,926
card/badg,4
park,367
ticket,593
advis,1467
put,2003
'm,1477
look,3590
see,4410
dept,160
credit,5342
trade,12994
us,4483
enroncredit.com,205
possibl,2386
know,6813
busi,4198
initi,1258
10,1194
first,2453
meet,3682
refer,2680
would,12039
name,3145
may,7573
new,7226
base,1898
focus,164
We,6797
way,1689
market,6179
quickli,361
review,4449
process,2249
e-mail,5708
good,2120
raislerk,131
sullcrom.com,365
12/29/99,12
12:04:16,2
PM,9682
Re,3823
david,4472
ha,8450
appoint,247
thing,974
10:30,88
mtaylo1,178
ect.enron.com,284
12/27,2
9:54,4
determin,1944
structur,972
e.g,317
chines,163
wall,332
public,885
vs.,132
privat,354
etc,987
encourag,206
caution,66
far,659
specif,1362
onc,949
taint,10
cleans,8
situat,552
suffici,244
like,4862
york,1654
sullivan,294
cromwel,303
bryan,585
seyfri,140
12/23/99,21
02:48,46
mani,1438
alreadi,1351
offici,399
embark,21
build,660
commerci,1197
europ,837
global,1437
oper,1319
london,2500
extern,223
launch,914
make,3828
two,2252
price,5836
approxim,249
200,183
energi,2748
US,3253
canada,967
UK,1009
nordic,102
24,420
2000,2018
scale,129
number,2828
quot,1130
veri,2000
select,1022
provid,4310
depart,1196
locat,1377
subsequ,216
distribut,1464
appropri,1044
origin,1321
group,3248
prior,1125
live,437
intent,330
captur,123
much,1533
corpor,1405
leverag,89
intern,1757
resourc,1220
peopl,1426
especi,256
enrononlin,3837
medium,64
commun,1964
extent,412
ani,13253
idea,804
might,1466
get,5402
eyebal,29
potenti,839
counterparti,6048
email,3007
regular,177
updat,1827
use,6163
mechan,157
keep,1049
loop,110
implement,638
solicit,122
input,450
integr,303
product,8562
exist,1049
model,226
custom,3817
sent,5122
law,2959
firm,1553
contain,1746
inform,6493
privileg,1142
confidenti,2053
intend,2684
recipi,1775
delet,1439
notifi,1539
immedi,1515
thank,8606
christma,140
letter,1733
wa,6894
celena,8
grown,32
'll,1386
nyc,114
6,1106
7,796
hope,1609
dinner,253
least,555
drink,116
thur,138
eve.,16
My,1180
flight,721
schedul,2184
6:45,11
pm,267
pulpex,64
eeft,248
derek,131
deal,3459
bob,1301
steve,622
enron,24201
ectric,351
exchang,2286
document,3802
need,7801
call,5980
want,3668
well,2359
kim/hou/ect,14
onli,4694
return,1252
anyway,195
oliv,35
reason,1190
speak,493
rather,645
member,1676
princip,360
spoken,176
regard,5276
crane,51
account,1687
ena,2753
think,3602
check,1509
paul,2349
ipe,22
talk,1142
exchange-trad,58
contract,4146
entiti,3031
elliott,120
01/04/2000,10
07:56,19
crane/hou/ect,45
apolog,328
got,719
sooner,74
today,2171
week,4815
holiday,443
find,1917
await,267
quit,322
negoti,710
applic,2111
told,529
thought,1558
howev,1686
main,379
whi,729
financially-settl,11
deriv,3765
regulatori,1170
financ,790
limit,2052
unsur,39
without,928
whether,1842
allow,1302
agent,763
never,517
enter,1811
entr,6
via,1081
word,950
come,1760
shall,2384
touch,252
soon,1199
kind,709
happi,598
year,2457
21/12/99,4
15:52,6
elliott/lon/ect,81
kim,409
hi,1831
role,282
day-to-day,33
basi,1127
He,974
move,1829
late,574
januari,704
european,743
effort,661
abl,1851
remain,743
north,2195
america,2258
back-up,24
avail,2337
organ,483
give-up,50
agreement,7208
execut,2138
automat,367
transfer,561
easi,243
perspect,510
derick,4
171,77
815,12
8502,4
necessari,993
doc,292
louis,1785
'd,698
togeth,699
discuss,3869
project,1349
otherwis,711
mayb,428
chat,101
phone,2504
place,1924
order,2144
broker,873
mean,1215
anoth,1179
consid,1276
maker,209
statu,819
activ,1299
11:41,33
messag,5591
appar,279
alway,489
act,1112
i.e.,143
sure,1714
confirm,4007
on-lin,438
gtc,3236
chang,5060
noni,290
elfi,37
liquid,442
erac,26
markey,11
minor,197
version,1438
languag,2016
yesterday,728
pat,87
start,1611
5th,152
asap,380
In,3606
made,1692
dale,1071
revis,1890
flores/hou/ect,105
flore,127
patrick,324
J,515
botchlett/hou/ect,4
rudi,108
dautel/hou/ect,16
jim,516
goughary/hou/ect,4
bill,1292
F,406
briggs/hou/ect,4
harri,447
templat,267
99,224
brent,1560
attach,6951
inconsist,78
copi,3412
receiv,3995
expedit,90
prepar,1289
realiz,129
directli,552
neuner,318
forster,687
last,3188
went,316
said,1146
right,1844
away,486
01/05/2000,18
09:53,19
05:50,21
markey/hou/ect,30
neuner/hou/ect,430
kevin,628
sweeney/hou/ect,35
alan,1375
aronowitz/hou/ect,569
M,687
collins/hou/ect,152
janic,171
R,806
moore/hou/ect,146
michael,1767
robison/hou/ect,88
lauri,72
mayer/hou/ect,43
lynn,309
E,2683
shivers/hou/ect,26
per,2204
t/c,10
collin,97
indic,1147
5,1764
oct,139
notic,1143
includ,4014
term,3287
condit,807
previous,397
submit,1049
30,896
aug,43
reflect,696
request,2878
DC,238
D,497
coloni,8
pipelin,345
deliveri,1206
tax,2801
section,1783
egli,27
No,1164
follow,4216
question,4256
abov,1864
feel,1192
free,1637
37541,10
07:08,12
definit,956
plan,1875
therefor,800
fix,559
minim,130
clean,401
current,2910
give,2231
x31720,4
chanc,759
've,1009
crude,544
eol,3962
conclus,145
telephon,881
onlin,2693
point,2232
taylor,4217
11/11/99,16
lot,602
still,1851
havea,2
brief,372
convers,565
rememb,446
financi,3728
transact,7407
handl,767
attempt,401
continu,1518
tradit,92
master,3056
job,336
easier,161
problem,1268
02:50,22
opportun,737
vacat,674
suggest,1766
outcom,81
ongo,92
Do,1184
02:34,26
aronowitz,295
11/17/99,29
10:06,37
consult,476
moor,256
10:40,28
recal,121
month,2412
w/,179
reveal,94
done,1253
Of,281
cours,858
finish,230
prioriti,208
less,576
urgent,150
among,277
quesiton,5
linger,12
seem,967
topic,214
ahnd,5
reach,567
rob,340
cass,79
cogent,6
appeal,221
requir,3455
manhour,5
gener,2521
autofax,5
wonder,357
By,355
SK,17
close,1507
leav,832
singapor,357
10:17,60
shiver,8
11/09/99,29
06:33,13
robert,1134
B,1027
cass/hou/ect,113
final,1827
decis,530
attachment/no,5
cle,122
carol,1511
program,1161
sound,337
St,771
clair,486
05:43,31
attend,842
day,5070
21st,87
hyatt,22
regenc,17
women,77
confer,994
centuri,56
woman,42
approv,4349
6.75,40
hour,877
cost,1008
100,471
okay,152
discretionari,14
ok,163
tana,1465
susan,1270
taffi,326
milligan,96
01/06/2000,16
08:51,39
ann,549
elizabeth,374
white/hou/ect,65
thursday,1422
jan,460
13,539
tm,31
cnl.ci.houston.tx.u,26
lane,73
dorsey,31
council,75
traffic,64
ms.,86
written,486
citi,683
at-larg,15
bikeway,10
design,690
height,93
gordon,84
argument,183
bicycl,20
commut,19
agre,1853
complet,1779
mayor,14
citizen,34
',4807
transport,256
gave,216
complain,14
coordin,520
incent,52
vote,107
gabriel,19
vasquez,5
gvasquez,4
repres,916
annis,6
D.,171
parker,35
apark,6
quan,4
gquan,4
orlando,43
sanchez,11
osanchez,4
chri,626
bell,120
cbell,4
carrol,18
G.,60
robinson,25
crobinso,4
web,1330
site,2427
ca,537
list,4141
percentag,124
divert,4
side,710
street,1303
safe,126
resid,440
p.,82
particularli,378
empti,22
doe,2442
anywher,122
connect,675
rout,257
either,1409
end,1587
awar,609
hypothet,13
sylvia,100
HR,118
doberneck,12
tell,521
badg,13
sauseda,11
38th,176
floor,953
room,614
eb3850,2
wait,509
desk,675
lobbi,121
arriv,425
x33427,4
heard,542
uncov,7
near,564
garag,88
sometim,249
charg,645
20,1014
singl,368
trip,373
10:07,26
cutler,30
marc,190
marc_cutl,19
bmc.com,25
pl,148
blvd,41
bike,55
complaint,56
hagendorf,9
2,3693
G,257
long,1794
address,1882
pwe.ci.houston.tx.u,4
unsaf,8
appreci,835
take,2951
drive,288
danger,63
area,1037
mile,411
10:08,34
10:15:59,2
referenc,174
it',46
mdorsey,2
-origin,2596
wednesday,1302
05,122
10:09,49
kenneth.council,8
gfredo,2
brettg31,2
shawkin,2
jmueller,2
carlssmith,2
jsti,2
morlanwhittl,2
marc.cutl,2
RE,1131
cocktail,42
care,490
voic,386
opinion,686
best,1821
mignett,2
713-837-0003,2
spoke,378
found,531
earli,799
90,109
fast,210
govern,856
sever,932
symbol,73
reconsid,11
restrip,2
jeff,1159
king,155
wjohnson,2
litk,2
develop,1660
rlitk,2
pd.ci.houston.tx.u,2
councilwoman,2
On,846
issu,6376
driven,63
ye,510
A.,193
share,979
ya,17
dear,966
re-strip,2
1,3706
difficult,336
cross,229
becaus,1597
line,1281
longer,279
across,323
3,2360
bicyclist,2
4,1813
larg,535
truck,43
attract,139
along,498
histor,127
beauti,58
besid,28
safer,37
biker,2
neighborhood,43
short,798
i10,2
20th,87
Is,808
revers,95
attent,396
realli,796
713-270-2450,2
713-861-0885,2
night,535
ken,370
raisler,81
left,525
guy,646
deliv,619
01/07/2000,8
09:44,22
no.send,2
envelope.txt,2
08:56:24,2
cancel,370
within,1231
60,198
minut,456
supplement,144
coupl,609
haedicke/hou/ect,295
isda.org,472
isda,3246
comment,3545
ago,512
resent,6
corinn,2
corp.,3337
haedick,428
10:18,36
10:16,26
pickel,69
rpickel,28
05:19:26,2
corrinn,22
greasley,24
cgreasley,32
event,1081
unev,8
seen,393
earlier,534
hear,548
chase,170
took,255
respons,2219
variou,620
commod,2477
els,640
volunt,119
benzen,54
methanol,115
broad,178
S,1089
C,696
9:00,131
125,35
eastern,158
st.,688
east,267
river,98
simon,277
11:43,31
book,1034
slot,32
travel,1064
seyfried/lon/ect,243
simons/lon/ect,428
platt,223
sourc,549
gs.com,191
mbcl.co.uk,27
ontariopowergeneration.com,28
1999,888
patricia.hogan,10
patricia,78
hogan,12
platt',6
oilgram,80
crt.com,16
eastern.co.uk,14
hess.com,33
ms.com,25
energie.rwe.d,23
vitol.com,12
exchange.ml.com,56
pseg.com,40
phibro.com,20
1993,44
goldman,76
sach,57
believ,1327
particular,618
marcu,246
aaron,42
princ,10
keir,4
asian,67
feasibl,93
|,4615
01:53,28
02:41:37,2
'bobna,6
bobna,6
'simon.smith,6
simon.smith,8
'patricia.hogan,6
'prince.keir,6
prince.keir,6
'ccerria,12
ccerria,7
'macrae,9
macrae,6
'roffeym,6
roffeym,6
'bmccoy,6
bmccoy,6
'rita.pearson-schwandt,16
rita.pearson-schwandt,6
'dbf,6
dbf,6
'edmund.ha,6
edmund.ha,6
'joseph.campo,6
joseph.campo,6
'lmcmurray,6
lmcmurray,6
'adele.raspe2,4
adele.raspe2,16
'schindlg,2
schindlg,8
publish,752
relev,1104
region,322
responsibl,2
proper,133
assum,1073
tricia,3
wrap,86
ten,139
respond,827
promptli,73
mailto,763
decemb,645
27,339
12:07,23
'rpickel,4
kelli,245
cravath.com,17
Cc,1014
'corrinn,2
assign,611
amend,1770
separ,672
cover,1252
came,286
recent,1158
strong,498
geograph,45
e.g.,245
asia-pacif,20
marketscan,2
marketwir,2
american,703
fuel,170
oil,738
case,1658
though,493
prefer,834
outsid,922
understand,1718
taken,386
wider,61
asian-pacif,2
u.s.,1032
011,42
44,143
774,17
5004,2
357-9514,2
__________________________________________________,105
co.,214
plaza,79
37th,6
NY,788
10004,11
tel,555
212-357-2751,2
fax,3069
212-428-3597,2
L.,182
vice,627
presid,1013
counsel,2050
__________________________________________________________________________,6
__________________________,5
individu,945
goal,311
packet,57
insur,699
metlif,9
tim,317
sharon,191
guess,249
down-sid,7
fairli,155
form,2989
up-sid,2
healthi,44
young,250
enough,468
learn,337
easili,152
bank,1796
statement,762
scheme,92
bet,102
bask,3
light,438
amaz,30
run,1011
ene,53
stock,1834
wow,35
o'brian,112
writer,60
die,66
seri,210
wrote,102
critic,250
reader,211
dure,1298
histori,186
telegraph,8
85,45
stori,281
associ,1017
press,491
novel,48
19th,61
seafar,4
prais,7
report,3182
british,156
newspap,31
sunday,483
franc,230
1949,4
navi,22
war,44
life,265
sea,208
command,25
ship,417
naturalist,4
1990,51
wide,188
fiction,11
literatur,15
write,342
bayley,12
born,76
son,83
daili,736
richard,700
read,1185
britain,16
a.p,2
index,1392
top,688
sport,327
technolog,783
entertain,96
file,2586
3:21,6
p.m.,570
est,245
AP,25
whose,143
celebr,60
loyalti,15
legion,2
dublin,7
