game,94
thi,3019
field,97
play,111
footbal,13
bring,99
sunday,130
take,404
We,364
time,899
rice,20
map,44
place,243
white,179
box,45
pick,57
one,540
two,483
cone,21
pleas,1300
flag,5
guy,38
come,233
frustrat,10
beer,27
prepar,97
forward,175
anyon,48
els,36
think,125
'd,58
like,471
're,100
touch,25
2nd,38
attach,279
indic,90
park,50
small,75
X,31
larger,23
nearbi,14
11am,2
'll,114
whenev,7
everyon,54
get,505
tire,13
goe,26
home,299
team,113
site,318
sever,131
adjac,9
anoth,119
simultan,3
mani,236
peopl,227
boundari,4
feel,93
free,377
equip,66
see,447
fit,21
e.g,3
cleat,1
recommend,56
alreadi,88
go,458
pair,13
academi,5
20,296
water/food/beer/oth,1
refresh,9
U,8
football.gif,1
updat,262
meet,453
room,71
eb30c1,1
1,558
weather,234
2,401
technic,49
analysi,91
3,213
transmiss,213
102,8
lanc,7
cunningham,2
martin,31
lin,3
jefferi,1
wilson,4
david,190
maskel,3
interview,32
24-hour,2
trade,651
per,263
lloyd,34
If,688
avail,288
accept,82
send,513
respons,329
confirm,88
candid,55
taken,44
care,47
thank,401
lydia,1
3-9338,1
101,39
eb30c2,1
oil,394
vika,3
dwivedi,3
3:00,22
4:30,7
env,3
follow,828
week,461
aug,5
7,113
remind,24
afternoon,39
train,121
use,900
metastock,2
well,311
present,243
ani,981
new,4125
function,40
-u.s.,4
requir,301
environment,117
regul,228
strategi,85
air,99
qualiti,46
power,2532
impacts/cost,3
role,103
competit,156
enron,2858
sector,191
program,220
nation,460
prospect,155
nsr,3
bush,478
administr,198
regulatori,129
eb49c1,1
lisa,40
jacobson,1
introduct,21
overview,9
current,356
impact,212
federal/region,1
cap,36
gener,862
date,198
ambient,1
standards/loc,1
non-attain,1
lesson,10
learn,148
california,277
texa,429
houston/galveston,1
dfw,197
sip,1
beyond,24
-new,1
sourc,287
review,193
enforc,30
approach,49
futur,383
chang,697
focu,70
next,293
year,742
trend,152
future/uncertain,1
mercuri,12
particul,2
reform,47
multipollut,1
energi,3701
polici,227
short,88
long,105
term,107
intern,552
greenhous,9
ga,2223
emiss,33
offset,15
issu,419
landscap,9
US,310
CA,201
EU,28
UK,97
possibl,134
scenario,9
impacts/opportun,1
industri,1587
posit,119
discuss,258
question,565
answer,72
juli,99
31-,2
