jeff,43
=20,642
enron,1380
compani,536
forward,228
plan,284
great,25
board,95
ha,537
time,464
role,45
12/13/2000,4
AM,520
=09,48
announc,129
success,48
chief,26
offic,164
2001,538
hi,51
oper,366
direct,118
readi,16
thi,963
judi,288
townsend/hou/ect,183
07,3
58=20,2
=09enron,18
north,162
america,116
corp.,123
=09from,18
ken,40
lay,58
06:01,2
sent,247
To,584
worldwid,42
cc,159
subject,397
It,179
pleasur,5
accept,94
my=20,2
recommend,19
appoint,22
skill,30
execut,131
effecti=,2
ve=20,2
next,110
meet,161
februari,147
12,71
al=,2
so=20,2
retain,26
duti,12
presid,60
continu=,2
e=20,32
chairman,62
remain,62
work,194
the=,39
strateg,67
day-to-day,3
global,52
assum,36
hit,44
all=20,5
cylind,2
posit,97
phenomen,2
growth,70
He,49
clearli,5
for=,13
job,35
15,106
year,342
ceo,71
i=01,2
a=20,18
somewhat,4
differ,32
clear,21
afford,2
a=,11
nd=20,5
freedom,5
combin,66
strength,12
toward,33
build,107
that=20,2
continu,202
exceed,26
everyone=01,2
expect,118
includ,213
We,244
look=,2
relationship,11
expand,52
ani,435
chang,314
manag,539
team,85
broad=,2
shift,20
strategi,20
pleas,561
join,96
congratul,8
look,80
imbal,98
shanna,25
group,190
respons,130
origin,98
trade,305
market,702
activ,87
busi,272
product,194
egm,29
report,242
insur,33
ship,48
crude,40
opportun,75
focu,44
new,528
japan,15
lng,21
first,104
In,233
mid-market,15
effort,59
recent,57
weather,139
london,221
move,128
power,616
york,95
quarter,102
2000,221
order,158
within,56
randi,12
increas,172
around,30
line,144
world,60
europ,49
base,64
assign,20
on=20,21
transact,123
ga,1216
ace,9
russel,14
wa,368
post,50
gross,8
number,175
million,216
veri,35
decemb,147
contribut,42
wholesal,47
last,207
month,237
momentum,6
the=20,35
addit,181
made,84
bill,33
creat,68
specif,84
is=20,11
maintain,30
well,117
of=,17
focus,18
develop,149
place,95
lead,36
petchem,6
doug,15
hire,22
ad,58
grow,14
u.s.,46
financi,174
trader,68
plastic,8
scott,126
portfolio,86
mark,49
paul,32
fr=,6
om=20,6
current,192
has=20,6
region,144
coal,21
joe,13
asset,178
two,91
trading=20,6
risk,449
conting,10
call,330
option,187
deriv,26
y=20,14
houston,133
establish,20
oil,186
hedg,29
fund,77
record,61
perform,109
margin=,3
100,40
repres,57
38,8
increa=,3
se=20,3
margin,10
Q1,3
with=20,4
outstand,11
result,127
1=,8
87=20,3
4,180
due,118
to=20,22
tremend,7
keep,73
go,167
facilit,7
follow,214
organization.=20,3
berkeland,3
focus=,3
ed=20,7
function,23
fred,9
lagrasta,8
still,115
some=,3
variou,24
contact,341
deal,194
flow,73
purpos,127
product=20,3
servic,585
maffett,3
world=,3
proper=,3
wide,3
scope,6
doug=,3
friedman,4
ngl,3
joh=,3
n=20,8
nowlan,3
rick,4
cantrel,28
union=20,3
carbid,3
O=,7
=01,48
conner,3
red,11
meteor,3
extens,26
experi,23
bot=,3
h=20,12
leach=01,3
fuel,90
ra=,3
ndy=20,3
maffett.=20,3
lee,3
jackson,5
ngl=01,3
support,112
chad,3
south,103
have=,4
reorgan,26
stuart,5
bland,3
alan,9
engberg,3
moncrieff,3
network=,3
relat,76
charg,95
aspect,29
take,196
advantag,18
presenc,7
in=20,6
tawney=01,3
efforts=,3
office=,3
murray,6
castlebridg,3
partner,60
th=,16
continent,5
ross,3
mcintyr,3
will=,3
windl,3
bill=01,3
mos=,3
t=20,16
eb,14
organ,51
oslo,3
offic=,3
thor,3
lien,3
scandinavia,3
weather=20,3
employe,351
australia,9
and=20,8
make,173
32,5
citi,69
on=,13
enrononlin,15
schroeder,3
origination=,3
gener,224
mark=01,3
wa=,3
as=20,3
head,22
regulatori,45
australia=,3
deregul,14
process,135
slow,7
decisi=,3
scale,7
back,137
hirl,3
organization=,3
be=20,6
produc=,3
ts=20,5
high,112
potenti,88
near,31
long-term,17
will=20,11
coordin,30
help,259
implement,28
their=20,3
vision,6
of=20,7
contractu,4
access,207
around=,3
jonathan,10
whitehead,3
neal,54
gerstandt,3
previous,28
independ,22
energi,1001
consult,34
jare,10
kaiser,7
east,135
desk,75
kurt,3
lindahl,3
global=20,5
also,267
area,132
