calpin,51
ena,178
volum,60
pleas,755
discuss,406
preced,24
enron,1073
payout,16
tabl,38
regard,262
capac,340
deliv,48
step,48
review,259
monday,288
number,211
requir,185
discount,31
amount,54
point,138
agreement,272
period,49
1,194
agre,77
abov,49
provid,237
contact,303
brad,17
convers,79
yesterday,59
morn,88
find,102
attach,329
altern,31
perman,19
assign,63
pgt,84
onu,6
long,72
date,140
begin,46
work,369
thi,1656
immedi,59
summari,55
key,39
next,240
final,63
formalis,6
grid,14
lump,7
sum,15
annuiti,6
As,228
cost,177
fund,82
impli,7
libor,6
200,16
basi,101
confirm,91
rais,35
option,129
languag,44
favor,17
allow,69
request,132
2,196
less,42
total,66
67,500,6
base,104
referenc,34
forward,206
draft,88
includ,184
necessari,42
condit,39
gener,191
commerci,48
term,118
per,89
item,39
eta,7
tues/w,6
bid,62
afternoon,59
spark,6
spread,20
propos,183
name,150
tran,6
canada,91
ang,14
kay,24
coad,6
Ph,7
403-267-2480,6
trust,21
inform,377
consist,25
previou,30
onc,78
chanc,48
BT,586
insur,34
hear,78
anyth,70
apprais,2
Co,7
stacey,4
spear,2
farmer,4
713-592-8800,2
If,406
hold,49
tommorrow,14
decid,49
use,402
sure,123
thank,553
stephani,200
believ,122
spot,48
32,4
right,151
assum,46
ok.,10
move,119
8th,8
putter,4
home,72
throw,8
trunk,5
meet,386
lunch,41
would,639
like,345
leav,47
town,11
without,46
get,478
somehow,3
tic,27
sm/mw/bt,12
go,343
area,75
new,352
busi,245
plan,217
2001,948
west,159
initi,54
group,236
market,344
incorpor,17
issu,250
start,92
detail,91
mark,411
list,169
need,421
help,137
part,74
phillip,45
make,216
present,85
delainey,12
et,27
al,8
happen,56
dec.,14
8,37
guy,136
know,492
made,96
produc,51
servic,226
transport,92
origination/,3
middl,13
trade,206
put,111
togeth,92
form,100
year,194
outlin,20
first,103
pass,40
overal,11
packag,43
fit,20
subject,961
overview,23
suppli,139
demand,78
fundament,53
strategi,38
opportun,78
implement,20
3,101
product,81
structur,89
4,78
2000,44
n't,276
5,81
organ,36
/,43
peopl,105
/transit,3
etc,58
could,241
think,194
greater,9
orig,42
object,11
call,378
earli,85
week,269
correct,34
prc,35
houston,157
....,209
Is,44
flight,15
later,49
sorri,43
pick,32
ani,788
format,24
end,95
power,332
slide,21
told,45
almost,17
day,230
friday,221
small,22
parti,154
garag,40
3-6,2
pm,19
love,20
come,147
hope,101
We,405
one,274
back,248
barri,968
tycholiz/cal/ect,21
11/28/2000,6
juli,78
02:47,3
PM,717
gomez,6
11:58,9
AM,609
To,978
ect,58
miller/corp/enron,10
cc,95
coast,10
doe,128
may,399
peter,43
everyon,47
spreadsheet,19
sent,918
consider,35
action,89
doc,29
steve,79
proper,12
legal,61
document,115
protect,25
ecc/ena,3
interest,159
At,33
time,457
opinion,36
julie/,3
stephanie/er,3
real,23
unwind,3
realli,52
ugli,3
basic,40
mean,41
low,36
even,69
counter,10
offer,143
front,25
econom,26
pull,28
lot,50
valu,81
deal,268
posit,107
ourselv,9
custom,255
ha,431
ask,99
california,151
avail,145
talk,193
receiv,265
sign,99
fran,19
L1,3
visa,11
enter,56
US,71
also,248
bridg,12
loan,12
via,49
inter,3
offic,126
mail,42
.....,37
wed,31
arrang,47
chequ,8
hand,28
still,106
tricia,3
note,141
employe,124
effect,55
1/,3
00,5
look,245
payrol,4
jeanni,4
sloan,3
commun,127
confer,91
11/29/2000,9
novemb,240
30th,18
breakfast,14
passcod,11
2394,6
08:06,3
north,80
america,63
corp.,175
cheryl,4
kuehl,3
08:03,3
federico,3
cerisoli/sa/enron,3
dawn,7
doucet/cal/ect,3
frank,82
W,33
vickers/hou/ect,3
russ/enron,3
charlen,4
jackson/corp/enron,3
sherri,5
sera/corp/enron,3
wilma,3
williams/enron,3
molli,23
gustafson/pdx/ect,3
8:30am,3
follow,169
domest,6
1-800-713-8600,3
intern,72
1-801-983-4017,3
play,27
hockey,15
night,50
ish,4
saddledom,3
lisa,37
suppos,26
buy,115
drink,15
today,169
two,215
skate,4
around,94
perri,13
turnbul,2
......,10
good,156
hat,7
trick,2
ivonn,6
brown,20
updat,85
associates/analyst,6
david,111
redmond,26
11/30/2000,3
07:19,3
05:30,3
year-end,9
supervisor,10
individu,42
identifi,33
respons,91
gather,23
feedback,20
pre-rat,3
give,124
written,26
perform,60
evalu,16
In,185
addit,109
mid-year,4
rate,148
terri,11
bosien,5
x35230,3
x57106,3
gwen,3
gray,13
x35234,3
question,190
kim,132
transit,19
chri,103
impliment,2
immediatli,4
instruct,23
involv,36
ga,765
handl,25
team,56
coverag,21
account,98
origin,216
becom,41
sold,17
onli,153
thing,88
expediti,3
case,96
alreadi,72
On,36
circumst,4
abl,67
veri,138
quickli,16
mid,18
conduit,2
price,310
weekend,31
fred,32
cancel,11
current,126
attend,48
funer,2
thur,37
a.m.,52
san,73
l.a.,4
might,69
either,67
tucson,2
visit,46
friend,12
hook-up,2
lavo,7
vega,16
want,273
take,265
holiday,28
associ,83
late,35
notic,85
happi,29
pay,81
share,63
wi,2
left,44
brock,3
messag,1005
send,127
e-mail,340
soon,91
verifi,23
statu,57
repli,87
email,199
address,150
home.com,4
close,60
mortag,4
open,86
hous,32
nov.,12
30,61
readi,32
attorney,27
