chri,704
number,503
enron,2774
kim,3236
mari,111
contact,502
move,174
portland,87
foster,180
ga,1505
ward,1462
213/244-3898,3
C,201
To,2671
mreed,2
socalgas.com,30
cc,680
H,240
foster/hou/ect,195
ect,629
subject,2579
unsuccess,9
find,329
phone,390
tri,329
thi,4048
email,619
address,363
receiv,817
oling,77
recent,82
offic,342
work,710
houston,1465
re-initi,2
market,633
effort,48
west,194
ha,769
turn,103
respons,248
retain,23
could,661
chang,794
system,252
My,217
name,281
713-853-0685,93
pleas,1783
call,1035
ani,1866
question,709
might,246
thank,1790
kern,36
river,102
tyrel,41
follow,401
harrison,20
303,17
attach,984
letter,186
ena,273
agreement,686
fax,366
e-mail,1965
575,19
6478,14
03/14/2001,16
PM,1670
bid,136
cover,99
credit,672
send,615
forward,930
harrison/na/enron,5
05:15,4
03:31,3
gary_o_weav,4
dom.com,7
gari,5
document,254
preced,12
one,905
packag,172
fill,105
amend,34
applic,106
polici,83
shortli,19
sign,278
prior,94
also,575
open,131
season,115
notic,107
refer,231
abov,120
outlin,12
process,211
must,256
order,295
complet,231
transact,529
due,176
transmiss,82
compani,910
801,6
584-6950,3
noon,23
thursday,511
march,314
15,233
2001,2453
We,1116
appreci,100
time,1003
reaction,14
offer,632
stand,69
help,542
way,303
575-6478,3
tyrell.harrison,3
enron.com,1718
comment,153
concern,149
fyi,44
801-584-7076,3
juli,297
submit,84
exhibit,50
PA,22
affili,245
requir,393
statement,168
instead,78
seper,5
mean,82
custom,524
two,339
worthi,6
shipper,6
warrant,9
repres,61
particip,75
link,160
sara,204
databas,38
see,698
shackleton/hou/ect,17
susan,89
trade,467
inform,701
new,989
master,429
swap,78
go,1072
If,1007
shackleton,105
north,189
america,241
corp.,584
1400,89
smith,157
street,203
EB,52
3801a,9
texa,159
77002,98
713-853-5620,9
713-646-3490,42
sara.shackleton,9
03/13/2001,5
11:29,3
AM,1412
tana,4
jone,39
03/07/2001,11
01:05,6
melissa,82
ann,230
murphy/hou/ect,6
S,1046
theriot/hou/ect,3
rhonda,8
L,47
denton/hou/ect,5
jefferson,5
D,35
sorenson/hou/ect,3
larri,35
joe,43
hunter/hou/ect,3
kevin,38
meredith/corp/enron,3
bruce,35
mills/corp/enron,3
derek,17
bailey/corp/enron,3
jean,18
bell/hou/ect,3
dian,16
anderson/na/enron,3
souad,3
mahmassani/corp/enron,3
andrea,6
R,105
guillen/hou/ect,3
sheetal,7
patel/hou/ect,6
jarrod,3
cyprow/hou/ect,3
scott,84
tackett/corp/enron,3
gordon,22
heaney/corp/enron,3
pamela,9
sonnier/hou/ect,3
david,129
P,85
dupre/hou/ect,3
laurel,3
adams/hou/ect,3
brent,8
hendry/enron_develop,3
enron_develop,3
mark,232
taylor/hou/ect,3
flynn/hou/ect,3
carol,39
St,19
clair/hou/ect,6
bailey/hou/ect,9
michael,106
neves/hou/ect,3
financi,288
allow,140
access,161
referenc,57
note,176
upgrad,32
add,171
isda,339
definit,91
branch,4
approv,184
disrupt,9
provis,142
input,23
basi,283
still,342
need,1114
back,647
repopul,3
data,142
exist,57
drop,67
nicknam,6
merger,35
item,160
entiti,97
show,190
counterparti,81
anyon,208
els,139
would,1330
like,867
let,1140
know,1635
hope,503
provid,439
stephani,110
miller/corp/enron,12
term,516
sheet,229
03/08/2001,10
02:47,3
barri,171
tycholiz,70
03/06/2001,4
08:03,7
El,200
paso,174
use,829
ppl,103
feel,122
free,421
BT,27
legal,305
on-lin,23
product,209
condit,127
password,92
befor,329
In,365
review,558
third,65
parti,625
