thi,4870
attach,775
custom,511
account,228
assign,136
list,580
central,108
region,287
pleas,2680
forward,534
anyon,203
els,93
group,627
need,1097
inform,1112
approv,377
order,438
agav,115
work,778
robert,379
messag,2853
watson,2122
earl,209
geheb,11
i/c,108
materi,171
activ,184
ani,1551
-origin,2380
kimberli,1918
sent,2717
septemb,386
2001,2186
AM,1316
To,3013
teb,153
Cc,875
abdmoulai,129
mansoor,229
chanley,137
subject,2789
p.a,3
steve,628
interconnect,346
email,694
remain,209
rout,105
thank,2334
kim,2064
market,1549
regulatori,97
preliminari,39
onli,529
ground,32
disturb,7
thursday,776
27,210
9:39,8
harri,541
steven,606
lokey,136
mcconnel,290
mark,657
veatch,46
stephen,180
moor,232
jan,399
FW,419
veach,2
review,615
tap,47
side,88
valv,72
new,1958
give,408
may,1230
begin,266
appropri,94
peopl,244
get,946
We,1281
veri,282
tight,14
time,1411
frame,25
n't,857
want,615
loos,5
anytim,30
paper,87
follow,681
shortli,21
signitur,2
keep,338
process,364
move,382
also,946
soon,193
detail,339
cost,644
revis,215
includ,687
item,162
construct,182
us,822
well,399
provid,744
econom,110
let,957
know,1340
question,869
x33098,39
wednesday,676
26,187
11:22,7
project,901
TW,1481
rep,69
huber,99
lee,264
lagess,23
denis,28
octob,789
04,69
5:32,5
PM,1459
agr,9
x36981,1
call,1208
ga,2139
either,211
neal,3
short,94
turn,105
id-1,3
cut,171
case,153
receiv,635
JB,2
david,336
yesterday,208
spoke,47
go,727
clean,37
current,508
imbal,114
last,768
weekend,220
monday,933
day,1292
My,139
convers,93
wa,1667
make,713
adjust,57
nomin,75
volum,268
It,702
doe,330
appear,87
one,878
morn,327
nom,3
mayb,73
good,392
opportun,197
discuss,718
park,90
ride,41
cover,112
7,000,9
mmbtu/d,560
accord,114
scada,7
number,589
see,799
agre,189
Ds,2
file,807
latest,95
estim,282
portion,84
test,88
as-built,8
packag,48
west,264
texa,298
later,296
match,47
hydro,13
log,52
instal,137
set,246
maop,6
phd,6
facil,425
505-625-8031,25
altern,124
schedul,637
cycl,97
chang,970
tariff,191
firm,238
rate,1236
price,1126
bump,6
max,62
deliveri,665
point,951
1,851
flow,276
even,277
dure,275
alloc,164
2,904
primari,92
differ,170
If,1384
IT,53
susan,102
page,145
everi,113
consid,136
ha,1592
path,56
pro-rata,2
onc,107
effect,238
request,510
actual,172
bill,602
hour,127
way,412
today,777
propos,453
Hi,154
jim,140
updat,391
confer,367
sat,17
lindi,384
ramona,124
mari,309
darveaux,62
afternoon,182
summari,188
sorri,126
windi,1
GT,2
C,230
definit,64
receipt,180
51a,1
section,92
22.2,1
81b,1
alt,18
r/d,1
modifi,39
place,282
bid,137
right,328
occur,68
straight,8
howev,240
discount,263
first,332
anoth,195
come,429
higher,179
enough,78
capac,1147
alreadi,154
along,156
rest,64
sinc,286
would,1916
like,1033
highest,29
absolut,23
valu,248
could,530
basi,208
prioriti,29
within,160
start,249
tomorrow,283
9:00am,13
4,447
known,59
intraday,14
5:00pm,9
two,407
8,190
replac,153
shipper,318
16,169
exist,171
becom,128
necessari,118
togeth,167
prepar,144
determin,143
long,220
take,569
system,686
base,240
answer,126
30-60,1
befor,409
accommod,25
think,423
look,763
april,148
implement,118
date,626
feel,197
pretti,45
comfort,41
protest,61
post,366
hear,147
anyth,132
matter,93
note,332
open,461
season,301
meet,1444
free,391
amend,102
attend,334
cours,168
kh,23
storag,551
risk,721
capabl,45
offer,559
aquila,47
guy,96
probabl,124
noodl,2
worth,37
organ,106
next,573
week,926
abov,167
benefit,82
/,230
instanc,8
red,238
lake,66
connect,112
kern,12
haul,1
reward,44
expand,76
n,53
',519
back,449
posit,188
better,187
pnr,86
term,290
backhaul,5
busi,539
mainlin,30
i.e,37
citizen,85
util,297
compress,57
op,4
agrmt,1
w/,2
'd,91
brainstorm,5
session,131
due,328
3/15,6
financi,248
caveat,1
intend,295
recipi,266
houston,670
big,252
sandi,124
oper,648
agreement,587
enron,2034
corp.,262
kirk,199
enron.com,955
friday,903
ron,233
e-mail,587
affili,182
use,928
contract,916
love,141
visit,488
regard,343
agreements/estim,2
calendar,107
avail,757
bright,9
earli,177
mailto,537
kimberly.watson,137
12,286
6:53,8
ketchekl,43
bp.com,48
matthew,161
As,338
per,851
phone,416
tuesday,743
person,233
book,279
telephon,96
nice,49
safe,42
travel,339
del,28
Pt,15
const,11
10-12-01.doc,7
exhibit,20
10-12-01.xl,7
properti,165
and/or,108
relev,85
contain,141
confidenti,108
privileg,81
sole,77
distribut,220
disclosur,83
strictli,86
prohibit,91
author,124
contact,587
sender,71
repli,178
enron.messaging.administr,66
delet,107
copi,345
hereto,64
accept,143
creat,210
evid,73
bind,72
enforc,71
parti,243
reli,75
estoppel,63
otherwis,110
kim-,31
wrote,46
august,524
ketchersid,54
igi,55
offic,503
nctimes.net,8
Re,137
vote,59
got,188
littl,107
Do,274
buzz,31
760/918-0001,3
talk,291
10:30am,4
cst,94
10,455
flexibl,40
02,1558
4:26,15
thur,9
went,95
8/20,5
goe,36
acc,36
commission,83
final,197
9/18/01,4
stay,119
tune,16
knew,24
hectic,8
wide,29
mind,102
wait,133
sure,339
hold,209
prefer,144
By,72
testimoni,40
01,134
2:38,5
recent,184
spent,34
coupl,146
phoenix,48
testifi,23
pick,79
sometim,67
perhap,76
denver,14
m-w,4
return,233
th/f,4
L,86
resourc,243
juli,383
30,257
11:07,9
hope,318
blank,40
draft,146
complet,548
2:00-3:00pm,5
'm,403
half,56
rock,146
expans,204
serv,216
plant,463
713-853-3098,15
transport,354
servic,808
1400,38
smith,165
street,84
77002-7361,13
p.o,23
box,67
1188,18
77251-1188,16
denise.lagess,12
ph,18
713-853-6704,12
fax,593
713-853-5425,12
document,193
left,223
VM,1
excel,60
spreadsheet,57
addit,522
sheet,111
total,356
tie,59
measur,77
caith,46
engin,140
recap,11
timberlin,2
program,261
result,179
mod,16
basic,58
ultrason,13
accessori,7
past,227
year,1067
level,193
wnat,1
qualiti,44
involv,113
spend,87
money,115
jeff,154
met,56
progress,52
IS,22
+30,1
show,170
paragraph,21
1.7,8
realli,115
main,113
loop,87
line,361
swedg,2
immedi,117
pipelin,1171
noth,66
stood,3
M,97
earlier,117
size,78
mention,85
milepost,1
mp116.5,1
close,288
1008,1
13,194
still,335
guess,42
10,000,156
less,98
B,463
scope,46
team,734
room,373
appoint,57
8:54,9
sarabeth,19
18,302
1:00,54
pm-2:00,2
gmt-06:00,13
US,345
canada,155
ever,83
sell,147
present,244
gave,45
john,922
dushinsk,41
someth,139
extent,15
bit,28
check,291
standard,171
manual,17
spreadshhet,2
state,473
full,166
regular,67
mail,233
hard,70
No,239
yet,189
wish,97
famili,99
wonder,84
holiday,91
catch,60
RE,658
via,137
fulli,65
freed,2
10:21,8
breakfast,49
fyi,440
send,454
chanc,73
9:58,14
plan,768
night/tuesday,4
exact,28
break,67
least,94
effort,124
11,249
3:35,9
late,198
tonight,51
08,67
6:20,5
statu,119
w,17
w/o,9
meter,82
etc.,10
best,199
quick,37
etc,118
broken,10
independ,66
part,234
20,322
4:33,6
find,359
walk,76
agreement.doc,3
estimate.xl,3
certain,72
....,118
map,133
epng,7
attent,79
sun,105
devil,97
great,235
1:20,2
document.doc,1
ID,65
object,83
everyon,187
corp,71
kwatson,81
password,64
lower,237
problem,281
lori,5
saffer,4
extens,55
30641,1
averag,307
california,604
san,545
juan,346
PG,347
larg,163
pkg,96
transwestern,684
785,2
72,17
throughput,71
662,1
rio,38
puerco,16
0,1000
east,205
396,1
El,353
paso,342
2367,1
81,11
etop,48
1140,48
870,4
76,22
socalehr,48
1246,1
1067,1
86,13
socaltop,48
540,33
430,3
80,50
daili,519
socal,324
12.43,1
E,375
8.305,1
n/a,33
permian,140
4.00,6
onlin,217
jun,266
jun-oct,2
nov-mar,26
perm-ca,32
7.97,1
7.11,1
5.35,1
SJ,44
CA,191
8.41,1
7.64,1
5.67,1
sj-waha,32
.44,8
.50,2
.26,10
perm-waha,32
.01,16
.03,14
.04,14
1032,1
95,32
873,5
2160,1
73,10
584,2
51,11
1266,1
1040,6
82,10
536,2
99,33
6.90,1
3.515,1
3.10,3
EP,7
3.77,1
jul,269
jul-oct,4
3.66,1
3.50,13
1.36,1
4.41,1
4.27,1
1.55,1
.75,2
.61,1
.21,6
.00,8
.015,4
.90,2
1074,1
871,3
390,3
2319,1
78,16
670,1
59,10
1299,2
1147,1
88,16
502,2
93,14
6.54,3
4.48,1
2.35,19
3.495,1
2.31,23
1.85,4
3.20,5
2.51,13
1.06,4
.67,1
.17,6
.005,8
92,11
2.99,7
1038,2
854,6
464,3
2249,1
642,1
56,11
1206,1
1111,2
496,2
4.31,1
2.50,43
aug,276
aug-oct,4
2.19,29
1.74,3
.95,1
2.72,2
2.16,33
1.08,7
.53,2
.43,3
.16,6
1078,1
858,2
455,6
2128,1
71,13
668,1
1006,1
77,25
542,2
454,2
84,14
3.86,2
2.37,24
3.065,3
3.52,2
3.13,2
1.94,12
3.98,1
3.49,1
2.07,24
.46,2
.35,1
.14,6
1089,1
100,163
844,4
439,3
2486,1
85,25
805,1
1250,29
1150,2
531,1
98,30
3.85,2
3.605,1
2.725,3
3.09,3
sept,32
oct,296
1.00,34
.85,2
.78,1
1.41,2
1.07,5
.89,1
.42,2
.24,6
.12,8
interst,81
report,1075
highlight,34
1079,1
17,151
445,2
2167,1
74,9
650,10
57,21
994,1
539,7
523,2
97,27
3.63,2
3.105,3
2.675,8
3.14,4
.65,2
.60,2
1.26,1
.91,2
.72,1
.27,7
.02,10
1081,2
860,5
446,2
2290,1
727,1
64,9
1240,1
1053,1
510,5
3.33,1
2.63,8
2.925,11
.64,1
.52,2
.41,5
.23,5
-.01,12
1011,3
799,1
450,13
2365,1
743,1
65,62
1083,1
87,18
3.12,2
-.425,1
3.02,8
-.57,1
2.73,2
-.40,1
2.715,5
-.595,1
.40,3
+.04,3
+.01,18
.49,4
+.05,6
.77,2
.58,1
.56,1
+.02,15
.39,2
-.05,4
.18,1
-.04,6
.09,2
-.03,12
-.02,6
border,145
rob,64
sacramento,9
pre,6
4_13_01,3
.ppt,3
high,444
bradley/corp/enron,2
shelley,130
joe,66
cc,136
paul,457
brattl,2
power,1322
stephani,79
04/19/2001,2
douglas.port,2
sce.com,4
626,3
drt2486.ppt,2
economist,4
dig,4
dirt,4
produc,262
05/03/2001,1
05:47,1
corman/enron,2
enronxg,204
04/20/2001,1
02:51,1
hartsoe/corp/enron,2
carpent,3
second,120
respons,330
plead,8
ferc,447
refut,1
notion,13
reinstitut,1
control,200
argument,13
stan,99
natur,872
roundtabl,4
speech,4
directli,92
attribut,20
supply/demand,4
factor,38
dasovich,7
19,194
12:28,4
fawcett,25
jefferi,16
fossum,66
drew,95
gomez,4
A.,53
corman,124
hartso,45
miller,283
steff,11
jame,217
skean,1
robertson,442
linda,209
shapiro,13
richard,299
kaufman,2
mara,11
mccubbin,1
sandra,7
guerrero,2
janel,73
denn,1
karen,79
mpalmer,1
novosel,7
sarah,31
fulton,12
donna,133
lawner,2
lesli,5
leg,94
committe,197
assert,3
held,112
out-of-st,1
supplier,31
explain,61
415.782.7822,1
might,178
interest,507
barri,56
dasovich/na/enron,1
12:23,5
11:36,5
jeff.dasovich,1
slide,39
dougla,3
porter,86
senior,64
attorney,49
southern,243
edison,28
compani,1087
302-3964,1
302-3990,1
1070,1
868,1
485,4
2292,1
787,1
69,12
971,1
534,2
3.545,1
+.215,1
3.59,2
+.39,2
+.50,1
3.31,1
+.385,3
.36,1
-.10,2
-.08,4
.59,1
.54,2
+.03,14
.22,11
998,1
790,1
392,1
2204,1
75,60
691,1
61,17
1251,1
83,12
475,2
2.385,8
-.19,2
2.315,2
-.23,5
2.09,16
2.18,30
.20,5
.33,3
.32,2
.13,1
.10,7
-.005,5
-.015,2
summar,27
monthli,155
period,208
novemb,532
2000,217
march,645
31,167
elizabeth,252
brown,233
-.115,2
972,2
89,24
800,32
423,2
2036,1
70,35
590,5
52,8
922,2
524,1
2.27,37
2.13,22
-.185,1
1.965,1
2.145,1
-.035,2
apr-oct,14
.085,1
-.12,2
-.07,1
.29,1
-.09,1
-.06,5
.225,1
+.095,1
.135,2
+.035,1
.285,2
+.005,3
.025,2
.035,3
899,2
798,1
1976,1
66,13
605,1
53,8
1334,1
902,1
68,18
469,2
1.940,2
-.33,1
2.005,1
-.13,2
1.515,1
-.45,1
1.855,2
-.29,1
.08,7
.38,1
+.09,2
+.11,1
.11,2
-.155,2
1010,10
791,5
437,2
2266,1
784,3
1105,1
1080,1
416,7
402,29
2.575,6
-.545,1
2.545,7
-.475,1
2.20,25
-.515,1
.28,4
.325,1
-.165,2
.425,1
.405,1
+.335,2
1071,1
867,6
339,3
2178,1
726,1
1216,1
1039,1
528,1
413,4
2.125,1
+.33,1
2.03,22
1.97,19
-.025,2
-.055,2
ldc,42
inject,11
whi,114
J,58
kean/na/enron,2
phillip,66
far,121
index,142
demand,280
much,349
02/15/2001,1
09:38,1
K,102
allen,40
ect,8
12/22/2000,1
03:06,1
varieti,19
chart,34
home,147
713-463-8626,1
recommend,92
examin,27
incent,17
methodolog,22
sale,209
without,150
consider,60
futur,609
run,228
shortag,16
month,850
investig,68
maxim,28
specif,170
'00-may,1
'00,2
fill,84
mani,238
exampl,69
ofo,20
push,34
away,67
believ,221
extrem,25
poor,28
job,134
forecast,155
repeatedli,1
3,471
similar,50
benchmark,9
hedg,159
done,107
major,198
design,159
float,10
histor,31
buyer,50
consum,78
input,50
-.145,2
+.015,2
917,3
2020,7
627,1
55,25
939,1
541,1
1.795,1
1.695,1
-.31,1
1.37,1
1.635,1
-.22,1
.185,1
.485,1
957,1
872,3
470,2
1857,1
578,3
981,1
823,1
535,1
456,7
+.185,5
2.26,28
+.23,1
2.06,35
+.22,1
gh,36
1017,1
882,1
1961,1
643,1
1025,1
938,1
380,3
2.34,17
2.165,3
.15,2
i99-07-003,7
gir/unbundl,2
although,73
com,15
bila,43
issu,628
decis,190
24,146
cpuc,111
agenda,49
commiss,203
throughout,37
legislatur,25
gov,26
davi,49
legisl,80
leader,68
possibl,330
emerg,66
address,493
worsen,2
budget,91
crisi,40
face,87
shortfal,7
14,256
billion,297
mon-friday,1
omaha,105
michel,436
lokay,337
jlokay,1
yahoo.com,25
10:03,3
donoho,307
7/9-7/13,1
1086,1
848,1
2435,1
686,1
60,67
1267,1
1227,1
526,2
522,1
4.505,1
3.815,1
2.68,3
3.155,1
1.46,3
1.45,2
1.95,18
1.13,5
.94,2
1035,2
832,1
444,1
2202,1
645,1
1117,1
1096,1
504,5
461,2
91,14
3.775,1
3.40,2
3.005,1
1.10,1
.82,1
1.60,4
1.32,4
2002,1746
green,44
light,90
northwest,75
proceed,177
212mm/d,1
river,76
previous,27
action,102
10.5mm/d,1
permen,1
1020,1
94,16
878,1
538,1
2247,1
816,3
1249,1
991,1
79,27
440,8
12.615,1
8.67,1
3.915,1
7.90,1
7.14,1
5.28,1
8.60,1
7.81,1
5.56,1
.69,1
.25,4
908,1
2103,1
723,2
63,8
945,4
543,1
435,1
2.955,7
-.075,1
2.855,4
2.78,1
dec-mar,4
.05,7
944,1
880,3
1985,8
721,1
806,1
458,3
-.38,1
2.465,9
-.39,1
2.32,39
2.41,12
-.37,1
-.70,2
924,1
849,1
479,2
2146,1
716,1
985,6
-.635,1
-.61,1
1.62,1
1.71,1
.06,1
973,3
888,9
488,2
2085,1
556,1
49,11
1057,1
472,6
+.635,1
2.505,3
+.65,1
2.475,10
+.765,1
1044,3
96,21
853,15
453,2
1937,1
586,1
952,3
399,1
2.595,10
2.535,4
2.355,1
jan-mar,1
846,1
262,6
2392,1
782,1
1114,2
2.365,5
2.24,26
-.30,1
1.80,4
1.865,1
-.49,1
1122,1
103,11
270,10
2198,1
696,9
1022,1
480,31
+.35,1
2.61,7
+.37,2
+.55,1
2.48,18
+.615,1
sj-,1
.255,1
1059,1
839,3
292,4
2064,1
692,1
910,3
462,3
-.14,1
-.065,1
2.30,41
-.18,1
959,1
827,2
398,6
2122,1
653,1
979,3
490,4
90,39
2.885,1
+.31,1
2.84,6
+.295,1
2.74,3
+.44,1
840,5
829,1
491,1
1568,1
54,11
426,1
37,12
713,532
429,1
-.535,1
2.29,23
-.55,1
-.47,1
1084,1
466,5
2313,1
826,1
1254,1
1031,1
9.92,1
4.535,1
3.11,1
5.85,1
4.94,1
2.38,35
5.54,1
2.59,1
.68,1
855,3
468,6
1673,2
343,4
476,4
2.135,4
-.215,2
-.20,2
2.01,14
2.04,26
01/07-01/11,1
januari,965
8:31,3
lindberg,439
lorrain,525
lohman,389
TK,517
y'barbo,199
audrey,546
12/31-01/04,1
+.19,3
473,2
1783,3
374,2
33,44
954,2
2.345,8
+.21,1
2.28,38
2.225,2
933,1
864,2
452,9
1954,1
67,8
44,15
498,3
2.155,2
-.15,1
2.025,4
-.175,1
1.985,2
-.24,1
881,2
995,5
februari,666
988,1
375,3
saturday,177
997,1
405,3
sunday,183
03,85
884,2
373,1
1058,1
306,7
1994,6
598,4
909,2
487,5
+.025,1
+.085,1
337,1
2065,1
48,8
2.15,48
1036,1
315,1
09,67
941,1
467,3
940,1
442,3
958,2
441,1
flat,42
1015,1
394,1
2063,1
1002,2
463,1
2.215,4
851,1
403,5
2075,1
573,1
50,96
492,2
2.335,1
1045,1
856,2
2385,1
780,4
1138,1
5.82,1
3.15,2
2.62,5
1.04,2
1.23,2
3.17,2
1.75,6
1.42,1
.73,1
1066,1
862,2
316,1
1065,1
317,3
1076,1
877,6
321,2
1075,1
879,2
326,3
quit,30
host,42
annual,70
outag,220
coordin,111
william,315
field,260
burlington,60
pnm,76
6,261
7,176
line-pack,1
fuel,352
revenu,177
815,1
596,1
1790,1
47,16
804,1
2.285,1
2.295,2
+.08,2
989,1
2136,1
615,1
2.805,1
2.81,1
+.13,1
non-bondad,3
2.69,4
+.125,1
2.64,4
+.10,1
15,276
842,1
415,7
1807,1
947,1
1678,1
953,3
778,1
361,3
1745,1
783,2
372,1
1777,1
bisti,48
electr,413
unit,343
forc,76
majeur,4
notic,189
began,35
880,000,1
780,000,3
repair,36
length,31
874,1
451,1
930,1
465,2
+.395,1
2.565,5
2.54,3
+.245,1
869,3
845,2
506,4
852,4
486,6
21,181
889,7
22,215
890,2
519,3
quiet,17
3.18,2
773,1
391,1
1896,1
608,3
863,2
425,2
+.375,1
3.015,4
+.325,1
3.04,5
+.40,1
glen,184
hass,151
govern,97
affair,24
398-7419,1
glen.hass,2
865,3
525,3
1782,3
667,3
1042,3
707,5
512,4
408,4
3.03,6
+.69,3
+.67,3
2.86,5
+.695,3
june,137
delay,97
