volum,132
bid,121
quot,83
sheet,178
4025,2
64243147,2
4035,2
30310857,2
408,2
offer,261
33395444,2
-origin,321
messag,596
weldon,459
V.,203
charl,638
sent,470
wednesday,136
may,566
30,178
2001,641
5:07,3
PM,990
To,1073
quigley,5
dutch,8
subject,945
file,212
5-29-01.xl,2
eric,321
joan,35
number,238
veri,198
notion,48
ga,588
basi,130
abraxa,15
We,742
get,509
quick,99
boyt,81
Cc,108
kalb,12
thoma,58
jain,11
avinash,11
first,195
point,184
yr,18
TX,92
got,148
nymex,66
hsc,17
yesterday,78
rest,51
thi,2167
morn,111
tuesday,150
29,122
3:09,4
Do,124
anyth,70
us,309
thursday,204
24,144
3:29,4
preliminari,10
look,330
vpp,51
pleas,1022
provid,361
add,51
next,219
week,264
If,635
could,195
year,448
five,53
one,455
6,1695
thru,264
10,1271
would,611
great,140
n't,370
know,657
vol,4
assum,65
5,000,9
mmbtu/d,8
tenn,5
ship,55
tetco,11
S,50
transco,26
zn,4
1,2026
pool,15
thank,808
deer,78
hunt,17
realli,126
well,222
'm,180
sure,165
ha,765
everyth,43
've,138
hunter,38
gotten,14
gross,73
good,247
go,357
schedul,443
day,321
sundown,4
link,126
sound,34
like,389
due,89
analysi,57
advic,26
mari,48
babi,12
As,212
excit,30
see,279
lot,47
young,25
middl,21
age,27
buck,21
bumper,3
crop,26
fawn,4
time,618
memori,32
15,367
taken,54
anythin,2
9,65
11,322
135,3
B,25
C,30
swhich,2
giant,8
darn,8
respect,38
anywher,7
US,68
outr,2
third,47
largest,18
ever,53
calibr,3
mine,5
166,2
8,80
18,198
wide,7
4.5,2
yeear,2
old,79
let,502
shoot,16
still,182
open,109
take,309
pictur,86
It,334
hard,40
mind,47
want,376
tkae,2
pic,4
blind,4
feeder,3
close,107
move,156
nearli,24
drive,38
easili,11
snap,7
photo,7
sunup,2
noon,20
whatev,16
call,476
281-807-6802,2
interest,169
work,401
melissa,84
He,168
4,427
start,164
pre-school,2
anoth,88
way,135
're,123
yet,64
enron,2393
hope,173
rotat,34
new,777
role,81
feb/mar,2
thing,107
dell,23
later,103
charli,614
prc,53
meet,390
commun,271
base,160
houston,410
remi,12
repres,98
trade,404
forward,602
believ,121
decemb,175
list,171
'll,263
phone,149
commit,51
resum,37
dure,115
current,329
group,329
team,297
weather,162
supervisor,17
addit,241
samira,4
global,181
paulo,8
best,153
In,342
email,255
speak,42
town,34
much,154
obviou,11
high,98
qualiti,69
job,45
per,241
request,174
attach,353
brief,41
outlin,22
contribut,75
last,242
month,212
associ,185
began,26
past,92
summer,97
follow,404
graduat,22
UT,112
mba,60
energi,345
financ,52
assign,56
vinc,15
kaminski,4
research,83
market,421
fundament,44
commonli,2
refer,78
head,61
mike,102
robert,46
locat,163
floor,114
32nd,3
direct,65
support,162
desk,133
deriv,48
need,661
ani,697
inform,608
sincer,28
collong,2
11/22/2000,2
04:30,8
kelli,42
little/na/enron,2
justin,33
cornett/enron,2
jeff,100
M,48
gray/na/enron,2
kyu-bong,5
lee/na/enron,5
massimo,5
marolo/na/enron,2
isaqu,2
nagata/sa/enron,2
olalekan,5
oladeji/na/enron,2
paulin,5
reyes/enron,2
reagan,20
rorschach/na/enron,2
ricardo,7
sassatani/sa/enron,2
joseph,21
wagner/na/enron,2
V,400
weldon/hou/ect,284
ect,804
richard,20
yeboah/na/enron,2
jennif,81
thome/na/enron,2
jorg,9
gumucio/sa/enron,2
cc,503
ravagnani/sa/enron,2
AA,2
dear,46
12th/13th,2
VP,23
risk,133
manag,400
offic,243
deal,231
power,365
glad,33
rep,7
despit,26
involv,46
becaus,153
truli,24
asset,89
compani,331
employe,263
fairli,8
activ,160
order,308
facilit,6
task,14
appreci,68
1.,2
accomplish,20
2000,205
12,187
bullet,3
telegraph,2
style,8
2.,2
decent,7
recent,116
show,110
school,61
previou,73
experi,89
date,229
3.,2
sinc,113
hire,24
pep,10
system,284
discuss,200
perform,90
5,1839
also,369
befor,162
either,53
south,59
america,262
wa,603
case,88
visit,89
mutual,11
conveni,28
55,11
5503,2
1200,2
half-hour,2
monday,179
stay,45
3ac1439,2
far,44
11th,10
advanc,33
run,139
process,164
smoothli,2
dollar,15
whi,69
buy,106
deep,9
money,79
put,115
option,122
delta,13
henc,17
almost,29
stock,109
nok,8
nzymk.x,4
4-5/8,4
contract,108
4000,4
check,140
feb,10
2932,2
wth,2
today,310
liquid,23
shouild,2
ok.,2
400,6
erici,2
give,165
equiv,2
short,40
figur,26
right,193
somewhat,5
imagin,17
frenzi,6
board,81
wo,34
think,187
done,66
motiv,9
aggi,17
AD,2
onli,277
hurrican,90
warn,58
product,337
entiti,41
region,63
data,267
exposur,38
pro-hurrican,12
frequenc,12
durat,18
natur,94
u.,21
anti-hurrican,9
manufactur,18
florida,109
certainli,28
gener,169
north,176
note,277
concern,149
develop,261
numer,21
underli,17
effect,120
might,93
channel,83
govern,92
parti,94
thu,34
document,121
storm,33
set,128
given,74
carolina,18
model,154
custom,196
busi,447
front,25
trend,12
idea,48
01/09/2001,6
03:08,3
Re,155
sunbeam,3
divis,19
corp.,144
11/02/2000,3
03:13,8
roberts/hou/ect,9
mark,367
tawney/hou/ect,3
claudio,3
ribeiro/corp/enron,3
gari,34
taylor/hou/ect,5
todd,26
kimberlain/na/enron,6
hrgovcic/hou/ect,6
jose,10
marquez/corp/enron,6
J,53
kaminski/hou/ect,6
milind,3
pasad/hou/ect,3
william.smith,3
enron.com,322
stephen,37
W,68
bennett/hou/ect,3
folk,40
intend,48
updat,297
progress,12
toward,33
commerci,67
line,128
clear,51
and/or,33
object,23
enabl,26
hedg,69
partial,27
brainstorm-styl,3
counterparti,39
accord,50
resort,5
home,73
depot,3
cruis,3
low,95
riverboat,3
casino,4
cnn,13
chemic,12
plant,237
refineri,14
local,53
TV,19
station,22
arm,13
forc,62
dri,3
ice,16
athlet,10
chainsaw,3
citi,68
insect,3
repel,3
state,283
offset,11
import,138
macro,5
typic,17
thought,74
bundl,9
depend,20
collect,32
1980-2000,3
form,167
excel,11
databas,62
sort,15
coastlin,6
total,105
discret,4
primari,43
coast,28
divid,17
differ,118
geograph,10
roughli,8
similar,39
size,45
england,4
mid-atlant,4
virginia,10
georgia/south,3
east,118
west,76
panhandl,3
orleans/miss/bama,3
lousiana,3
texa,156
suffici,27
price,539
purpos,145
confirm,152
expect,149
quit,26
volatil,38
unpredict,3
volail,3
graphic,7
depict,9
mathemat,3
use,421
demonstr,19
would-b,3
impact,217
financi,133
mani,156
awar,32
quantifi,3
probabl,58
felt,9
wear,10
themselv,19
scrutin,3
correct,45
skew,3
factor,57
polit,88
satellit,3
avail,239
popul,11
etc,59
back,180
