set,419
w/sylvia,2
mirel,2
713/522-1138,2
x-215,2
6/07/00,2
jess,5
8:59,2
9/25,2
jessica,18
ramirez,7
andrew,124
mile,38
x-30314,2
thank,1343
nicki,40
holiday,280
flower,4
enron,5882
parti,337
everyon,156
field,167
enjoy,82
pleas,2192
see,768
attach,744
sent,638
dori,23
hitchcock,8
ect,2661
11/12/2000,35
17:03,2
To,1753
daw/na/enron,14
cc,846
subject,1267
want,529
involv,185
beauti,8
bouquet,2
receiv,704
today,1107
It,686
wa,1715
pleasur,16
work,1062
appreci,119
execut,967
'step,2
plate,20
',647
speak,129
ask,393
go,746
could,631
tell,86
roar,8
audienc,77
thoroughli,8
banter,2
would,1792
also,989
like,997
daw,8
kim,49
hilli,11
cathi,72
phillip,70
jennif,104
burn,56
sue,97
ford,80
marsha,55
schiller,9
liz,741
taylor,337
kay,42
chapman,8
effort,415
support,597
dure,247
plan,838
thi,4760
event,275
My,98
greatest,14
reward,23
know,837
festiv,20
wish,128
veri,392
joyou,2
season,132
meet,1101
june,683
greg,1674
whalley,691
budget,153
A.,117
philipp,93
12th,32
tina,41
PM,1796
attend,445
everi,301
john,809
jeffrey,317
11:00,193
eb32c2,51
spiller/enron,13
enronxg,626
05/31/2001,4
02:12,4
whalley/hou/ect,385
RE,98
except,88
TS,7
-origin,268
messag,740
On,191
behalf,80
Of,86
thursday,364
may,1580
31,126
2001,1136
2:02,7
sherriff,36
brown,128
michael,352
coo,45
london,672
mcdonald,61
rebecca,140
hugh,26
jame,272
bibi,35
piper,65
mcmahon,70
bowen,37
jr.,85
raymond,108
mcconnel,44
mike,238
shankman,58
lavorato,96
kitchen,136
louis,274
colwel,19
dodson,10
keith,49
stanley,85
brian,75
garland,44
kevin,278
Cc,170
urquhart,7
lauren,37
brelsford,9
loretta,45
blackwood,7
conni,31
mccurley,17
peggi,65
spiller,13
kimberli,43
schopp,10
tammi,37
tijerina,10
shirley,22
killen,10
faith,25
hook,23
barbara,37
rapacioli,7
marisa,13
venabl,7
rachael,10
rush,34
rebekah,7
month,397
weekli,232
tuesday,408
a.m.,218
mark,731
calendar,90
accordingli,26
notifi,84
onli,654
unabl,65
5,433
12,167
19,132
26,73
a.m,66
mani,589
x31935,81
yadayadayada,3
12:44,5
Re,118
FW,126
delainey,124
discuss,682
mayb,48
best,398
solut,367
expect,435
program,619
L.,82
bill,338
robert,164
scott,138
still,334
UN,6
oil-for-food,6
iraqi,6
extens,70
bullish,24
seigl,3
clayton,6
09:57,6
nowlan,21
schroeder,6
white,100
wilson,39
danah,3
patrick,24
fuller,3
goughari,3
jim,222
mulholland,3
sarah,24
mahoney,15
chri,264
thoma,137
buckner,6
koller,3
ross,43
hickerson,9
gari,63
bradley,24
W.,102
eric,141
maffett,9
randal,9
spencer,6
slovenski,3
richard,290
De,16
La,12
ossa,3
mario,7
berkeland,6
jackson,24
lee,66
tholan,6
johnston,9
iraq,3
updat,280
sensit,40
privat,290
As,483
look,488
US,191
UK,81
accept,266
fact,127
sanction,9
restructur,82
befor,293
3,499
deadlin,75
We,1308
extend,104
six,79
mean,148
littl,178
disrupt,43
howev,233
sourc,241
close,447
report,1169
washington,99
push,48
hard,298
shorter,9
1-2,6
If,1042
get,1080
way,358
issu,704
say,320
thing,299
respons,433
particip,652
next,552
phase,87
might,245
immedi,214
wti,62
stage,90
market,2054
anticip,45
end,342
short,161
two,522
road,52
invest,1212
unit,799
equiti,415
princip,174
manag,1544
one,1128
corpor,806
busi,1900
form,357
new,2176
exist,267
posit,603
gene,89
join,422
group,981
legaci,9
member,379
announc,491
format,109
better,234
develop,873
opportun,421
relat,208
core,122
ha,2391
combin,119
ena,127
eb,123
partner,819
strategi,260
across,150
identifi,98
leverag,82
uniqu,88
proprietari,96
knowledg,102
ventur,966
capit,677
lbo,30
tradit,96
distress,30
debt,91
serv,219
director,450
overse,37
activ,402
miller,55
humphrey,53
senior,187
profession,118
addit,437
transfer,82
lydeck,33
continu,413
hi,766
capac,149
polici,264
committe,343
congratul,105
jeff,419
skill,223
l.l.c,63
jedi,51
linden,36
cogen,33
servic,1463
kate,28
cole,34
713,818
GP,51
technolog,1001
camden,24
subsidiari,102
sale,366
compani,2821
note,420
includ,1021
llc,105
B.,36
corp.,379
tel,52
853-1624,22
fax,269
646-8007,22
email,508
kate.col,22
enron.com,975
mari,78
Hu,34
sylvia,40
east,66
coast,30
power,1318
limit,341
energi,1589
l.p.,33
LP,24
evid,53
referenc,21
orang,9
16,138
5:27,3
mellencamp,15
lisa,48
heinitz,3
aun,3
stacey,3
barrow,3
cynthia,22
bouillion,3
callahan,6
teresa,6
carnahan,3
kathleen,18
dallman,7
larri,77
davi,107
hardi,9
derrick,41
king,15
frazier,3
korkma,12
deb,12
labaum,3
wanda,15
leo,3
johnson,37
Li,6
ling,39
maxwel,9
matt,27
moor,16
jerri,9
murray,9
julia,12
perkin,9
pham,3
lynda,3
pinder,6
lori,10
priddi,3
janic,13
rice,72
greek,3
sap,54
master,24
data,598
swafford,3
l.l.c.,6
delawar,30
liabil,48
direct,318
indirect,15
list,436
sold,66
El,36
paso,24
februari,126
22,108
empir,9
suppli,167
bayonn,6
NJ,12
partnership,156
NB,12
inc.,444
ltd.,42
chelton,6
file,255
48th,10
floor,222
vault,25
share,366
inform,1176
interest,648
follow,905
hand,118
host,108
lunch,88
recent,297
dalla,61
open,332
around,261
iplanet,15
well,540
view,287
microsoft,82
java,9
e-mail,614
soon,196
summar,6
brought,45
chief,208
oper,661
offic,836
net,343
greg.pip,3
origin,455
west,117
dave,148
ee,739
deal,495
orig,15
back,564
mm,12
'm,239
let,527
calger,18
head,240
n't,923
talk,360
dollar,79
realli,178
trade,1676
belden,12
tim,124
AM,1212
christoph,36
F.,30
exampl,80
harrah,9
gener,692
chanc,106
ani,1251
interpret,18
start,312
three,229
wholesal,261
custom,599
compet,54
risk,435
care,98
think,454
give,403
foster,24
whoever,12
us,640
paid,85
peopl,426
coordin,91
fine,99
someth,98
return,347
agre,183
wolf,6
initi,306
tire,9
intent,90
run,236
9:32,3
highlight,57
approxim,118
million,1453
rel,48
mid,39
4,438
went,72
offer,891
definit,59
word,72
neither,12
anoth,192
allow,258
certain,82
bad,50
idea,182
whi,174
keep,198
talent,43
resourc,228
sidelin,6
period,116
time,1565
order,341
kid,72
brother,31
fair,70
win,131
thought,257
crack,9
squad,3
capabl,138
answer,127
told,139
retail,145
book,184
transact,1246
copi,373
contract,303
first,857
portland,58
said,1738
gave,45
function,207
insinu,3
owe,49
indic,207
simpl,37
life,172
desk,121
took,66
offens,18
comment,301
hung,3
resolut,87
call,1114
propos,183
anyon,119
profit,172
center,473
person,342
credit,361
stock,292
price,784
billion,289
guy,144
long,192
bring,287
valu,512
suggest,157
pretti,49
sure,269
character,6
convers,96
though,162
agreement,195
readi,75
move,439
forward,983
need,968
rather,106
money,245
stay,81
live,209
varieti,33
outcom,44
'll,353
sit,40
tight,45
wait,77
5:44,3
vicker,6
frank,82
lagrasta,13
fred,51
tycholiz,6
barri,17
luce,9
laura,39
duran,30
david,445
H.,62
presto,9
M.,65
mrha,9
jean,12
baughman,3
edward,32
D.,58
reguard,3
product,1124
write,54
send,323
anyth,119
happen,94
prematur,9
pcg,47
fitch,16
reduc,133
rate,363
CA,117
util,423
eix,28
moodi,16
consid,226
news,249
wire,63
PG,115
E,577
6,259
decemb,509
whole,79
avail,460
ben,106
ipe,90
statu,153
ice,165
pm,39
29,167
date,681
valid,43
respect,121
repres,236
60,54
hold,321
15,308
justin,33
global,620
modul,54
present,440
databas,111
project,369
http,2288
esourc,30
EB,71
5c2,21
provid,1107
