ani,678
inform,789
intend,153
person,364
entiti,226
materi,119
thi,2616
gc010427,1
gc010428,1
transmit,30
onli,499
address,396
may,892
contain,163
confidenti,83
and/or,96
privileg,67
review,238
retransmiss,27
dissemin,27
use,405
take,317
action,98
relianc,46
upon,89
recipi,93
prohibit,59
If,801
receiv,698
error,66
pleas,1233
contact,310
sender,69
delet,107
comput,122
gc010427.xl,2
gc010428.xl,1
gc010627.xl,1
gc010925.xl,1
gc010924.xl,1
gc010923.xl,1
gc010915.xl,1
gc010914.xl,1
gc010913.xl,1
gc010907.xl,1
gc010905.xl,1
gc010906.xl,1
gc010821.xl,1
gc010820.xl,1
gc010819.xl,1
gc010811.xl,1
gc010809.xl,1
gc010804.xl,1
gc010803.xl,1
gc010426.xl,1
gc010802.xl,1
gc010801.xl,1
gc010725.xl,1
gc010724.xl,1
gc010723.xl,1
gc010722.xl,1
gc010716.xl,1
gc010715.xl,1
gc010711.xl,1
gc010710.xl,1
gc010420.xl,1
gc010709.xl,1
gc010707.xl,1
gc010706.xl,1
gc010705.xl,1
gc010630.xl,1
gc010418.xl,1
gc010629.xl,1
gc010419.xl,1
gc010628.xl,1
gc010620.xl,1
gc010619.xl,1
gc010618.xl,1
gc010617.xl,1
gc010613.xl,1
gc010612.xl,1
gc010611.xl,1
gc010610.xl,1
gc010602.xl,2
gc010717.xl,1
thank,402
rudwel,16
jason,617
R,231
11/21/2000,6
PM,734
craig,24
worksheet,44
forward,272
To,1166
enron,1333
cc,275
subject,757
farmland,4
industri,222
breslau,7
williams/na/enron,87
could,167
cool,14
satisfi,19
legal,177
william,505
05:17,2
johnson/na/enron,11
see,468
recent,230
handl,28
request,173
per,174
attach,233
l.l,2
05:14,2
ect,438
04:41,2
start,349
credit,674
master,162
swap,28
agreement,250
process,166
top,219
prioriti,8
footbal,61
earli,58
week,692
playoff,24
megaboof,4
XL,4
beat,18
memphi,6
blue,26
vs.,25
gentlemen,5
well,228
even,172
though,27
still,154
monday,159
night,87
game,407
yet,58
play,215
call,520
winner,23
1,532
refuge,2
austin,4
power,287
onc,110
ironbal,2
make,462
exit,19
thing,103
chang,404
stay,48
michael,98
unload,2
yellig,2
talk,121
run,118
unlubr,2
backdoor,3
violat,8
brutal,3
So,86
matchup,37
next,239
contest,12
goodfella,2
postal,12
crampag,2
good,192
luck,4
remain,98
competitor,7
jay-san,2
R.,64
ceo,35
chief,63
shogun,2
shokohachi,2
club,51
japan,8
imperi,16
geniu,5
greatest,8
defacto,2
commission,14
ffl,2
histori,35
man,95
get,727
wife,23
like,421
one,529
soon,96
car,96
day,451
give,205
walk,25
go,324
mani,173
best,238
earth,10
war,30
determin,43
passion,4
kiss,5
spider,3
web,153
lead,82
undo,3
fli,11
virgin,4
bubbl,9
prick,3
gone,12
front,37
tire,31
behind,15
exhaust,4
hand,46
pocket,9
feel,73
cocki,3
foolish,3
grand,12
piano,5
wise,5
upright,3
organ,70
thru,233
airport,6
turnstil,3
sideway,3
bangkok,3
chopstick,3
hungri,3
scratch,3
ass,12
bite,5
fingernail,3
eat,19
prune,3
money,279
basebal,10
wrong,14
four,116
ball,34
panti,3
doe,181
n't,505
right,269
left,158
put,186
husband,8
doghous,4
find,359
cathous,3
fight,19
piec,22
It,357
nail,3
build,90
crib,5
screw,5
fill,75
drive,53
hell,4
bound,11
stand,27
toilet,3
high,96
pot,6
live,172
glass,14
hous,62
cloth,13
basement,3
fish,9
often,28
catch,92
crab,3
fart,3
church,15
sit,16
pew,3
crowd,37
elev,6
smell,5
differ,79
midget,3
regard,160
shari,6
draft,48
eei,6
purchas,327
sale,129
epmi,21
public,113
util,96
district,17
No,369
clark,58
counti,69
let,295
know,393
question,354
term,123
traci,83
amount,97
propos,81
cp,49
independ,106
3/01/01,6
yr,10
15mm,6
NO,132
bid,14
collater,48
ngo,17
02/06/2001,26
12:41,5
S,166
bradford/hou/ect,34
cdwr,11
matrix,9
financi,380
ga,453
jay,159
convers,68
price,250
ena,172
west,71
origin,190
look,353
provid,353
hour,120
deal,289
specif,94
CP,6
buy,241
pay,106
fix,35
so-cal,3
index,77
term/volum,2
50,000mmbtu/d,2
100,000mmbtu/d,2
200,000mmbtu/d,2
2/28/02,2
8.44,2
8.65,2
8.90,2
5mm,2
7.5mm,5
2/28/06,2
five,113
6.51,2
6.76,2
7.06,2
50,000/d,2
2/28/11,2
ten,52
