So,145
look,340
one,536
night,133
stand,35
afteral,5
DC,13
lender,4
thi,4029
pre-approv,4
thank,1369
need,932
project,64
loan,6
number,599
roosevelt,6
Hi,71
bill,1815
return,82
paperwork,3
instal,8
hardwood,1
4th,24
floor,79
right,191
wa,1173
lobbi,7
complet,185
touch,22
elev,5
run,190
At,67
time,1354
identifi,33
get,674
becaus,263
convers,47
troubl,24
jerri,31
wilson,12
pacif,83
northwest,376
mortgag,4
inc.,75
ha,874
In,409
case,100
'd,101
like,602
hi,276
503-224-4564,1
pager,66
503-224-4308,1
tell,73
call,773
let,773
know,1085
work,665
give,171
necessari,57
info,54
build,74
kirstin,4
boettcher,4
jeff,142
burghart,4
p.c,4
hasson,4
compani,264
realtor,4
503-735-4884,2
PS,4
n't,712
see,529
ya,10
walk,16
MS,9
late,71
j/k,1
want,377
yahoo,12
make,495
sure,237
email,292
first,300
morgan,27
__________________________________________________,3
Do,101
auction,13
buy,402
thing,176
great,121
price,1100
http,336
//auctions.yahoo.com/,2
hey,54
dude,7
booti,1
He,128
could,385
develop,113
raw,1
talent,8
consist,42
confid,16
sound,65
good,352
news,80
dog,4
hope,162
tiger,1
keep,184
improv,38
smith,57
test,91
take,424
left,79
murri,2
come,292
mia,3
hamm,2
park,79
spot,72
hello,41
remind,110
schedul,3349
thursday,365
may,538
3rd,26
1:00,10
bring,85
cloth,3
place,161
chang,892
direct,165
Go,24
west,348
26,102
Rd,4
exit,24
walker,21
road,8
campu,2
light,73
think,262
entranc,2
waterfal,1
along,40
side,72
secur,76
bunker,1
go,534
huge,17
ever,31
find,186
structur,63
usual,50
check,250
receptionist,4
ani,1028
question,860
jason,20
meeker,1
field,129
coordin,105
mh-1,1
800-896-6453,1
ext,21
324736,1
M,56
scooter,2
happen,102
name,197
beaverton,2
also,533
much,174
expect,186
pay,153
pretti,46
125,11
cc,59
leav,77
earli,82
seattl,31
'm,212
weekend,117
vacat,31
pleas,1763
respond,73
cfredrikson,3
back,334
still,261
put,223
long,634
hour,2047
piss,3
My,86
five,42
day,871
graduat,16
whole,38
month,448
aughhhhh,2
never,72
ect,79
thresa,22
To,1489
extract,10
rebecca,10
enpow,356
subtot,4
forward,236
allen/hou/ect,3
AM,601
enron,1100
applic,158
deal,1735
filter,16
record,101
area,116
fyi,72
04/06/2001,2
subject,1258
new,628
app,7
done,156
grace,160
713,41
enronxg,33
group,711
It,354
deliveri,156
point,233
balanc,69
veri,166
help,342
desk,599
criteria,13
whether,57
save,76
file,1552
bottom,34
04/17/2001,2
11:04,1
allen,50
10:39,2
william,914
iii/pdx/ect,8
grace/hou/ect,1
report,408
valu,107
review,246
trade,725
hourli,270
team,249
If,822
feel,131
free,114
853-9771,1
853-6598,1
10:26,2
north,134
america,121
corp.,115
04/05/2001,6
03:32,1
PM,698
stacey,10
W,45
white/hou/ect,1
corri,13
bentley/hou/ect,1
narsimha,1
misra/na/enron,1
kayn,2
coulter/hou/ect,1
duong,5
luu/enron,1
guido,1
govers/enron,1
michael,170
jacobson/corp/enron,1
virginia,208
thompson/pdx/ect,4
messag,2464
member,94
anyon,117
els,61
might,125
benefit,62
program,105
IT,63
outstand,13
job,109
creat,159
invalu,1
verifi,41
correctli,22
and/or,66
region,67
demo,4
would,898
casey,23
JP,2
gerald,7
open,125
1,614
enter,263
top,71
close,1249
attent,61
physic,85
financi,106
includ,277
desk-to-desk,5
add,110
fast,22
2,851
hit,39
export,43
middl,58
section,74
display,27
strip,28
quickli,42
text,18
analyz,6
excel,64
choos,24
menu,9
summar,14
screen,37
base,132
drag,4
gray,41
shown,18
blue,18
grand,204
total,771
ID,109
user,348
password,84
enrononlin,26
access,266
epmi-st-wbom,1
book,276
set,206
intern,119
counterparti,196
follow,432
live,56
web-sit,4
//www.enrononline.com,2
adm74949,1
welcom,40
note,268
sensit,4
allow,115
transact,415
contact,269
helpdesk,3
x34357,2
problem,229
gain,27
stephani,25
x33465,2
life,24
realli,95
introduct,10
brendan,30
juli,592
way,180
move,165
plan,319
quick,63
visit,61
colleg,18
nikki,17
everytim,2
person,120
wait,50
apart,8
neighbor,8
say,141
mexico,7
land,19
least,64
beach,35
experi,76
year,198
've,182
movi,3
love,41
kid,10
best,114
later,120
date,1658
hear,90
possibl,191
thought,92
drop,45
line,186
buddi,4
offer,111
tour,9
guid,15
abil,63
portland,303
friend,47
locat,348
stuck,7
anyhow,16
depth,3
write,63
condo,9
congratul,11
ca,57
horribl,6
knock,7
bathroom,1
wall,40
morn,219
seriou,15
actual,122
admit,9
peopl,186
told,107
stori,35
born,4
rais,39
hate,5
tree,8
green,90
someon,69
onc,76
compar,20
litter,3
box,38
dirt,2
pile,5
crap,2
plane,10
fli,17
home,75
around,147
agre,79
littl,149
stir,3
crazi,17
environ,14
part,88
august,389
newport,3
california,754
Or,20
four,79
commun,206
lifestyl,2
oregon,62
anyth,108
drawn,3
perfectli,2
honest,7
it',7
two,256
gooni,2
kindergarten,2
cop,2
astoria,3
sinc,120
chanc,56
finish,30
period,98
rest,55
befor,225
master,32
public,71
health,10
administr,96
mba,3
We,951
'll,258
fit,29
24,221
decid,64
avenu,6
next,546
50,192
career,33
kick,11
lead,49
As,224
yet,99
itenerari,1
etc,82
forth,29
spontan,3
type,118
kind,53
show,189
tri,203
fun,33
better,119
organ,50
well,231
given,66
short,894
haha,1
conflict,40
worri,20
wo,35
hold,85
onli,339
forecast,86
12th,15
