project,1349
jassem,17
attach,443
latest,83
updat,220
dpc,1974
print,55
copi,200
photo,49
forward,374
seper,36
If,606
ani,802
question,394
pleas,1025
feel,118
free,137
call,483
713,303
345-5855,27
best,214
regard,585
paul,969
april,345
2001,1757
document,234
respons,172
send,151
monthli,75
futur,142
also,858
plan,303
trip,48
middl,28
east,62
end,230
march,141
begin,120
hope,153
meet,852
time,1276
enron_develop,621
todd,249
charg,296
AM,665
ect,140
02/07/2001,12
To,1018
peterson/enron_develop,129
cc,408
subject,873
commodity/demand,6
pr-cpi,7
decim,5
y'barbo,318
roberto,17
alvira/enron_develop,8
dustin,31
dan,455
masters/hou/ect,43
use,501
2000,183
enter,83
PR,13
cpi,3
result,153
index,39
let,275
float,14
saludo,80
enron,2489
10:49,3
jaim,89
sanabria/enron_develop,28
collins/hou/ect,2
rick,137
sierra/enron_develop,28
calcul,96
year,497
180.525,2
thi,2386
obviou,13
becaus,178
format,37
cabot,357
contract,486
doe,245
specifi,25
mani,121
place,128
Do,106
anyth,51
work,404
round,36
peterson,50
08:53,2
jami,6
sanabria,33
fyi,102
08:56,2
collin,21
02/01/2001,2
09:45,2
receiv,326
decemb,163
complet,341
ecoelectrica,101
lng,888
price,833
model,38
show,135
eco,387
commod,87
3.4831/mmbtu,2
demand,231
rate,698
0.8460/mmbtu,2
harib,12
capt,55
kvammen,56
hoegh,366
galleon,332
order,280
voyag,50
messag,541
charter,49
wayn,134
jim,56
master,371
/,112
03/01/2001,6
toni,90
galt,44
roald,13
hoegh.no,182
ferni,30
stand,107
dure,208
final,161
sent,508
administ,7
instruct,78
rest,51
ship,272
commun,96
know,347
04:00,11
PM,986
10:57,6
nord,7
rln,7
perry/enron_develop,47
kgk,19
In,507
accord,184
request,172
earlier,154
today,281
though,78
mean,120
chang,306
need,585
aris,39
becom,92
appar,22
ha,1864
ad,217
remov,44
either,85
standard,228
amend,48
necessari,99
follow,482
consult,48
owner,43
addit,278
excerpt,3
ago,41
It,442
outlin,24
divis,25
within,147
organ,37
relat,173
toward,58
wa,1529
number,312
sinc,238
answer,80
purchas,467
sale,358
daili,58
bunker,45
etc.,5
vessel,183
perri,70
primari,42
name,130
entir,108
group,218
hi,230
parti,247
As,282
obvious,21
close,157
togeth,78
ensur,73
current,289
statu,95
etc,27
oper,322
run,118
smoothli,3
cover,88
absenc,23
find,248
mpr,11
27,94
incl,12
adob,12
acrobat,12
4.0,11
file,301
activ,142
februari,74
gari,36
monk,14
upat,3
weekli,105
report,554
confer,111
monday,321
5,312
7:00,51
a.m.,86
houston,339
5:00,18
p.m.,87
dubai,76
dial-in,50
remain,192
domest,169
1-800-991-9019,48
intern,239
1-847-619-8039,48
passcod,56
2712679,43
thank,541
sunita,62
03/06/2001,77
victor,95
enron.com,560
last,517
item,53
meter,58
whi,114
measur,46
set,232
01:36,3
vega,36
01:33,8
