attach,386
veri,180
much,101
first,208
draft,152
comment,279
thank,633
In,272
interest,225
reach,49
speedi,6
commerci,78
settlement,16
made,103
doc,13
short,55
simpl,12
possibl,166
justin,118
kiodex,254
transact,833
ha,596
final,85
work,451
713,416
As,189
mani,127
awar,30
last,175
week,323
chang,329
longer,25
includ,258
sale,69
energydesk,4
new,587
structur,105
limit,98
kiodex/eol,5
strateg,50
relationship,47
perform,149
warrant,33
version,66
non-bind,3
loi,13
wa,434
sign,75
novemb,109
21,82
2000,172
goal,32
document,176
close,127
year,177
end,234
If,603
anyon,60
ani,796
question,518
pleas,934
feel,123
free,98
give,188
call,490
number,192
list,213
drew,44
rie,9
manag,327
e-commerc,41
ventur,7
enron,2187
net,77
1400,62
smith,82
street,125
eb2735a,3
houston,578
TX,129
77002,50
345-6075,3
569-6131,5
mobil,50
email,283
exclus,62
thi,2142
travi,126
agreement,379
velaw.com,29
intend,118
redraft,8
mccullough,78
forward,329
11/29/2000,6
PM,704
anthoni,10
redlin,17
name,113
platform,195
may,590
delet,59
onli,272
design,69
inform,384
review,232
recipi,78
notifi,81
nov,41
29,103
VE,10
.doc,21
redline.rtf,22
heard,32
skill,42
meet,422
postpon,13
'm,79
send,292
consent,15
raptor,5
shortli,28
north,125
america,109
corp.,106
EB,51
3817,25
texa,92
phone,150
853-1575,36
fax,113
646-3490,34
mccullough/hou/ect,16
07:34,3
stockbridg,16
edward,17
T,36
tstockbridg,9
03:56,3
To,889
travis.mccullough,21
enron.com,631
cc,218
collin,6
christoph,16
chriscollin,3
awil,3
subject,822
find,82
clean,21
revis,77
discuss,534
show,72
submit,101
us,575
espe,29
per,253
earlier,41
convers,63
said,78
andi,726
still,123
think,231
one,418
open,129
point,162
whether,50
definit,29
modifi,16
anticip,36
occur,30
specif,143
suggest,90
requir,190
oper,211
parti,92
leav,53
ownership,5
given,88
seri,18
He,116
make,236
directli,59
let,484
know,597
assist,104
best,195
regard,314
ted,26
++++++confidenti,13
notice+++++,13
confidenti,69
and/or,58
privileg,44
individu,81
organ,72
abov,60
author,35
repres,78
herebi,16
dissemin,19
copi,104
contain,149
herein,13
prohibit,36
receiv,345
error,77
immedi,77
sender,50
return,61
system,394
bodi,25
would,886
like,392
obtain,21
enter,54
refer,69
project,125
collect,18
We,729
abl,121
tomorrow,135
markup,10
believ,107
chri,112
remain,61
equiti,56
richard,71
take,179
account,62
recent,59
mark,143
also,352
introduc,17
control,73
claus,27
