david_p_smith,4
hotmail.com,21
davidpsmith,2
worldnet.att.net,4
null,2
void,2
sept13th,2
later,38
smith,25
713,24
john,726
thank,212
interest,55
one,105
car,32
look,135
forward,54
meet,128
saturday,30
afternoon,26
pleas,393
feel,44
free,29
contact,137
ani,291
question,89
875-7065,2
direct,82
sincer,10
kenneth,8
wright,3
pre-own,2
internet,33
sale,62
manag,104
596-3891,2
pv4250.f.jpg,2
pv4250.lrear.jpg,2
pv4250.seats.jpg,2
pv4250.dials.jpg,2
confer,68
call,140
ub,116
netco,18
issu,63
discuss,62
1,195
function,10
currenc,28
US,45
2,105
treasuri,4
role,16
kathi,33
dial,15
In,73
number,113
216-0900,1
passcod,1
5879,1
chair,1
rob,99
hemstock,23
also,95
particip,53
ron,5
deyholo,2
georg,10
vegh,2
donahu,2
ernst,2
young,8
sent,505
ON,4
behalf,15
OF,17
peter,37
keohan,17
would,237
like,141
grab,5
hour,28
differ,16
go-forward,2
edcc/ecc,3
price,81
scenario,2
mtg,3
derek,82
denniston,4
ae,4
project,11
toll,3
avail,55
resolv,5
go,131
treat,4
old,14
ED,4
contract,170
We,125
need,152
address,42
thi,751
prior,42
month,34
end,47
kate,14
sorri,14
miss,18
My,26
understand,22
went,23
well,65
let,98
know,156
anyth,21
frank,54
energi,126
technolog,11
distribut,43
http,173
cera.com,20
invest,17
expect,32
market,195
messag,571
new,163
cera,19
privat,12
report,98
2001,417
compani,76
DE,3
webmast,10
februari,194
2002,429
To,547
challeng,8
realiti,3
url,9
develop,57
capit,14
opportun,26
power,239
inform,198
chang,104
part,25
among,8
access,93
onlin,43
attach,151
cambridg,10
research,15
associ,33
use,205
-origin,459
enron,428
wednesday,132
06,16
7:29,1
AM,256
client,6
subject,513
titl,5
bubbl,3
burst,1
//www.cera.com/eprofil,5
u=35,5
m=2978,1
1998,1
investor,3
pour,1
4.36,1
billion,1
boom,1
subsequ,1
correct,34
creat,41
overli,2
optimist,3
regard,97
size,3
speed,2
market',1
failur,4
captur,7
substanti,2
portion,12
california,3
dure,24
crisi,4
earli,26
collaps,1
telecommun,1
sector,5
undermin,1
investors',1
confid,1
shift,8
fundament,5
grow,7
uncertainti,6
pace,2
regulatori,5
contribut,3
although,9
short-term,2
ha,181
suffer,2
long,26
run,22
revis,19
healthi,6
trend,6
toward,7
greater,8
matur,1
backer,1
restrict,10
slow,7
commerci,14
drive,23
consolid,2
public,6
polici,23
becom,20
increasingli,2
import,60
sourc,46
fund,11
support,17
futur,18
follow,109
abov,25
complet,55
16,62
print,19
page,19
e-mail,490
categori,9
knowledg,17
area,44
ceraweek2002,5
11-15,5
21st,5
annual,6
execut,25
relat,43
event,27
regist,19
today,103
AT,5
//www.cera.com/ceraweek,5
two-,5
four-day,5
pass,22
special,32
enrol,5
program,21
partnership,10
ceraweek,5
premium,11
make,91
profil,8
//www.cera.com/client/updateaccount,5
forgot,9
usernam,9
password,49
Go,8
//www.cera.com/client/forgot,5
electron,14
contain,56
inc.,40
confidenti,62
may,166
privileg,35
unauthor,5
disclosur,23
copi,75
content,25
whole,16
strictli,25
prohibit,22
term,55
//www.cera.com/to,5
questions/com,5
copyright,5
daniel,74
applic,76
anyon,56
chri,150
januari,183
marcinkowski,34
data,79
accumap,25
nova,21
pool,112
alberta,131
oasi,21
esbi,37
monday,181
28,148
list,160
ih,15
gaskil,15
RE,100
lloyd,22
zufferli,396
houston,87
prioriti,18
403,85
account,40
ga,147
found,28
wa,194
tri,48
renew,9
thursday,121
sure,69
add,17
mani,29
user,59
cost,33
send,76
Do,34
gather,8
begin,32
11:57,8
resourc,14
11:25,9
FW,52
/,25
answer,18
10:21,7
gener,60
everyth,33
get,146
addit,48
info,39
calgari,114
spreadsheet,32
sheet,14
carmen,8
770-4503,6
phone,61
874-4218,6
cell,15
tell,15
work,115
set,47
entiti,31
schedul,46
physic,68
electr,36
friday,137
25,79
2:59,8
PM,304
current,47
verifi,13
applications/publ,7
subscript,11
highlight,13
red,10
system,131
mark,106
1-5,15
critic,18
file,158
md.xl,6
pretti,13
good,51
refer,9
ontario,34
quick,16
turnaround,1
dan,24
12:25,2
diamond,11
Cc,122
cowan,32
mike,80
dorland,28
clark,18
chad,23
canadian,51
counterparti,43
updat,62
respons,47
name,79
top,22
100,16
calls-,1
revised.xl,1
sign,38
guy,57
employ,7
offer,103
bring,26
'm,52
pressur,8
far,13
've,22
onli,126
got,30
two,66
return,33
mine,7
continu,36
familiar,8
review,73
document,39
oefc_demandsupp_ubs.ppt,4
/common/oefc,4
directori,9
It,80
present,47
gave,13
